
[00:00:00.000 --> 00:00:04.120]  請先聽我讀出一段經文
[00:00:04.120 --> 00:00:10.240]  在《約翰一書》第四章第七至第八節
[00:00:10.240 --> 00:00:17.040]  和第十二節和第十六節
[00:00:17.040 --> 00:00:19.280]  聖經這樣說
[00:00:19.280 --> 00:00:25.200]  「親愛的弟兄姊妹,我們應當彼此相愛
[00:00:25.200 --> 00:00:28.960]  因為愛是從上帝而來的
[00:00:28.960 --> 00:00:33.760]  凡有愛心的,都是由上帝而生
[00:00:33.760 --> 00:00:39.880]  並且認識上帝,因為上帝就是愛
[00:00:39.880 --> 00:00:45.760]  我們若彼此相愛,上帝就住在我們裡面
[00:00:45.760 --> 00:00:51.880]  愛他的心,在我們裡面得以完全了
[00:00:51.880 --> 00:00:56.400]  上帝就是愛,住在愛裡面的
[00:00:56.400 --> 00:00:59.520]  就是住在上帝裡面
[00:00:59.520 --> 00:01:04.360]  上帝也住在他裡面」
[00:01:04.360 --> 00:01:06.800]  各位主內的弟兄姊妹
[00:01:06.800 --> 00:01:11.000]  和各位崇基的友好平安
[00:01:11.000 --> 00:01:14.280]  很感謝林浩恩弟兄的邀請
[00:01:14.280 --> 00:01:17.000]  讓我有機會和大家
[00:01:17.000 --> 00:01:20.680]  崇基禮拜堂的弟兄姊妹們
[00:01:20.680 --> 00:01:25.360]  一起聚集,一起敬拜上帝
[00:01:25.360 --> 00:01:30.400]  回到崇基,我有一種很特別的感覺
[00:01:30.400 --> 00:01:35.880]  剛才告訴主席,我是1972年畢業
[00:01:35.880 --> 00:01:37.800]  1972年的校友
[00:01:37.800 --> 00:01:40.840]  這麼久的日子,回到崇基
[00:01:40.840 --> 00:01:44.400]  仍然給我很多的思想
[00:01:44.400 --> 00:01:49.040]  我自然也特別想到教育的問題
[00:01:49.040 --> 00:01:52.200]  因為崇基給我們的
[00:01:52.200 --> 00:01:55.240]  是不一樣的教育
[00:01:55.240 --> 00:01:59.280]  它是一種超越純理性的教育
[00:01:59.280 --> 00:02:00.840]  所以我的英文題目是
[00:02:00.840 --> 00:02:04.560]  Beyond the Education of the Mind
[00:02:04.560 --> 00:02:10.000]  更是一種關懷轉化心靈的教育
[00:02:10.000 --> 00:02:12.800]  所以今天我選了這個題目
[00:02:12.800 --> 00:02:15.200]  和大家一起思考
[00:02:15.200 --> 00:02:19.520]  轉化心靈的教育
[00:02:19.520 --> 00:02:21.280]  大家有沒有留意到
[00:02:21.280 --> 00:02:26.120]  原來我們一生是離不開教育的
[00:02:26.120 --> 00:02:27.480]  出生的時候
[00:02:27.480 --> 00:02:32.160]  我們就要在家裡接受家庭教育
[00:02:32.160 --> 00:02:33.840]  長大之後
[00:02:33.840 --> 00:02:36.360]  家裡就會送我們去學校
[00:02:36.360 --> 00:02:39.400]  去接受學校教育
[00:02:39.400 --> 00:02:41.840]  到我們出來工作的時候
[00:02:41.840 --> 00:02:45.000]  我們仍然是不斷地跟上師
[00:02:45.000 --> 00:02:48.080]  去學習做事的方法
[00:02:48.080 --> 00:02:51.120]  去體驗做人的道理
[00:02:51.120 --> 00:02:55.080]  現在我們還要教導我們的下屬
[00:02:55.080 --> 00:02:57.480]  學會做事的方法
[00:02:57.480 --> 00:02:59.480]  做人的道理
[00:02:59.480 --> 00:03:02.880]  甚至如果我們是為人父母的話
[00:03:02.880 --> 00:03:08.280]  我們一生都要肩負教育子女的責任
[00:03:08.280 --> 00:03:11.960]  就算你說我已經放棄了這個責任
[00:03:11.960 --> 00:03:15.120]  其實你仍然是以自己的生命
[00:03:15.120 --> 00:03:20.560]  去影響子女和其他人的生命
[00:03:20.560 --> 00:03:24.880]  所以這個就是教育的工作
[00:03:24.880 --> 00:03:28.960]  當我們從事教育工作的時候
[00:03:28.960 --> 00:03:30.760]  又有沒有留意到
[00:03:30.760 --> 00:03:32.800]  我們身邊的人
[00:03:32.800 --> 00:03:35.960]  原來不只是一塊木頭
[00:03:35.960 --> 00:03:39.000]  沒有生命、沒有腦的東西
[00:03:39.000 --> 00:03:41.360]  又不是一隻動物
[00:03:41.360 --> 00:03:46.200]  好像那些蠢的豬、貓、狗一樣
[00:03:46.200 --> 00:03:48.840]  事實上我們接受教育
[00:03:48.840 --> 00:03:51.280]  或者我們所影響的
[00:03:51.280 --> 00:03:55.360]  都是一班有活潑心靈的人
[00:03:55.360 --> 00:04:00.240]  所以教育就不僅僅是學習一些技能
[00:04:00.240 --> 00:04:02.560]  一些做事的方法
[00:04:02.560 --> 00:04:05.440]  甚至是做人的道理
[00:04:05.440 --> 00:04:09.000]  它更加是一種轉化心靈
[00:04:09.000 --> 00:04:11.760]  以生命影響生命
[00:04:11.760 --> 00:04:15.840]  一種很有意義的活動
[00:04:15.840 --> 00:04:17.440]  九月的時候
[00:04:17.440 --> 00:04:20.520]  我曾經回來崇基學院
[00:04:20.520 --> 00:04:23.680]  和崇基的校友們去分享
[00:04:23.680 --> 00:04:29.000]  我所敬仰的寧道揚博士
[00:04:29.000 --> 00:04:31.920]  寧道揚博士就是我們崇基學院
[00:04:31.920 --> 00:04:34.640]  第二任的校長
[00:04:34.640 --> 00:04:37.080]  他也是民國時期
[00:04:37.080 --> 00:04:40.760]  在中國提倡「農林救國」
[00:04:40.760 --> 00:04:44.360]  推廣農林科學知識教育
[00:04:44.360 --> 00:04:50.440]  更加是倡議中國植樹節的農林學家
[00:04:50.440 --> 00:04:53.360]  寧道揚博士不僅是從事
[00:04:53.360 --> 00:04:55.960]  農林的科學教育
[00:04:55.960 --> 00:05:00.640]  他更加是從事基督教教育的工作
