
[00:00:00.000 --> 00:00:02.960]  和大家分享神的道
[00:00:02.960 --> 00:00:06.320]  主題是順服主旨意的服事
[00:00:06.320 --> 00:00:09.960]  說到服事順服主的旨意
[00:00:09.960 --> 00:00:12.560]  我想起我們教會在沙田區
[00:00:12.560 --> 00:00:15.760]  沙田的博康和沙葛邨
[00:00:15.760 --> 00:00:17.200]  大家有沒有去過沙葛邨
[00:00:17.200 --> 00:00:19.920]  沙葛邨街市買的食物很便宜
[00:00:19.920 --> 00:00:21.880]  餐廳也很有名
[00:00:21.880 --> 00:00:24.400]  不一定要去到元朗大補兵室
[00:00:24.400 --> 00:00:25.800]  不用去到那麼遠
[00:00:25.800 --> 00:00:30.480]  去到沙葛邨的流曼里很有名的餐廳
[00:00:30.480 --> 00:00:32.280]  食物很好吃
[00:00:32.280 --> 00:00:34.880]  街市買的食物也很便宜
[00:00:34.880 --> 00:00:36.680]  如果你去到沙葛邨
[00:00:36.680 --> 00:00:39.400]  也來康復堂探探我們
[00:00:39.400 --> 00:00:41.000]  認識我們教會
[00:00:41.000 --> 00:00:43.880]  我們有兩間社會服務中心
[00:00:43.880 --> 00:00:46.800]  去服侍很多的街坊
[00:00:46.800 --> 00:00:51.880]  這是我們兩年前40週年的紀念品
[00:00:51.880 --> 00:00:54.000]  猜不猜得到是什麼
[00:00:54.000 --> 00:00:59.200]  眼鏡布 如果不用戴眼鏡就擦手機
[00:00:59.200 --> 00:01:03.800]  後面有介紹 介紹康復堂
[00:01:03.800 --> 00:01:08.640]  就是由窩福堂以社區教會的形式
[00:01:08.640 --> 00:01:10.680]  來拓展分堂
[00:01:10.680 --> 00:01:17.000]  在博康邨的博安樓建立了長者中心
[00:01:17.000 --> 00:01:21.280]  當時蘇穎若牧師 馮任坤博士
[00:01:21.280 --> 00:01:25.280]  和一些弟妹 包括曾醫生
[00:01:25.280 --> 00:01:28.880]  來到沙田建立了長者中心
[00:01:28.880 --> 00:01:31.880]  在沙田區做一些服侍
[00:01:31.880 --> 00:01:34.280]  包括有耳診服務
[00:01:34.280 --> 00:01:36.280]  街坊一個月有一次
[00:01:36.280 --> 00:01:40.480]  因為有曾醫生有牙醫幫他們去耳診
[00:01:40.480 --> 00:01:42.880]  弟妹 我們就這樣開始
[00:01:42.880 --> 00:01:46.280]  42年了 今年42年
[00:01:46.280 --> 00:01:49.680]  我們都繼續學習謙卑來服侍
[00:01:49.680 --> 00:01:52.880]  我們的服侍是否能夠順服主的旨意
[00:01:52.880 --> 00:01:57.280]  我們的服侍要按照聖經的教導
[00:01:57.280 --> 00:01:59.880]  按照神的心意來服侍
[00:01:59.880 --> 00:02:01.480]  所以今天我們從經文裏面
[00:02:01.480 --> 00:02:05.480]  我們去看看什麼叫做順服神的心意的服侍
[00:02:05.480 --> 00:02:08.280]  我們從保羅寫的一封信
[00:02:08.280 --> 00:02:10.480]  就是以弗所書這封信
[00:02:10.480 --> 00:02:14.280]  來看何謂順服神的旨意的服侍
[00:02:14.280 --> 00:02:17.880]  弟妹 你現在的角色 現在的身份
[00:02:17.880 --> 00:02:19.880]  你可不可以想像一下一樣的角色
[00:02:19.880 --> 00:02:22.680]  或者一個身份你是最重視的
[00:02:22.680 --> 00:02:25.680]  譬如我自己 我是教會的牧者
[00:02:25.680 --> 00:02:27.680]  而這個身份我很重視
[00:02:27.680 --> 00:02:31.280]  李全道是窩福堂的牧者 很重視的
[00:02:31.280 --> 00:02:33.480]  我也是兩個兒子的爸爸
[00:02:33.480 --> 00:02:35.280]  而這個身份我也很重視
[00:02:35.280 --> 00:02:38.880]  弟妹 你有什麼身份是很重視的呢
[00:02:38.880 --> 00:02:45.880]  用十秒鐘時間 大家去思想一下
[00:02:45.880 --> 00:02:50.680]  以弗所書是一封信寫給以弗所教會的
[00:02:50.680 --> 00:02:53.880]  保羅寫這封信給當時的教會
[00:02:53.880 --> 00:02:55.880]  提到幾個身份
[00:02:55.880 --> 00:02:58.680]  有很多的身份 稍後會和大家分享
[00:02:58.680 --> 00:03:00.680]  首先以弗所這個地方
[00:03:00.680 --> 00:03:05.080]  大家是否去過 去過以弗所旅行
[00:03:05.080 --> 00:03:07.680]  即是現在的土耳其那裏
[00:03:07.680 --> 00:03:11.480]  我都希望我有生之年可以有機會去去
[00:03:11.480 --> 00:03:14.280]  去保羅的行蹤
[00:03:14.280 --> 00:03:17.480]  這個如果你去過旅行 你也有印象
[00:03:17.480 --> 00:03:20.280]  就是以弗所古城的遺址
[00:03:20.280 --> 00:03:23.280]  而保羅寫這封信給以弗所書
[00:03:23.280 --> 00:03:27.080]  給當時的以弗所教會提到幾個身份
[00:03:27.080 --> 00:03:31.880]  而每一個身份都是要忠於神的教導
[00:03:31.880 --> 00:03:35.480]  都要按神的心意來忠於神的教導
[00:03:35.480 --> 00:03:39.880]  首先他提到第六章一節至第四節
[00:03:39.880 --> 00:03:41.480]  提到兩個的身份
[00:03:41.480 --> 00:03:43.080]  第一個是做父母的
[00:03:43.080 --> 00:03:46.080]  父母的身份和兒女的身份
[00:03:46.080 --> 00:03:51.080]  在上文第五章提到另外兩個身份
[00:03:51.080 --> 00:03:54.880]  不過今天我們主要不是說做妻子和做丈夫
[00:03:54.880 --> 00:03:57.680]  你們做妻子的要怎樣對待丈夫
[00:03:57.680 --> 00:03:59.880]  有沒有印象 怎樣對待丈夫
