
[00:00:00.000 --> 00:00:05.060]  如果大家不是剛剛來,你應該知道我們在過去幾個星期討論什麼
[00:00:05.060 --> 00:00:07.300]  啊?討論什麼?
[00:00:07.300 --> 00:00:11.460]  討論《仕途信經》,沒錯,還有兩堂討論完,包括今天
[00:00:11.460 --> 00:00:14.540]  今天是第五討論,討論什麼呢?
[00:00:14.540 --> 00:00:19.400]  不是我們很喜歡討論的一個題目,就是討論罪的問題
[00:00:19.400 --> 00:00:25.180]  但是當我討論這個問題的時候,結論其實是帶給我們無比的盼望的
[00:00:25.180 --> 00:00:28.800]  爲什麼呢?因爲今天討論《仕途信經》裏面的一句
[00:00:28.800 --> 00:00:33.840]  就是說到"我信罪得赦免"
[00:00:33.840 --> 00:00:36.120]  "我信罪得赦免"
[00:00:36.120 --> 00:00:41.760]  中國人有句話,今天我會用很多中國人的術語,或者是經常流行的一些說話
[00:00:41.760 --> 00:00:44.360]  中國人的一句話是什麼呢?
[00:00:44.360 --> 00:00:46.060]  "不知者不罪"
[00:00:46.060 --> 00:00:47.700]  有沒有聽過?
[00:00:47.700 --> 00:00:49.980]  有沒有用過?
[00:00:49.980 --> 00:00:52.800]  當我們說"不知者不罪"的時候,通常意思是什麼?
[00:00:52.800 --> 00:00:57.740]  當我們犯了錯,或者犯了法,做了你不應該做的事的時候
[00:00:57.740 --> 00:01:00.860]  由於我們不知道這是犯法的
[00:01:00.860 --> 00:01:04.040]  由於我們不知道這件錯事是不好的事
[00:01:04.040 --> 00:01:07.520]  所以不算有罪,是不是這個意思?
[00:01:07.520 --> 00:01:10.480]  "不知者不罪"
[00:01:10.480 --> 00:01:16.540]  但事實上,當我們真的犯了錯,或者甚至犯了法的時候
[00:01:16.540 --> 00:01:21.320]  其實我們當然很想那些我們得罪的人,或者法官
[00:01:21.320 --> 00:01:23.920]  跟我們說這句話
[00:01:23.920 --> 00:01:27.480]  你自己說沒用的,他們說纔有用的
[00:01:27.480 --> 00:01:30.700]  我們當然希望法官或者我們得罪的人說
[00:01:30.700 --> 00:01:36.520]  算了,算了,算了,你都不知道,就當沒事吧
[00:01:36.520 --> 00:01:38.640]  但事實上,可不可以當沒事呢?
[00:01:38.640 --> 00:01:40.200]  是不是真的可以沒事呢?
[00:01:40.200 --> 00:01:45.200]  我們不知道是不是等於我們不需要爲我們所做的行爲
[00:01:45.200 --> 00:01:50.040]  一些不當的行爲,不應該做的事情,負責任呢?
[00:01:50.040 --> 00:01:51.840]  是不是因爲我們不知道的緣故
[00:01:51.840 --> 00:01:57.860]  所做的一切都是正確,沒有問題呢?
[00:01:57.860 --> 00:02:02.320]  當然,大家都明白的,大家是明事理的人
[00:02:02.320 --> 00:02:04.680]  當然不是,其實這句話
[00:02:04.680 --> 00:02:09.000]  你可以用來作爲一個求情的理由
[00:02:09.000 --> 00:02:13.600]  我不知道,希望你原諒,我知道我不會做的
[00:02:13.600 --> 00:02:17.160]  但因爲我不知道的緣故,所以做了那件錯事
[00:02:17.160 --> 00:02:20.240]  或者犯了這樣的法例
[00:02:20.240 --> 00:02:24.660]  希望你重慶快樂
[00:02:24.660 --> 00:02:27.700]  但不等於我們沒有犯罪,沒有犯錯
