
[00:00:00.000 --> 00:00:03.040]  今天當我們在這邊講全家侍奉主的時候
[00:00:03.040 --> 00:00:04.680]  大家知道這是
[00:00:04.680 --> 00:00:08.080]  這是今年的主題 知道嗎
[00:00:08.080 --> 00:00:10.180]  好
[00:00:10.180 --> 00:00:14.460]  本來我是要在第一個禮拜講的
[00:00:14.460 --> 00:00:17.600]  不過後來想了第一個禮拜一開始先講意象
[00:00:17.600 --> 00:00:20.720]  那麼所以到了今天
[00:00:20.720 --> 00:00:23.420]  在講這個今年的我們的主題
[00:00:23.420 --> 00:00:27.260]  全家侍奉主 跟你旁邊說我們要全家侍奉主
[00:00:30.160 --> 00:00:32.380]  家庭非常的重要 是不是
[00:00:32.380 --> 00:00:36.800]  正因為家庭這麼重要
[00:00:36.800 --> 00:00:38.600]  所以呢
[00:00:38.600 --> 00:00:41.700]  魔鬼也很看重家庭 你知道嗎
[00:00:41.700 --> 00:00:45.240]  根據研究
[00:00:45.240 --> 00:00:49.260]  93%的美國人
[00:00:49.260 --> 00:00:52.480]  他們都認為美好的家庭生活
[00:00:52.480 --> 00:00:55.000]  是非常重要的 也就是說
[00:00:55.000 --> 00:00:56.800]  多數的美國人都覺得
[00:00:56.800 --> 00:00:59.820]  這個家庭美好 這是很重要的
[00:01:00.680 --> 00:01:03.700]  可是我們看一件事情 根據最新的統計
[00:01:03.700 --> 00:01:05.880]  全世界
[00:01:05.880 --> 00:01:09.200]  有大概三分之一的女性
[00:01:09.200 --> 00:01:13.000]  也就是說大概是8.4億的
[00:01:13.000 --> 00:01:14.360]  這個女性
[00:01:14.360 --> 00:01:18.000]  她們在她們一生當中曾經經歷過
[00:01:18.000 --> 00:01:21.600]  親密伴侶的嚴重的
[00:01:21.600 --> 00:01:23.960]  身體的傷害跟暴力
[00:01:23.960 --> 00:01:27.780]  三分之一
[00:01:28.340 --> 00:01:31.020]  當然這是聯合國
[00:01:31.020 --> 00:01:33.460]  這個衛生組織 他們所統計的
