
[00:00:00.000 --> 00:00:03.360]  那我們就回到第一節
[00:00:03.360 --> 00:00:08.880]  我們會整張去看的
[00:00:08.880 --> 00:00:10.520]  好,羅馬書第四章
[00:00:10.520 --> 00:00:11.840]  背景是什麼呢?
[00:00:11.840 --> 00:00:13.560]  先做一點溫故知新
[00:00:13.560 --> 00:00:18.920]  羅馬書基本上整本書都有講恩信、清義的道理
[00:00:18.920 --> 00:00:24.280]  不過第一章首先講到世人都犯了罪
[00:00:24.280 --> 00:00:27.480]  第一章就特別講一些外邦人不情不義
[00:00:27.480 --> 00:00:29.800]  一大堆罵人的說話
[00:00:29.800 --> 00:00:30.960]  不知道大家記不記得
[00:00:30.960 --> 00:00:32.960]  所以外邦人很壞的
[00:00:32.960 --> 00:00:35.440]  所以唯有靠神的恩典而已
[00:00:35.440 --> 00:00:36.960]  接著到了第二章
[00:00:36.960 --> 00:00:38.680]  不僅外邦人壞
[00:00:38.680 --> 00:00:39.840]  猶太人也是這麼壞
[00:00:39.840 --> 00:00:41.920]  猶太人自己以為自己很好
[00:00:41.920 --> 00:00:43.720]  其實也是一些偽君子
[00:00:43.720 --> 00:00:45.320]  第二章的主題
[00:00:45.320 --> 00:00:49.120]  第三章上半段其實也是繼續講這件事情
[00:00:49.120 --> 00:00:51.560]  總結就是世人都犯了罪
[00:00:51.560 --> 00:00:52.080]  OK
[00:00:52.080 --> 00:00:53.560]  虧欠了神的榮耀
[00:00:53.560 --> 00:00:55.160]  三章夜三節總結
[00:00:55.160 --> 00:00:55.760]  OK
[00:00:55.760 --> 00:01:00.480]  接著保羅在第三章結尾的時候
[00:01:00.480 --> 00:01:04.840]  很簡短地講了所謂恩信、清義的道理
[00:01:04.840 --> 00:01:08.000]  講到我們所有人能夠得救
[00:01:08.000 --> 00:01:10.840]  都是在律法以外的義
[00:01:10.840 --> 00:01:12.560]  顯明出來了
[00:01:12.560 --> 00:01:17.160]  於是第三章講完在律法以外的義
[00:01:17.160 --> 00:01:19.160]  就是這種的恩信、清義
[00:01:19.160 --> 00:01:20.520]  不是靠律法、清義
[00:01:20.520 --> 00:01:22.120]  講了主線之後
[00:01:22.120 --> 00:01:25.720]  第四章接著就講阿巴拉罕的故事
[00:01:25.720 --> 00:01:28.640]  為什麼要講阿巴拉罕呢?
[00:01:28.640 --> 00:01:33.200]  因為阿巴拉罕就是當時候的猶太人
[00:01:33.200 --> 00:01:35.640]  他們心目中的英雄
[00:01:35.640 --> 00:01:37.880]  如果你問猶太人
[00:01:37.880 --> 00:01:40.320]  誰是我們的典範人物
[00:01:40.320 --> 00:01:41.840]  阿巴拉罕
[00:01:41.840 --> 00:01:43.560]  如果你問今天
[00:01:43.560 --> 00:01:46.560]  如果你在中國的共產黨教育讀書
[00:01:46.560 --> 00:01:48.560]  誰是典範人物
[00:01:48.560 --> 00:01:50.400]  雷鋒
[00:01:50.400 --> 00:01:51.160]  挺厲害的
[00:01:51.160 --> 00:01:52.080]  我也是姓雷的
