
[00:00:00.000 --> 00:00:06.000]  這個講道系列特別講到基督教的教義
[00:00:06.000 --> 00:00:10.000]  其實每一年我們有很多講道系列
[00:00:10.000 --> 00:00:15.000]  大部份講道系列我們都是非常之簡單實用
[00:00:15.000 --> 00:00:17.000]  可以讓你一聽到
[00:00:17.000 --> 00:00:20.000]  希望可以很快下星期就用在你生活當中
[00:00:20.000 --> 00:00:23.000]  但是除了這些實用的系列
[00:00:23.000 --> 00:00:27.000]  有時都需要一些比較神學性的系列
[00:00:27.000 --> 00:00:33.000]  我們作為基督徒都需要明白基督教一些基本基要的教義
[00:00:33.000 --> 00:00:38.000]  但是基要的教義這個系列不單止適合基督徒聽
[00:00:38.000 --> 00:00:41.000]  其實都適合慕道者聽
[00:00:41.000 --> 00:00:45.000]  所以我們身邊有慕道的朋友都藉這個機會可以邀請他們回來
[00:00:45.000 --> 00:00:48.000]  尤其是很多人對基督教有很多誤解
[00:00:48.000 --> 00:00:50.000]  以為我們對你們是這樣的
[00:00:50.000 --> 00:00:51.000]  其實不是的
[00:00:51.000 --> 00:01:00.000]  希望藉著這次的講道系列可以澄清很多教義上一些很基要的問題
[00:01:00.000 --> 00:01:04.000]  今天我們第一個講
[00:01:04.000 --> 00:01:08.000]  我們先講使徒信經的第一句
[00:01:08.000 --> 00:01:13.000]  因為我們這個系列都會照著使徒信經
[00:01:13.000 --> 00:01:17.000]  Apostles Creed來講
[00:01:17.000 --> 00:01:21.000]  使徒信經其實是基督教基本的教義
[00:01:21.000 --> 00:01:24.000]  能夠把它簡化成
[00:01:24.000 --> 00:01:26.000]  以前的人不像今天
[00:01:26.000 --> 00:01:27.000]  今天每個人都在讀書
[00:01:27.000 --> 00:01:30.000]  隨便上網一載就整本聖經都出來了
[00:01:30.000 --> 00:01:32.000]  以前的人沒有聖經
[00:01:32.000 --> 00:01:34.000]  也沒有讀過書
[00:01:34.000 --> 00:01:38.000]  他怎樣能夠很簡易地記得基督教教義呢
[00:01:38.000 --> 00:01:42.000]  所以教父們初期
[00:01:42.000 --> 00:01:47.000]  把基督教最重要的基要真理的教義
[00:01:47.000 --> 00:01:50.000]  用一個信經的教義式
[00:01:50.000 --> 00:01:52.000]  很簡單的記載
[00:01:52.000 --> 00:01:54.000]  大家都背得出來
[00:01:54.000 --> 00:01:56.000]  大家都知道不會信錯了
[00:01:56.000 --> 00:01:58.000]  所以今天我們會講第一句
[00:01:58.000 --> 00:02:01.000]  第一句就是使徒信經是這樣說的
[00:02:01.000 --> 00:02:05.000]  我信上帝全能的父
[00:02:05.000 --> 00:02:08.000]  創造天地的主
[00:02:08.000 --> 00:02:10.000]  這就是第一句
[00:02:10.000 --> 00:02:12.000]  所以今天我們先來看看
[00:02:12.000 --> 00:02:15.000]  從創世紀的一段聖經
[00:02:15.000 --> 00:02:18.000]  來看看那位全能的父
[00:02:18.000 --> 00:02:20.000]  創造天地的主
[00:02:20.000 --> 00:02:24.000]  到底是一位怎樣的主
[00:02:24.000 --> 00:02:26.000]  來讓這段經文
[00:02:26.000 --> 00:02:28.000]  希望能夠啟示一位
[00:02:28.000 --> 00:02:30.000]  全能的父上帝
[00:02:30.000 --> 00:02:32.000]  和創造天地的主
[00:02:32.000 --> 00:02:34.000]  因為我們今天看的經文
[00:02:34.000 --> 00:02:36.000]  會出自於創世紀
[00:02:36.000 --> 00:02:40.000]  我想稍微有幾點解釋
[00:02:40.000 --> 00:02:43.000]  因為自從達爾文
[00:02:43.000 --> 00:02:46.000]  寫了《物中起源》之後
[00:02:46.000 --> 00:02:49.000]  自此之後所有人看創世紀
[00:02:49.000 --> 00:02:52.000]  都是不自覺地
[00:02:52.000 --> 00:02:56.000]  會用進化論這個焦點
[00:02:56.000 --> 00:02:59.000]  這個角度去看創世紀
[00:02:59.000 --> 00:03:02.000]  這個角度因為我們聚焦在
[00:03:02.000 --> 00:03:04.000]  創造論和進化論之間
[00:03:04.000 --> 00:03:06.000]  各種的爭拗
[00:03:06.000 --> 00:03:10.000]  就會帶來以下幾個問題
