
[00:00:00.000 --> 00:00:02.000]  各位代言姊妹平安
[00:00:02.000 --> 00:00:06.000]  很開心可以來到大家當中去分享
[00:00:06.000 --> 00:00:10.000]  也代表港福堂的代言姊妹在主裡面向大家問安
[00:00:10.000 --> 00:00:12.000]  剛剛過去的星期一
[00:00:12.000 --> 00:00:15.000]  我就出席了世界傳導會拿打掃基金
[00:00:15.000 --> 00:00:19.000]  25週年的慶典崇拜
[00:00:19.000 --> 00:00:21.000]  在崇拜之後
[00:00:21.000 --> 00:00:28.000]  基金會就播出了幾個他們支援的項目的短片
[00:00:28.000 --> 00:00:32.000]  分享基金所支持的項目
[00:00:32.000 --> 00:00:37.000]  包括有本港的、內地的和外地的
[00:00:37.000 --> 00:00:39.000]  當中有很多動人的故事
[00:00:39.000 --> 00:00:47.000]  影片的主題就叫做「一杯涼水」
[00:00:47.000 --> 00:00:52.000]  包括有分享自障人士的故事
[00:00:52.000 --> 00:00:56.000]  分享在囚人士服侍的故事
[00:00:56.000 --> 00:00:59.000]  分享患病的長者等等
[00:00:59.000 --> 00:01:02.000]  這些服侍的工作
[00:01:02.000 --> 00:01:06.000]  也讓我感受到每個人擺上很微小的力量
[00:01:06.000 --> 00:01:08.000]  好像一杯涼水一樣
[00:01:08.000 --> 00:01:15.000]  但是在參與上主對弱者的眷顧
[00:01:15.000 --> 00:01:17.000]  參加完這個聚會
[00:01:17.000 --> 00:01:21.000]  我也看見拿打掃基金25年來
[00:01:21.000 --> 00:01:26.000]  跟很多教會的機構連結
[00:01:26.000 --> 00:01:32.000]  遵守和探訪支持關顧弱勢的事工
[00:01:32.000 --> 00:01:36.000]  其實也看到在當中
[00:01:36.000 --> 00:01:40.000]  很多是榮耀上主、見證上主的事情
[00:01:40.000 --> 00:01:43.000]  實在是令人看到神的恩典、神的愛
[00:01:43.000 --> 00:01:47.000]  透過很多很多的教會、機構
[00:01:47.000 --> 00:01:52.000]  一些服侍的團隊進入弱勢的群體當中
[00:01:52.000 --> 00:01:57.000]  基金運作了25年
[00:01:57.000 --> 00:02:01.000]  今年他們報出來的數目
[00:02:01.000 --> 00:02:05.000]  比25年前成立的時候
[00:02:05.000 --> 00:02:07.000]  錢還多了
[00:02:07.000 --> 00:02:10.000]  每年支持很多很多的項目
[00:02:10.000 --> 00:02:12.000]  也撥出很多的款項
[00:02:12.000 --> 00:02:14.000]  人們就說25年了
[00:02:14.000 --> 00:02:16.000]  其實還有沒有錢呢
[00:02:16.000 --> 00:02:18.000]  原來比原來還多了
[00:02:18.000 --> 00:02:20.000]  是很奇妙的
[00:02:20.000 --> 00:02:23.000]  他們整個董事會都很感受到
[00:02:23.000 --> 00:02:27.000]  五餅兒的神蹟就在他們當中
[00:02:27.000 --> 00:02:30.000]  在他們手上的、獻給神的
[00:02:30.000 --> 00:02:32.000]  可能很微小
[00:02:32.000 --> 00:02:34.000]  不斷的撕出去、撕出去、撕出去
[00:02:34.000 --> 00:02:37.000]  誰知道餅還越來越多
[00:02:37.000 --> 00:02:40.000]  也是一個很美好的見證
[00:02:40.000 --> 00:02:47.000]  也看到他們跟很多的服侍團隊合作的時候
[00:02:47.000 --> 00:02:50.000]  都能夠祝福到很多很多的人
