
[00:00:00.000 --> 00:00:04.840]  2020年轉入2021年轉接的時間
[00:00:04.840 --> 00:00:08.180]  可能大家看見2020年
[00:00:08.180 --> 00:00:11.100]  可能有很多難處,很多風浪
[00:00:11.100 --> 00:00:12.720]  但我們盼望
[00:00:12.720 --> 00:00:15.520]  在風浪裏面,我們仍然仰望
[00:00:15.520 --> 00:00:18.560]  那個在風浪裏面帶領我們的神
[00:00:18.560 --> 00:00:21.520]  正如耶穌的門徒在小艇那裏
[00:00:21.520 --> 00:00:23.040]  加里裏湖
[00:00:23.040 --> 00:00:26.220]  大風浪,大家都很害怕
[00:00:26.340 --> 00:00:31.320]  但耶穌到最後都提醒他們,祂在船上
[00:00:31.320 --> 00:00:32.860]  今天我們都一樣
[00:00:32.860 --> 00:00:35.920]  當2020年轉入2021年的時候
[00:00:35.920 --> 00:00:37.900]  我們都坐在那艘船上
[00:00:37.900 --> 00:00:41.780]  我們很相信耶穌在我們這艘船上
[00:00:41.780 --> 00:00:43.580]  祂會平定風浪
[00:00:43.580 --> 00:00:45.920]  帶領我們行順生日一步
[00:00:45.920 --> 00:00:48.420]  主禰光照我們
[00:00:48.420 --> 00:00:51.140]  讓我們見到禰的身世
[00:00:51.720 --> 00:00:56.860]  讓我們見到禰超自然的臨到
[00:00:56.860 --> 00:00:59.720]  禰打開新的一頁
[00:00:59.720 --> 00:01:01.540]  展開新的里程
[00:01:01.540 --> 00:01:05.300]  讓我們見到祂的眼睛未曾見過
[00:01:05.300 --> 00:01:07.360]  耳朵未曾聽過
[00:01:07.360 --> 00:01:09.360]  心未曾想過
[00:01:09.360 --> 00:01:11.620]  主禰是一個做生事的神
[00:01:11.620 --> 00:01:14.860]  禰盼望我們在未來的日子裏面
[00:01:14.860 --> 00:01:17.700]  我們更見到禰榮耀的臨在
[00:01:18.060 --> 00:01:21.960]  禰大能的手要開創新的路
[00:01:21.960 --> 00:01:25.440]  禰爲我們在曠野開道路
[00:01:25.440 --> 00:01:27.440]  沙漠開江河
[00:01:27.440 --> 00:01:30.620]  爲教會,爲我們頂尖的人生
[00:01:30.620 --> 00:01:33.700]  主要讓我們見到前所未有
[00:01:33.700 --> 00:01:36.440]  有大有兩時要成就
[00:01:36.440 --> 00:01:38.800]  因爲禰的旨意在我們當中
[00:01:38.800 --> 00:01:40.560]  主要讓我們信靠禰
[00:01:40.560 --> 00:01:42.060]  讓我們倚靠禰
[00:01:42.060 --> 00:01:43.720]  讓我們投靠禰
[00:01:43.720 --> 00:01:47.200]  縱使面前有如大山
[00:01:47.200 --> 00:01:49.660]  越巨大的山嶺
[00:01:49.660 --> 00:01:52.940]  我們一樣可以奉禰的名去吩咐禰來挪開
[00:01:52.940 --> 00:01:54.940]  因爲不是靠我們自己能力
[00:01:54.940 --> 00:01:58.140]  是靠活着大能的主
[00:01:58.140 --> 00:02:01.220]  主要奉禰的名去宣告信心臨到我們當中
[00:02:01.220 --> 00:02:04.220]  我們奉禰的名去宣告一切黑暗勢力要離開
[00:02:04.220 --> 00:02:05.860]  我們教會的頂智慧
[00:02:05.860 --> 00:02:08.360]  讓我們今天,我們分別爲聖
[00:02:08.360 --> 00:02:10.080]  我們縱使在不同的地方
[00:02:10.080 --> 00:02:11.580]  我們仍然歸向禰
[00:02:11.580 --> 00:02:13.960]  去望見禰,去聽禰的聖音
[00:02:13.960 --> 00:02:15.960]  求聖靈和我們的心講說話
[00:02:15.960 --> 00:02:17.960]  多謝你聽我們祈禱
[00:02:17.960 --> 00:02:19.660]  奉耶穌基督得勝阿彌
[00:02:19.660 --> 00:02:20.660]  Amen
[00:02:20.660 --> 00:02:22.660]  頂智慧請坐
[00:02:22.660 --> 00:02:28.260]  頂智慧你喜不喜歡新的東西呢
[00:02:28.260 --> 00:02:30.260]  新的事物
[00:02:30.260 --> 00:02:36.860]  或者大家一起看看以下這五種新的發明
[00:02:36.860 --> 00:02:38.020]  第一樣東西呢
[00:02:38.020 --> 00:02:40.760]  就是一個超級有效率的切刀
[00:02:40.760 --> 00:02:41.820]  一切就搞定了
[00:02:41.820 --> 00:02:44.580]  你不用逐件瓜去切
[00:02:44.580 --> 00:02:45.860]  第二樣東西
[00:02:45.860 --> 00:02:47.860]  是一個容易撕開的膠紙
[00:02:47.860 --> 00:02:51.800]  以往大家開紙箱的時候就用割刀
[00:02:51.800 --> 00:02:53.300]  貼了這些膠紙
[00:02:53.300 --> 00:02:56.000]  你沿着那條紙撕一撕就是了
[00:02:56.000 --> 00:02:58.800]  就不需要用割刀去開紙箱
[00:02:58.800 --> 00:03:00.560]  第三樣東西
[00:03:00.560 --> 00:03:01.220]  低頭一族
[00:03:01.220 --> 00:03:03.320]  當你打遊戲的時候要去非法
[00:03:03.320 --> 00:03:05.920]  就不用被非法布蓋住了
[00:03:05.920 --> 00:03:07.880]  你又非常適合使用
[00:03:07.880 --> 00:03:09.880]  非常容易用
[00:03:09.880 --> 00:03:11.460]  第四樣東西
[00:03:11.460 --> 00:03:13.000]  懶人遮
[00:03:13.000 --> 00:03:14.880]  不用用手拿
[00:03:14.880 --> 00:03:16.360]  擺在肩膀上就可以了
[00:03:16.360 --> 00:03:17.560]  就算下大雨
[00:03:17.560 --> 00:03:20.560]  你雙手可以運用自如
[00:03:20.560 --> 00:03:22.160]  第五樣東西
[00:03:22.160 --> 00:03:23.120]  有嬰兒就對了
[00:03:23.120 --> 00:03:24.400]  你和嬰兒洗頭
