
[00:00:00.000 --> 00:00:03.000]  各位兄弟姊妹早上好!
[00:00:03.000 --> 00:00:06.500]  我今天想和大家分享的是
[00:00:06.500 --> 00:00:10.500]  以利沙彰顯上帝權能的第五講
[00:00:10.500 --> 00:00:12.500]  我今天想主講的題目是
[00:00:12.500 --> 00:00:15.000]  以利沙彰顯上帝權能的第五講
[00:00:15.000 --> 00:00:19.500]  這個大綱大家可以在碟子上看到
[00:00:19.500 --> 00:00:22.500]  大綱可以在這個程序表中看到
[00:00:22.500 --> 00:00:24.500]  在未曾進入經文之前
[00:00:24.500 --> 00:00:28.500]  我想和大家分享一節有關上帝屬性的經文
[00:00:28.500 --> 00:00:30.500]  就是在未曾進入經文之前
[00:00:30.500 --> 00:00:35.000]  我想和大家分享一節屬於上帝屬性的經文
[00:00:35.000 --> 00:00:37.500]  是《御賽亞書》四十五章七節
[00:00:37.500 --> 00:00:40.500]  是《御賽亞書》四十五章七節
[00:00:40.500 --> 00:00:42.000]  這節聖經我很喜歡
[00:00:42.000 --> 00:00:45.000]  這節經文我非常喜歡
[00:00:45.000 --> 00:00:46.500]  我希望你們也喜歡
[00:00:46.500 --> 00:00:48.000]  而且有念
[00:00:48.000 --> 00:00:49.500]  我希望你們也喜歡
[00:00:49.500 --> 00:00:51.500]  並且能夠熟記
[00:00:51.500 --> 00:00:53.500]  上帝說
[00:00:53.500 --> 00:00:56.500]  我造光又造暗
[00:00:56.500 --> 00:00:59.000]  我造光又造暗
[00:00:59.000 --> 00:01:02.000]  我施平安又降災禍
[00:01:02.000 --> 00:01:04.500]  我施平安又降災禍
[00:01:04.500 --> 00:01:09.000]  這是造作者一切的是我耶和華
[00:01:09.000 --> 00:01:12.000]  造作這一切的是我耶和華
[00:01:12.000 --> 00:01:15.000]  如果你相信上帝的話
[00:01:15.000 --> 00:01:17.000]  如果你相信上帝的話
[00:01:17.000 --> 00:01:20.500]  你就將這句聖經記在你心裡面
[00:01:20.500 --> 00:01:23.000]  就將這句經文記在心裡面
[00:01:23.000 --> 00:01:25.500]  但如果你是不相信上帝的人
[00:01:25.500 --> 00:01:27.500]  如果你不相信上帝的人
[00:01:27.500 --> 00:01:29.000]  你怎樣解釋這聖經呢?
[00:01:29.000 --> 00:01:30.500]  怎樣去解釋這聖經呢?
[00:01:30.500 --> 00:01:32.500]  神又是你,鬼又是你
[00:01:32.500 --> 00:01:35.500]  神也是你,做鬼的也是你
[00:01:35.500 --> 00:01:36.500]  大家聽不聽到?
[00:01:36.500 --> 00:01:37.500]  大家有沒有看到?
[00:01:37.500 --> 00:01:39.500]  光和暗是不是相反的?
[00:01:39.500 --> 00:01:42.000]  光和暗是相對的
[00:01:42.000 --> 00:01:43.000]  平安災禍
[00:01:43.000 --> 00:01:45.000]  平安和災禍
[00:01:45.000 --> 00:01:47.000]  上帝賜兩樣
[00:01:47.000 --> 00:01:49.500]  上帝恩賜這兩樣
[00:01:49.500 --> 00:01:51.000]  大家看到一樣東西
[00:01:51.000 --> 00:01:53.000]  上帝說我兩樣都給
[00:01:53.000 --> 00:01:55.500]  上帝說我這兩樣都給
[00:01:55.500 --> 00:01:56.500]  各位頂尖媒
[00:01:56.500 --> 00:01:57.500]  各位頂尖媒
[00:01:57.500 --> 00:01:59.500]  今天的人很多神學觀
[00:01:59.500 --> 00:02:01.500]  今天的人很多神學觀
[00:02:01.500 --> 00:02:02.500]  自己改了
[00:02:02.500 --> 00:02:04.000]  自己都改了
[00:02:04.000 --> 00:02:05.500]  或者他信的上帝呢?
[00:02:05.500 --> 00:02:08.500]  他信的偶像他的神呢?
[00:02:08.500 --> 00:02:10.000]  他信的偶像他的神
[00:02:10.000 --> 00:02:11.000]  只對我好的
[00:02:11.000 --> 00:02:12.000]  只對我好的
[00:02:12.000 --> 00:02:13.000]  不會講災禍的
[00:02:13.000 --> 00:02:14.000]  不會講災禍的
[00:02:14.000 --> 00:02:15.000]  對不起
[00:02:15.000 --> 00:02:15.500]  對不起
[00:02:15.500 --> 00:02:17.500]  我們的上帝他沒有這樣說
[00:02:17.500 --> 00:02:19.500]  我們的上帝從來沒有這樣說過
[00:02:19.500 --> 00:02:21.000]  他造光又造暗
[00:02:21.000 --> 00:02:22.500]  他造光又造暗
[00:02:22.500 --> 00:02:24.500]  他施平安又放災
[00:02:24.500 --> 00:02:27.000]  他施平安又降災禍
[00:02:27.000 --> 00:02:30.000]  所以問題就是說
[00:02:30.000 --> 00:02:32.000]  究竟為什麼上帝要做什麼
[00:02:32.000 --> 00:02:33.000]  為什麼要這樣做呢?
[00:02:33.000 --> 00:02:34.500]  這個就是我們要研究的地方
[00:02:34.500 --> 00:02:36.500]  上帝為什麼要這麼做呢?
