
[00:00:00.000 --> 00:00:03.080]  主播我想大家去想一想一個畫面
[00:00:03.080 --> 00:00:04.340]  有一個人
[00:00:04.340 --> 00:00:06.400]  站在江邊
[00:00:06.400 --> 00:00:07.940]  夜色深沉
[00:00:07.940 --> 00:00:10.500]  四面楚歌,你猜這是什麼人呢
[00:00:10.500 --> 00:00:12.800]  一聽到四面楚歌,人人都知道
[00:00:12.800 --> 00:00:13.820]  項羽
[00:00:13.820 --> 00:00:20.220]  大家都知道,項羽是中國歷史上一個非常有名的將領,如果大家不熟悉歷史的話
[00:00:20.220 --> 00:00:22.280]  你看電視劇都看不少
[00:00:22.280 --> 00:00:24.580]  這個項羽就是活在
[00:00:24.580 --> 00:00:27.900]  秦朝末年楚漢相爭的時代
[00:00:28.420 --> 00:00:31.500]  他曾經在戰場上擊敗無數的
[00:00:31.500 --> 00:00:38.140]  極為強悍,所以他有一個稱號叫西楚霸王,大家都知道在這個
[00:00:38.140 --> 00:00:39.680]  秦朝滅亡之後
[00:00:39.680 --> 00:00:41.480]  項羽和劉邦
[00:00:41.480 --> 00:00:43.520]  大家知道兩個爭天下
[00:00:43.520 --> 00:00:47.360]  雖然一開始的時候,這個項羽佔優勢
[00:00:47.360 --> 00:00:51.200]  不過久而久之,後來局勢慢慢的逆轉
[00:00:51.200 --> 00:00:53.000]  在一個叫做
[00:00:53.000 --> 00:00:57.600]  蓋夏之戰那裡,項羽就被劉邦的軍隊包圍
[00:00:58.120 --> 00:01:00.680]  突然之間有一天晚上
[00:01:00.680 --> 00:01:02.720]  全來楚歌
[00:01:02.720 --> 00:01:07.840]  他們的士兵就以為我們的家鄉
[00:01:07.840 --> 00:01:08.880]  已經淪陷了
[00:01:08.880 --> 00:01:10.920]  因此而軍心
[00:01:10.920 --> 00:01:12.460]  潰敗
[00:01:12.460 --> 00:01:18.080]  這就是我們所說的四面楚歌這個成語的由來
[00:01:18.080 --> 00:01:19.360]  項羽
[00:01:19.360 --> 00:01:20.640]  後來突圍
[00:01:20.640 --> 00:01:24.240]  然後就去到一個烏江邊
[00:01:24.740 --> 00:01:30.380]  他的部下就勸項羽,不如你回江東
[00:01:30.380 --> 00:01:31.400]  重整
[00:01:31.400 --> 00:01:33.200]  旗鼓,我們再來過
[00:01:33.200 --> 00:01:35.240]  但是項羽就說
[00:01:35.240 --> 00:01:36.780]  我沒有顏面
[00:01:36.780 --> 00:01:38.560]  再見江東父老
[00:01:38.560 --> 00:01:40.880]  就是這樣,大家都知道結果是怎樣
[00:01:40.880 --> 00:01:43.940]  他就在這個烏江
[00:01:43.940 --> 00:01:45.740]  置敏而死
[00:01:45.740 --> 00:01:48.040]  就是這樣結束了他的一生
[00:01:48.040 --> 00:01:52.640]  等一下,我想你把畫面又轉到另外一個畫面
[00:01:53.160 --> 00:01:54.960]  來到一個的
[00:01:54.960 --> 00:01:56.240]  也是水邊
[00:01:56.240 --> 00:01:57.760]  也是一個人
[00:01:57.760 --> 00:02:00.320]  在清晨的海邊
[00:02:00.320 --> 00:02:02.380]  大家還可以聞到一些
[00:02:02.380 --> 00:02:04.420]  漁港的氣味
[00:02:04.420 --> 00:02:05.700]  這個人是誰
