
[00:00:00.000 --> 00:00:02.120]  羅馬書的第二講
[00:00:02.120 --> 00:00:05.080]  羅馬書的一章一至七節
[00:00:05.080 --> 00:00:08.740]  我給今天的信息
[00:00:08.740 --> 00:00:10.880]  有一個很有趣的題目
[00:00:10.880 --> 00:00:14.440]  七節經文濃縮羅馬書
[00:00:14.440 --> 00:00:17.000]  讀聖經
[00:00:17.000 --> 00:00:20.000]  很重要的是要懂得分段
[00:00:20.000 --> 00:00:23.960]  為何一至七節成為一個段落
[00:00:23.960 --> 00:00:28.120]  大家看看羅馬書第一章七節尾怎麼講
[00:00:28.120 --> 00:00:30.280]  願因為平安
[00:00:30.280 --> 00:00:32.400]  從我們的父神
[00:00:32.400 --> 00:00:34.120]  並主耶穌基督
[00:00:34.120 --> 00:00:36.200]  歸與你們
[00:00:36.200 --> 00:00:39.480]  突然間保羅有一個小型的祝福
[00:00:39.480 --> 00:00:40.800]  在第七節
[00:00:40.800 --> 00:00:43.320]  所以很明顯一至七節
[00:00:43.320 --> 00:00:46.000]  是同一個單位
[00:00:46.000 --> 00:00:47.400]  是講什麼呢
[00:00:47.400 --> 00:00:50.760]  是整部羅馬書的縮寫
[00:00:50.760 --> 00:00:55.680]  我以前也寫過很多科學的文章
[00:00:55.680 --> 00:00:57.040]  很多論文
[00:00:57.040 --> 00:01:00.080]  寫完科學的論文之後
[00:01:00.080 --> 00:01:03.240]  在書前要加一個abstract
[00:01:03.240 --> 00:01:07.080]  加一個摘要或者是撮要
[00:01:07.080 --> 00:01:10.920]  大概是二百至二百五十個字
[00:01:10.920 --> 00:01:12.120]  就是要告訴別人
[00:01:12.120 --> 00:01:16.480]  這個論文裡講的是什麼
[00:01:16.480 --> 00:01:18.440]  你寫得好的話
[00:01:18.440 --> 00:01:19.880]  有人會看
[00:01:19.880 --> 00:01:21.080]  你寫得不好
[00:01:21.080 --> 00:01:23.920]  在雜誌裡那麼多的文章
[00:01:23.920 --> 00:01:26.280]  別人怎麼知道看哪一篇
[00:01:26.280 --> 00:01:27.560]  看了abstract
[00:01:27.560 --> 00:01:31.280]  他們就決定讀還是不讀這篇文章
[00:01:31.280 --> 00:01:36.160]  保羅在羅馬書一章一至七節
[00:01:36.160 --> 00:01:38.680]  有一個小型的abstract
[00:01:38.680 --> 00:01:42.520]  可以說是整部羅馬書的精華
[00:01:42.520 --> 00:01:45.640]  亦是非常簡潔
[00:01:45.640 --> 00:01:49.320]  其實在聖經裡有很多類似的經文
[00:01:49.320 --> 00:01:53.000]  我們熟悉的十誡就是其中一樣
[00:01:53.000 --> 00:01:57.720]  二百九十七個英文字母的十誡
[00:01:57.720 --> 00:02:02.720]  是將全部舊約道德的律法講出來
[00:02:02.720 --> 00:02:07.160]  而耶穌基督將它更加濃縮到兩節的經文
[00:02:07.160 --> 00:02:08.600]  是什麼
[00:02:08.600 --> 00:02:12.360]  要盡心盡性盡意愛主你的神
[00:02:12.360 --> 00:02:14.680]  其次就是愛人若己
[00:02:14.680 --> 00:02:18.040]  這個就包含了所有道德律法
[00:02:18.040 --> 00:02:20.800]  在這兩節的話語裡
[00:02:20.800 --> 00:02:23.760]  亦好像是主討聞
[00:02:23.760 --> 00:02:26.720]  在英文版本六十五個字
[00:02:26.720 --> 00:02:30.600]  耶穌基督教我們怎樣來討告
[00:02:30.600 --> 00:02:34.240]  所以羅馬書一章一至七節都是一樣
[00:02:34.240 --> 00:02:38.480]  讓我們看到整部羅馬書是講些什麼
[00:02:38.480 --> 00:02:43.920]  其實七節的經文有五個主題
[00:02:43.920 --> 00:02:49.080]  我上一次跟大家講羅馬書的介紹時也講過
[00:02:49.080 --> 00:02:52.600]  保羅寫羅馬書是要介紹福音
[00:02:52.600 --> 00:02:57.480]  他亦是要將自己介紹給羅馬的信徒
[00:02:57.480 --> 00:02:58.960]  所以我們看到
[00:02:58.960 --> 00:03:01.960]  在書頭的七節經文有五個介紹
[00:03:01.960 --> 00:03:04.160]  第一是對福音的介紹
[00:03:04.160 --> 00:03:07.600]  第二是福音傳達者的介紹
[00:03:07.600 --> 00:03:09.600]  就是保羅自己
[00:03:09.600 --> 00:03:13.120]  第三是福音主角的介紹
