
[00:00:00.000 --> 00:00:04.880]  我們廣東人是有一個術語的
[00:00:04.880 --> 00:00:08.880]  相信說出來你又會很熟,我又會很熟
[00:00:08.880 --> 00:00:13.480]  你聽別人說,可能你自己也說過也不一定
[00:00:13.480 --> 00:00:17.000]  這個術語是什麼呢?三個字
[00:00:17.000 --> 00:00:20.000]  武罔管
[00:00:20.000 --> 00:00:24.200]  武罔管
[00:00:24.200 --> 00:00:27.480]  譬如我們有時候也聽到,有些人這麼說
[00:00:27.480 --> 00:00:35.480]  你知不知道,以前九龍城寨是沒有罔管的
[00:00:35.480 --> 00:00:38.080]  王道獨也在那裏
[00:00:38.080 --> 00:00:41.080]  而且身份不明,所以很難處理
[00:00:41.080 --> 00:00:43.080]  所以說武罔管
[00:00:43.080 --> 00:00:45.760]  我想我們也聽過很多,甚至說過很多
[00:00:45.760 --> 00:00:48.880]  究竟這三個字是什麼意思呢?
[00:00:48.880 --> 00:00:50.680]  也很容易明白的
[00:00:50.680 --> 00:00:53.280]  武就是沒有
[00:00:53.280 --> 00:00:57.280]  罔就是帶頭
[00:00:57.280 --> 00:00:59.680]  管理的人
[00:00:59.680 --> 00:01:01.680]  管就是管治管理
[00:01:01.680 --> 00:01:04.080]  就是沒有帶頭,沒有領導去管理
[00:01:04.080 --> 00:01:07.680]  於是就出現一種亂象
[00:01:07.680 --> 00:01:10.680]  所以我們有時候就用這三個字
[00:01:10.680 --> 00:01:14.080]  這個術語,這個流行的俗語來說
[00:01:14.080 --> 00:01:18.280]  是我們廣東人一說就會很明白
[00:01:18.280 --> 00:01:22.480]  我相信今天我們處身在香港這個境況裏面
[00:01:22.480 --> 00:01:28.880]  或多或少我們對這三個字的感受會比較深
[00:01:28.880 --> 00:01:32.880]  我也很納悶,我也很沉重
[00:01:32.880 --> 00:01:38.080]  所以這三個字都會比我們容易想到
[00:01:38.080 --> 00:01:41.280]  但是我們不需要單單想現在的境況
[00:01:41.280 --> 00:01:44.880]  我們發現原來這些境況很多時候都有
[00:01:44.880 --> 00:01:49.680]  因爲起碼在聖經裏面都有類似的記載
