
[00:00:00.000 --> 00:00:01.440]  各位大紀元社會午安
[00:00:01.440 --> 00:00:05.840]  不知道大家還記不記得我上次說彼得前書是什麼時候
[00:00:05.840 --> 00:00:07.120]  我自己也不太記得
[00:00:07.120 --> 00:00:09.960]  直到我查的時候都已經是
[00:00:09.960 --> 00:00:11.880]  去年的五月
[00:00:11.880 --> 00:00:14.360]  轉眼間我們就快到新年了
[00:00:14.360 --> 00:00:19.200]  我們說彼得前書究竟是一本什麼樣的書呢
[00:00:19.200 --> 00:00:21.560]  因為事隔了已經超過半年
[00:00:21.560 --> 00:00:25.200]  我說我們用三幅圖畫首先來回顧彼得前書
[00:00:25.200 --> 00:00:26.800]  是一本什麼樣的書
[00:00:27.960 --> 00:00:30.520]  第一幅圖畫我會用一個電波塔
[00:00:30.520 --> 00:00:34.520]  這幅圖畫來自這封信的第一節的經文
[00:00:34.520 --> 00:00:36.520]  彼得前書一章一節
[00:00:36.520 --> 00:00:40.640]  耶穌基督的使徒彼得寫信給那些被揀選
[00:00:40.640 --> 00:00:44.720]  分散在本都、加拉泰、加伯多加、亞細亞
[00:00:44.720 --> 00:00:47.480]  被推離寄居的人
[00:00:47.480 --> 00:00:55.920]  OK
[00:00:56.920 --> 00:01:01.520]  這五個地方其實是一個非常之廣大的區域
[00:01:01.520 --> 00:01:03.720]  如果你看回現代地圖
[00:01:03.720 --> 00:01:08.400]  它是由東去到西橫跨整個現代的土耳其
[00:01:08.400 --> 00:01:13.280]  所以我認為彼得前書其實是一個公開的廣播
[00:01:13.280 --> 00:01:18.400]  是彼得向一個廣大地區的基督徒作的公開廣播
[00:01:18.400 --> 00:01:22.360]  彼得廣的對象包括猶太人的基督徒
[00:01:22.360 --> 00:01:24.640]  還有非猶太人的基督徒
[00:01:24.640 --> 00:01:26.440]  這一點非常之重要
[00:01:26.440 --> 00:01:28.720]  因為會影響我們之後的釋經
[00:01:28.720 --> 00:01:31.280]  在彼得前書寫作的時候
[00:01:31.280 --> 00:01:36.400]  政權對早期教會大規模的迫害還沒發生
[00:01:36.400 --> 00:01:38.880]  但是情況已經越來越凶險了
[00:01:38.880 --> 00:01:43.920]  早期的教會被周圍的社會去斥責和拒絕
[00:01:43.920 --> 00:01:46.120]  在那個時候信耶穌
[00:01:46.120 --> 00:01:48.520]  在那個年代所謂口裡承認
[00:01:48.520 --> 00:01:50.920]  心裡相信耶穌基督是主
[00:01:50.920 --> 00:01:55.040]  不單止可能危及到職業和生計
[00:01:55.520 --> 00:01:58.560]  甚至乎可能被自己的家人斷絕關係
[00:01:58.560 --> 00:02:01.760]  被逮捕、毆打、甚至殺害
[00:02:01.760 --> 00:02:05.880]  所以你真的不要以為羅馬書那句口裡承認
[00:02:05.880 --> 00:02:08.560]  心裡相信是相當容易的
[00:02:08.560 --> 00:02:11.560]  很多現代的基督徒以為口裡承認
[00:02:11.560 --> 00:02:13.640]  心裡相信是輕而易舉
[00:02:13.640 --> 00:02:16.800]  信耶穌其實是買一份保險而已
[00:02:16.800 --> 00:02:20.480]  但是初期教會的情況完全不是這樣
[00:02:20.480 --> 00:02:23.800]  初期教會我們說有一個生命的軌跡
[00:02:24.400 --> 00:02:26.640]  而初期教會的生命軌跡
[00:02:26.640 --> 00:02:29.600]  和耶穌基督的生命軌跡是一致的
[00:02:29.600 --> 00:02:31.560]  那個軌跡有一個名字
[00:02:31.560 --> 00:02:33.880]  叫做「受苦進入榮耀」
[00:02:33.880 --> 00:02:39.000]  初期教會是見證耶穌基督是主而受苦的教會
[00:02:39.000 --> 00:02:42.680]  使徒彼得在這個時候記得主的命令
[00:02:42.680 --> 00:02:45.280]  大家記不記得《路加福音》第二十二章
[00:02:45.280 --> 00:02:49.440]  當耶穌預言彼得會三次否認耶穌的時候
[00:02:49.440 --> 00:02:50.320]  耶穌這樣說
[00:02:50.320 --> 00:02:52.600]  《路加福音》第二十二章
[00:02:53.760 --> 00:02:56.680]  「西門西門 撒旦要得著你們」
[00:02:56.680 --> 00:02:59.360]  「好西你們像西脈子一樣」
[00:02:59.360 --> 00:03:02.520]  「但我已經為你 彼得去祈求」
[00:03:02.520 --> 00:03:04.840]  「使你不至於失了信心」
[00:03:04.840 --> 00:03:09.320]  「你 彼得回頭以後要兼顧你的弟兄」
[00:03:09.320 --> 00:03:12.040]  現在彼得已經回頭了
[00:03:12.040 --> 00:03:15.440]  他渴望去兼顧早期的教會
[00:03:15.440 --> 00:03:19.520]  他想提醒教會不要害怕這個世界的迫害
[00:03:19.520 --> 00:03:22.200]  而是要敬畏永恆的上帝
[00:03:23.000 --> 00:03:25.680]  而事實上這也是耶穌自己的教導
[00:03:25.680 --> 00:03:26.600]  耶穌自己這樣說
[00:03:26.600 --> 00:03:27.800]  在《馬太福音》十章
[00:03:27.800 --> 00:03:31.360]  「看啊!我差你們出去如同羊進入狼群」
[00:03:31.360 --> 00:03:33.760]  「他們要把你交給義會」
[00:03:33.760 --> 00:03:36.840]  「也要在會堂裡鞭打你們」
[00:03:36.840 --> 00:03:38.800]  「你們要為我的緣故」
[00:03:38.800 --> 00:03:41.000]  「送到統治者和君王面前」
[00:03:41.000 --> 00:03:44.280]  「對他們和外邦人作見證」
[00:03:44.280 --> 00:03:47.480]  既然這是耶穌的教導
[00:03:47.480 --> 00:03:48.600]  那有什麼應用呢
[00:03:48.600 --> 00:03:49.520]  耶穌繼續
[00:03:50.320 --> 00:03:54.280]  「那殺人身體但不能滅人靈魂的不要怕他們」
[00:03:54.280 --> 00:03:56.600]  「唯有那能在地獄裡」
[00:03:56.600 --> 00:04:00.280]  「毀滅身體和靈魂的才要怕他」
[00:04:00.280 --> 00:04:03.880]  我再讀多三字經文來完成這幅圖畫
[00:04:03.880 --> 00:04:06.920]  「兩隻麻雀不是賣一銅錢嗎?」
[00:04:06.920 --> 00:04:08.560]  「你們的富弱不許」
[00:04:08.560 --> 00:04:10.440]  「一隻也不會吊在地上」
[00:04:10.440 --> 00:04:13.440]  「就是你們的頭髮也數過了」
[00:04:13.440 --> 00:04:15.640]  「所以不要懼怕」
[00:04:15.640 --> 00:04:18.360]  「你們比許多麻雀還貴重呢?」
[00:04:19.240 --> 00:04:21.920]  而事實上今天的經文將會告訴我們
[00:04:21.920 --> 00:04:24.640]  不僅你們比許多麻雀還貴重
[00:04:24.640 --> 00:04:27.520]  你們是被基督的寶血所賣淑的
[00:04:27.520 --> 00:04:29.280]  我稍後會回來這一點
[00:04:29.280 --> 00:04:32.280]  第二幅有關彼得前書的圖畫
[00:04:32.280 --> 00:04:33.800]  我會用一頂的帳篷
[00:04:33.800 --> 00:04:36.120]  這個也是來自一章一節的
[00:04:36.120 --> 00:04:38.240]  在一章一節你會留意到
