
[00:00:00.000 --> 00:00:04.700]  我上星期已經提到我們基督徒的生命是生命影響生命
[00:00:04.700 --> 00:00:10.500]  無論你的背景、你的學歷、你的一切的一切
[00:00:10.500 --> 00:00:12.000]  不是最重要的
[00:00:12.000 --> 00:00:14.200]  重要的是你的存在已經有影響力了
[00:00:14.200 --> 00:00:16.500]  跟你旁邊的人說清楚,你是有影響力的
[00:00:16.500 --> 00:00:23.400]  基督教和非基督教的生命影響生命是很自然不同
[00:00:23.400 --> 00:00:26.400]  自然不同的地方我們不是靠我們過往的經歷
[00:00:26.400 --> 00:00:29.100]  不是靠我們裏面擁有的資源去影響別人
[00:00:29.100 --> 00:00:32.900]  而是必須要我跟上帝建立一個親密的關係
[00:00:32.900 --> 00:00:36.300]  以致到我能夠影響旁邊那個人
[00:00:36.300 --> 00:00:41.700]  不是像我,而是影響旁邊那個人去到上帝的面前
[00:00:41.700 --> 00:00:44.100]  不是讓那個人來到我面前
[00:00:44.100 --> 00:00:45.900]  而是去到上帝的面前
[00:00:45.900 --> 00:00:48.700]  組長們,不要失望,不要失望
[00:00:48.700 --> 00:00:51.500]  你做了這麼多年組長,可能沒有組員擁護你
[00:00:51.500 --> 00:00:53.500]  你應該為這件事感恩
[00:00:55.100 --> 00:00:59.700]  你應該為你的組員愛主而感恩,不是愛你而感恩
[00:00:59.700 --> 00:01:01.700]  當然他愛主自然也會愛你
[00:01:01.700 --> 00:01:05.500]  但如果只是愛你不愛主是很恐怖的事情
[00:01:05.500 --> 00:01:09.100]  他擁護你沒有擁護上帝是很恐怖的事情
[00:01:09.100 --> 00:01:12.100]  如果他擁護上帝自然也會擁護你,對嗎?
[00:01:12.100 --> 00:01:16.300]  這裡有多少人是組長請你舉手,組長請你舉手
[00:01:16.300 --> 00:01:19.700]  旁邊的人跟他說,你的組員會愛神也會愛你
[00:01:22.500 --> 00:01:28.100]  組長不要搞錯,我們吸引我們的組員去愛神,不是愛我
[00:01:28.100 --> 00:01:31.300]  但當他愛神,他會愛我
[00:01:31.300 --> 00:01:35.700]  但他愛我,不等於他愛神,對嗎?
[00:01:35.700 --> 00:01:38.900]  如果你的組員愛你不愛神,你會很失敗
[00:01:38.900 --> 00:01:43.500]  最失敗的組長是令到組員很愛自己,沒有愛上帝
[00:01:43.500 --> 00:01:45.700]  但這些組長很開心
[00:01:45.700 --> 00:01:49.900]  這是人性,對嗎?
[00:01:50.300 --> 00:01:54.700]  但我們必須要讓我們的組員被吸引去愛上帝
