
[00:00:00.000 --> 00:00:03.000]  (主席)我們說「有所作為」這個題目
[00:00:03.000 --> 00:00:04.400]  都說了好幾次了
[00:00:04.400 --> 00:00:07.200]  「有所作為」的生命是甚麼意思呢?
[00:00:07.200 --> 00:00:11.400]  其實我們想說到有一句英文的說話
[00:00:11.400 --> 00:00:14.200]  它說「Make a difference for Christ」
[00:00:14.200 --> 00:00:16.600]  甚麼叫做「Make a difference for Christ」呢?
[00:00:16.600 --> 00:00:21.200]  其實會不會就是為基督的緣故有所作為?
[00:00:21.200 --> 00:00:23.000]  你想不想你的生命
[00:00:23.000 --> 00:00:26.200]  都為基督的緣故有所作為呢?
[00:00:26.200 --> 00:00:27.600]  你說很難做的
[00:00:27.600 --> 00:00:30.400]  太有所作為其實不是很難做的
[00:00:30.400 --> 00:00:32.200]  我們一起分享過
[00:00:32.200 --> 00:00:33.800]  「有所作為」的生命
[00:00:33.800 --> 00:00:35.200]  第一次我們說到
[00:00:35.200 --> 00:00:36.800]  是我們學去祈禱
[00:00:36.800 --> 00:00:38.400]  我們多點去祈禱
[00:00:38.400 --> 00:00:40.200]  亦都是為人來代禱
[00:00:40.200 --> 00:00:41.800]  我們怎樣的代禱呢?
[00:00:41.800 --> 00:00:43.600]  祈禱上帝才會英文呢?
[00:00:43.600 --> 00:00:46.200]  我們多點看我們的聖經
[00:00:46.200 --> 00:00:47.200]  每天看聖經
[00:00:47.200 --> 00:00:48.800]  然後每天就會知道
[00:00:48.800 --> 00:00:51.800]  怎樣去祈禱和怎樣為人來祈禱
[00:00:51.800 --> 00:00:53.400]  如果這個是上帝的心意
[00:00:53.400 --> 00:00:54.600]  聖經裏面這樣說的時候
[00:00:54.600 --> 00:00:56.200]  這個祈禱一定是英文的
[00:00:56.200 --> 00:00:59.000]  然後第二個禮拜我們就一起思想到
[00:00:59.000 --> 00:01:01.200]  怎樣講生命的見證
[00:01:01.200 --> 00:01:02.600]  我們講到是叫做
[00:01:02.600 --> 00:01:04.800]  講我們福音的故事
[00:01:04.800 --> 00:01:08.200]  講我們自己怎樣是蒙恩的故事
[00:01:08.200 --> 00:01:11.200]  我又鼓勵各位弟兄姊妹
[00:01:11.200 --> 00:01:14.000]  請你去寫這個福音故事
[00:01:14.000 --> 00:01:15.400]  如果我們初信耶穌
[00:01:15.400 --> 00:01:16.400]  剛剛信耶穌
[00:01:16.400 --> 00:01:18.600]  即是一年半載
[00:01:18.600 --> 00:01:20.600]  很容易寫我們的福音故事
[00:01:20.600 --> 00:01:23.000]  但當你信了主幾十年
[00:01:23.000 --> 00:01:27.000]  怎樣去講你的福音故事去傳福音給人聽
[00:01:27.000 --> 00:01:28.600]  人聽了你的福音故事
[00:01:28.600 --> 00:01:31.600]  讓人心裏面都能夠想去認識主呢?
[00:01:31.600 --> 00:01:32.800]  那就很難講了
[00:01:32.800 --> 00:01:35.000]  因為不知道寫些什麼
[00:01:35.000 --> 00:01:37.200]  所以特別是信了主久的人
[00:01:37.200 --> 00:01:40.200]  我們特別是要學重新寫
[00:01:40.200 --> 00:01:42.400]  如果我是五分鐘的
[00:01:42.400 --> 00:01:45.200]  要講我的福音故事給人聽
[00:01:45.200 --> 00:01:47.200]  我會寫些講些什麼呢?
[00:01:47.200 --> 00:01:48.200]  所以我們上個禮拜
[00:01:48.200 --> 00:01:50.400]  就邀請各位弟兄姊妹
[00:01:50.400 --> 00:01:52.600]  請你寫你的福音故事
[00:01:52.600 --> 00:01:53.600]  要寫下來
