
[00:00:00.000 --> 00:00:03.220]  每逢這些聖誕的慶祝會
[00:00:03.220 --> 00:00:05.600]  有一項節目一定會出現的
[00:00:05.600 --> 00:00:07.600]  你猜是甚麼呢?
[00:00:07.600 --> 00:00:12.340]  是聖誕景
[00:00:12.340 --> 00:00:21.180]  或者叫做耶穌降生的馬槽的話劇
[00:00:21.180 --> 00:00:23.180]  是嗎?
[00:00:26.580 --> 00:00:32.680]  我考考大家,特別是有來有參加有看的
[00:00:32.680 --> 00:00:36.040]  記不記得誰扮馬尼亞呢?
[00:00:36.040 --> 00:00:40.040]  誰扮耶穌呢?
[00:00:40.040 --> 00:00:44.360]  扮演馬尼亞那個我還記得
[00:00:44.360 --> 00:00:46.360]  是湯子恩
[00:00:46.360 --> 00:00:50.740]  世賢和Mill的女兒
[00:00:50.740 --> 00:00:54.740]  那扮演耶穌的是誰呢?
[00:00:56.140 --> 00:00:58.140]  是沒有人扮演耶穌的
[00:00:58.140 --> 00:01:00.140]  通常聖誕劇
[00:01:00.140 --> 00:01:02.140]  因為耶穌是一個BB
[00:01:02.140 --> 00:01:05.140]  通常用公仔來代替
[00:01:05.140 --> 00:01:09.140]  我們可以想像
[00:01:09.140 --> 00:01:11.140]  小朋友少極也好
[00:01:11.140 --> 00:01:15.140]  不會扮演出生的BB
[00:01:15.140 --> 00:01:17.140]  也不會有家長
[00:01:17.140 --> 00:01:21.140]  放心將BB交給小朋友來玩
[00:01:21.140 --> 00:01:25.140]  也不放心將剛出生的BB
[00:01:25.140 --> 00:01:27.140]  放在馬槽裏面
[00:01:27.140 --> 00:01:31.140]  很不安全或者很不衛生
[00:01:31.140 --> 00:01:38.140]  根據聖經的記載
[00:01:38.140 --> 00:01:41.140]  當日耶穌出生的時候
[00:01:41.140 --> 00:01:43.140]  用布包好之後
[00:01:43.140 --> 00:01:45.140]  就放在馬槽裏面
[00:01:45.140 --> 00:01:49.140]  馬槽是甚麼意思呢?
[00:01:49.140 --> 00:01:53.140]  馬槽是甚麼呢?
[00:01:53.140 --> 00:01:57.140]  馬槽就是一個盤子
[00:01:57.140 --> 00:02:00.140]  放置飼料餵生畜
[00:02:00.140 --> 00:02:02.140]  餵牛、餵馬、餵驢
[00:02:02.140 --> 00:02:04.140]  一個大的盤子
[00:02:04.140 --> 00:02:06.140]  通常是長方形的
[00:02:06.140 --> 00:02:08.140]  可以是木造的
[00:02:08.140 --> 00:02:10.140]  可以是石造的
[00:02:10.140 --> 00:02:21.140]  為甚麼要將BB放在馬槽裏面呢?
[00:02:21.140 --> 00:02:30.140]  雖然馬槽跟現在的BB盤子很相似
[00:02:30.140 --> 00:02:36.140]  但為甚麼要將一個初生的BB放在馬槽裏面呢?
[00:02:36.140 --> 00:02:38.140]  聖經解釋說
[00:02:38.140 --> 00:02:42.140]  因為客店裡沒有地方
[00:02:42.140 --> 00:02:45.140]  這是路加福音2:7
[00:02:45.140 --> 00:02:47.140]  剛才我們讀過
[00:02:49.140 --> 00:02:53.140]  描述耶穌降生的地方、環境
[00:02:53.140 --> 00:02:57.140]  只有這一節的聖經
[00:02:57.140 --> 00:03:01.140]  憑這一節這麼簡單描述的聖經
[00:03:01.140 --> 00:03:03.140]  其實很難掌握到
[00:03:03.140 --> 00:03:09.140]  實際那個環境或那個地方是怎樣的
[00:03:09.140 --> 00:03:11.140]  因此
[00:03:11.140 --> 00:03:13.140]  不同的聖經學者
[00:03:13.140 --> 00:03:16.140]  他們有不同的猜測
[00:03:16.140 --> 00:03:18.140]  或者他們的研究
[00:03:18.140 --> 00:03:20.140]  有些人說
[00:03:20.140 --> 00:03:22.140]  這個馬房
[00:03:22.140 --> 00:03:25.140]  這個出生的地方是一個馬房
[00:03:25.140 --> 00:03:27.140]  有些人說
[00:03:27.140 --> 00:03:31.140]  是在山邊的一間馬房
[00:03:31.140 --> 00:03:32.140]  不過是在山邊
[00:03:32.140 --> 00:03:33.140]  有些人說
[00:03:33.140 --> 00:03:35.140]  不是,是在這間客店的後面
[00:03:35.140 --> 00:03:37.140]  一間馬房
[00:03:37.140 --> 00:03:42.140]  有不同的說法
[00:03:42.140 --> 00:03:43.140]  但是
[00:03:43.140 --> 00:03:45.140]  它有一樣相同的
[00:03:45.140 --> 00:03:46.140]  就是甚麼呢?
[00:03:46.140 --> 00:03:49.140]  大家都會說那是一個馬房
[00:03:49.140 --> 00:03:50.140]  或者是
[00:03:50.140 --> 00:03:52.140]  廷放生畜的地方
[00:03:52.140 --> 00:03:54.140]  因為
[00:03:54.140 --> 00:03:55.140]  因為聖經裡說
[00:03:55.140 --> 00:03:57.140]  是有一個馬槽在那裡
[00:03:57.140 --> 00:04:02.140]  那究竟
[00:04:02.140 --> 00:04:05.140]  耶穌降生的地方是甚麼地方呢?
[00:04:05.140 --> 00:04:09.140]  等一下
[00:04:09.140 --> 00:04:12.140]  我也會說說這方面的訊息
[00:04:14.140 --> 00:04:16.140]  其實
[00:04:16.140 --> 00:04:20.140]  耶穌降生的那個地方環境
[00:04:20.140 --> 00:04:22.140]  其實不是最重要的
[00:04:22.140 --> 00:04:25.140]  最重要的是
[00:04:25.140 --> 00:04:28.140]  是那個馬槽
[00:04:28.140 --> 00:04:33.140]  究竟馬槽是甚麼意思呢?
[00:04:33.140 --> 00:04:35.140]  大家去想一想
[00:04:35.140 --> 00:04:36.140]  大家剛才讀經文的時候
[00:04:36.140 --> 00:04:37.140]  不知道你會不會想
[00:04:37.140 --> 00:04:41.140]  會不會留意到
[00:04:42.140 --> 00:04:44.140]  路加福音的作者
[00:04:44.140 --> 00:04:45.140]  路加
[00:04:45.140 --> 00:04:48.140]  他只是用了一句的聖經
[00:04:48.140 --> 00:04:50.140]  來很簡單地去描述
[00:04:50.140 --> 00:04:53.140]  耶穌降生的那個地方的情況
[00:04:53.140 --> 00:04:54.140]  但是卻是用了
[00:04:54.140 --> 00:04:56.140]  有三節聖經裡面
[00:04:56.140 --> 00:04:59.140]  有三次提到馬槽
[00:04:59.140 --> 00:05:01.140]  那就是說
[00:05:01.140 --> 00:05:04.140]  路加他是想讀者
[00:05:04.140 --> 00:05:06.140]  想我們去留意的
[00:05:06.140 --> 00:05:08.140]  不是那個地方的環境
[00:05:08.140 --> 00:05:10.140]  是要留意那個馬槽
[00:05:12.140 --> 00:05:15.140]  我們不要將焦點放在那個地方
[00:05:15.140 --> 00:05:16.140]  當然
[00:05:16.140 --> 00:05:17.140]  聖經沒有說的東西
[00:05:17.140 --> 00:05:20.140]  通常我們最有興趣去猜測
[00:05:20.140 --> 00:05:29.140]  路加是想我們去留意
[00:05:29.140 --> 00:05:32.140]  那個馬槽究竟是甚麼意思
[00:05:32.140 --> 00:05:33.140]  所以今天
[00:05:33.140 --> 00:05:35.140]  我就和大家一起去看看
[00:05:35.140 --> 00:05:39.140]  在這段聖經裡面所說到的馬槽
[00:05:39.140 --> 00:05:40.140]  究竟對我們
[00:05:40.140 --> 00:05:42.140]  現在的信徒有甚麼意義
[00:05:42.140 --> 00:05:43.140]  當然
[00:05:43.140 --> 00:05:45.140]  我們去看這個馬槽
[00:05:45.140 --> 00:05:47.140]  不是只看這個馬槽
[00:05:47.140 --> 00:05:49.140]  而是去看
[00:05:49.140 --> 00:05:54.140]  我在馬槽裡面的救主耶穌
[00:05:54.140 --> 00:05:57.140]  究竟對我們有甚麼意義
[00:05:57.140 --> 00:05:59.140]  答案很簡單
[00:05:59.140 --> 00:06:01.140]  救主我在馬槽裡面
[00:06:01.140 --> 00:06:04.140]  是展示了神對我們世人
[00:06:04.140 --> 00:06:07.140]  極大的慈愛和接納
