
[00:00:00.000 --> 00:00:02.000]  各位弟兄姊妹,我們很感恩
[00:00:02.000 --> 00:00:06.000]  再一次有機會實體和弟兄姊妹一齊來去敬拜
[00:00:06.000 --> 00:00:08.000]  每一次都是因為
[00:00:08.000 --> 00:00:09.000]  我們感謝神
[00:00:09.000 --> 00:00:11.000]  而今天是社關主日
[00:00:11.000 --> 00:00:12.000]  我們一起思想關於
[00:00:12.000 --> 00:00:14.000]  天父教導我們
[00:00:14.000 --> 00:00:17.000]  怎樣來關心、愛護我們身邊的人的信息
[00:00:17.000 --> 00:00:18.000]  大家和我一起祈禱
[00:00:18.000 --> 00:00:20.000]  我們再一次仰望主
[00:00:20.000 --> 00:00:26.000]  我們的主,我們感謝祢
[00:00:26.000 --> 00:00:29.000]  因為當我們挽作罪人的時候
[00:00:30.000 --> 00:00:32.000]  祢已經為我們死
[00:00:32.000 --> 00:00:35.000]  主,祢愛我們是無條件的愛
[00:00:35.000 --> 00:00:37.000]  主,祢又吩咐我們
[00:00:37.000 --> 00:00:39.000]  去愛祢的樣式
[00:00:39.000 --> 00:00:41.000]  你也去愛我們身邊的人
[00:00:41.000 --> 00:00:43.000]  所以主,我們祈求祢
[00:00:43.000 --> 00:00:46.000]  相信祢的愛激勵我們的心靈
[00:00:46.000 --> 00:00:48.000]  讓我們更加知道去愛
[00:00:48.000 --> 00:00:52.000]  我們身邊很多不同的生命
[00:00:52.000 --> 00:00:54.000]  求祢賜福這段時間
[00:00:54.000 --> 00:00:56.000]  祢藉著祢寶貴的聖靈
[00:00:56.000 --> 00:00:58.000]  引導我們的心思
[00:00:58.000 --> 00:01:00.000]  不單單是透露上的了解
[00:01:00.000 --> 00:01:02.000]  主,祢讓我們有那種
[00:01:02.000 --> 00:01:05.000]  心靈的感動和動力
[00:01:05.000 --> 00:01:07.000]  可以按照祢對我們的心意
[00:01:07.000 --> 00:01:09.000]  來走出來
[00:01:09.000 --> 00:01:11.000]  我們仰望禱告
[00:01:11.000 --> 00:01:13.000]  奉耶穌基督,聖名祈求
[00:01:13.000 --> 00:01:15.000]  阿門
[00:01:15.000 --> 00:01:18.000]  我們今天會一起思想
[00:01:18.000 --> 00:01:20.000]  有關社關主日的信息
[00:01:20.000 --> 00:01:22.000]  大家知道我們每年有一次
[00:01:22.000 --> 00:01:24.000]  特別的主日
[00:01:24.000 --> 00:01:26.000]  一方面是希望鼓勵我們
[00:01:26.000 --> 00:01:28.000]  更加留心在社會上
[00:01:28.000 --> 00:01:30.000]  各種需要的人
[00:01:30.000 --> 00:01:32.000]  我們懂得去關心
[00:01:32.000 --> 00:01:34.000]  而今天我們特別透過
[00:01:34.000 --> 00:01:36.000]  《馬太福音》二十五章
[00:01:36.000 --> 00:01:38.000]  講出一個更加重要的信息
[00:01:38.000 --> 00:01:43.000]  就是基督徒的生命的本質是什麼
[00:01:43.000 --> 00:01:45.000]  一個真正的基督徒
[00:01:45.000 --> 00:01:49.000]  他的生命會有愛人的行為
[00:01:49.000 --> 00:01:51.000]  無論是信主的
[00:01:51.000 --> 00:01:53.000]  或者未曾信主的對象
[00:01:53.000 --> 00:01:56.000]  都能夠活出那種愛人的
[00:01:56.000 --> 00:01:58.000]  那種生命的表現
[00:01:58.000 --> 00:02:01.000]  這是基督徒生命的本質
[00:02:01.000 --> 00:02:03.000]  《馬太福音》二十五章
[00:02:03.000 --> 00:02:04.000]  我們讀到的時候會知道
[00:02:04.000 --> 00:02:06.000]  是講到關於主耶穌
