
[00:00:00.000 --> 00:00:02.000]  (主席) 聽姊妹早晨
[00:00:02.000 --> 00:00:03.000]  (聽眾) 早晨
[00:00:03.000 --> 00:00:05.000]  (主席) 眨下眼
[00:00:05.000 --> 00:00:09.000]  (主席) 2021年已經去到10月底了
[00:00:09.000 --> 00:00:13.000]  (主席) 我不知道這一年你遇到什麼事
[00:00:13.000 --> 00:00:17.000]  (主席) 你經歷的和你年頭的時候預料的
[00:00:17.000 --> 00:00:20.000]  (主席) 有沒有不同或者相同呢
[00:00:20.000 --> 00:00:23.000]  (主席) 我想除了我們會有不同的經歷之外
[00:00:23.000 --> 00:00:25.000]  (主席) 我們都有共同的經歷
[00:00:25.000 --> 00:00:28.000]  (主席) 我們一起經歷著社會的變化
[00:00:28.000 --> 00:00:30.000]  (主席) 疫情帶來的情況
[00:00:30.000 --> 00:00:33.000]  (主席) 各種的改變帶來的不安
[00:00:33.000 --> 00:00:36.000]  (主席) 很多東西都預料不到的
[00:00:36.000 --> 00:00:38.000]  (主席) 你怎樣去面對呢
[00:00:38.000 --> 00:00:44.000]  (主席) 我們今天讀的經文就是《耳塞亞書》53章
[00:00:44.000 --> 00:00:49.000]  (主席) 這一段的經文表面上是有它的歷史背景的
[00:00:49.000 --> 00:00:55.000]  (主席) 似乎是在形容舊約時代當時的一些歷史人物
[00:00:55.000 --> 00:00:58.000]  (主席) 不過解經家普遍都認為
[00:00:58.000 --> 00:01:01.000]  (主席) 經文其實有更深的一層意義
[00:01:01.000 --> 00:01:08.000]  (主席) 就是指向耶和華上帝為人設計的更加宏大的事情
[00:01:08.000 --> 00:01:12.000]  (主席) 聖旨將會鍍成肉身來到世界
[00:01:12.000 --> 00:01:15.000]  (主席) 甘願走上十字架為人捨己
[00:01:15.000 --> 00:01:18.000]  (主席) 成為了一次過的贖罪劑
[00:01:18.000 --> 00:01:25.000]  (主席) 就讓人不再需要像舊約時代那樣用生畜來贖罪
[00:01:25.000 --> 00:01:28.000]  (主席) 今天的經文我們會分三段去讀
[00:01:28.000 --> 00:01:34.000]  (主席) 我們先看53章第一至五節
[00:01:34.000 --> 00:01:36.000]  (主席) 經文是這樣說的
[00:01:36.000 --> 00:01:39.000]  (主席) 我們所傳的有誰信呢
[00:01:39.000 --> 00:01:43.000]  (主席) 耶和華的望臂向誰顯露呢
[00:01:43.000 --> 00:01:47.000]  (主席) 他在耶和華面前生長如嫩芽
[00:01:47.000 --> 00:01:49.000]  (主席) 像根出於乾地
[00:01:49.000 --> 00:01:52.000]  (主席) 他無佳形美容
[00:01:52.000 --> 00:01:58.000]  (主席) 我們看見他的時候也無美貌使我們羨慕他
