
[00:00:00.000 --> 00:00:03.280]  人生總要面對未來
[00:00:03.280 --> 00:00:06.920]  我們對未來有甚麼想法呢?
[00:00:06.920 --> 00:00:10.320]  我們覺得我們的未來可以是怎樣呢?
[00:00:10.320 --> 00:00:14.640]  我們知道我們的未來有很多不同的可能性
[00:00:14.640 --> 00:00:18.200]  但我們又沒有辦法完全把握
[00:00:18.200 --> 00:00:20.920]  我們可以猜測一下
[00:00:20.920 --> 00:00:23.920]  估計一下我們的未來會怎樣
[00:00:23.920 --> 00:00:27.720]  但是我們又不知道確實是怎樣
[00:00:27.720 --> 00:00:31.360]  我們可以按照現在的情況去推測
[00:00:31.360 --> 00:00:36.800]  我們都可以在別人的經驗裏面嘗試去猜度一下
[00:00:36.800 --> 00:00:40.840]  但是沒有人知道將來實際是怎樣
[00:00:40.840 --> 00:00:43.840]  因為將來是在神的手裏面
[00:00:43.840 --> 00:00:50.960]  而神所做的工作卻是我們沒有辦法完全掌握和可以知道的
[00:00:50.960 --> 00:00:55.440]  復活節復活就是神的一個很特別的工作
[00:00:55.440 --> 00:00:59.800]  是叫我們沒有辦法可以完全明白的
[00:00:59.800 --> 00:01:01.320]  我們一起看一段聖經
[00:01:01.320 --> 00:01:03.880]  在馬可第十六章一到二十字
[00:01:03.880 --> 00:01:07.200]  我們看看馬可對於復活的記載是怎樣的
[00:01:07.200 --> 00:01:12.120]  我們請弟兄和姐妹輪流來讀這段聖經
[00:01:12.120 --> 00:01:13.640]  我們請弟兄開始
[00:01:13.640 --> 00:01:15.240]  準備一二三
[00:01:15.240 --> 00:01:16.720]  過了安息日
[00:01:16.720 --> 00:01:22.520]  沒大拉的瑪利亞和瓦國的母親瑪利亞並殺羅米
[00:01:22.520 --> 00:01:26.520]  買了香膏要去告耶穌的身體
[00:01:26.520 --> 00:01:29.080]  七夕的那天是一日的聖數
[00:01:29.080 --> 00:01:30.840]  出賣了的之後
[00:01:30.840 --> 00:01:33.240]  黑門大道更無那類
[00:01:33.240 --> 00:01:34.520]  彼此說
[00:01:34.520 --> 00:01:38.520]  誰給我們把石頭從墓門滾開呢?
[00:01:38.520 --> 00:01:40.880]  那石頭原來很大
[00:01:40.880 --> 00:01:42.640]  黑門大道一開
