
[00:00:00.000 --> 00:00:02.800]  今早我只有十五分鐘
[00:00:02.800 --> 00:00:06.500]  不過十五分鐘都可以做很多事
[00:00:06.500 --> 00:00:08.500]  我想跟大家做兩件事
[00:00:08.500 --> 00:00:11.300]  第一件事就是思想一段聖經
[00:00:11.300 --> 00:00:15.100]  這段聖經就是路加福音第十八章
[00:00:15.100 --> 00:00:17.400]  第一節八節聖經
[00:00:17.400 --> 00:00:21.000]  是耶穌的一個禱告的比喻
[00:00:21.000 --> 00:00:24.300]  第二件事我想大家跟我一起完成的
[00:00:24.300 --> 00:00:27.100]  就是做完一個揮春
[00:00:27.100 --> 00:00:28.900]  我給了大家上戀
[00:00:28.900 --> 00:00:30.900]  我們要猜下戀是什麼
[00:00:30.900 --> 00:00:37.600]  我們做完討論完路加福音第十八章之後
[00:00:37.600 --> 00:00:40.400]  可能我們就可以出到下戀了
[00:00:40.400 --> 00:00:45.200]  上戀叫「供你禱告迎新歲」
[00:00:45.200 --> 00:00:48.100]  我挺喜歡「供你」
[00:00:48.100 --> 00:00:51.400]  就是「同你禱告迎新歲」
[00:00:51.400 --> 00:00:54.800]  接著下戀是什麼呢?
[00:00:54.800 --> 00:01:04.000]  我今天不如我們只有《非教目同工》才有份讀
[00:01:04.000 --> 00:01:06.000]  我有三條問題
[00:01:06.000 --> 00:01:09.800]  這三條問題都是《非教目同工》先回答
[00:01:09.800 --> 00:01:12.400]  《教目同工》一說出來
[00:01:12.400 --> 00:01:14.800]  謎底出來就不好了
[00:01:14.800 --> 00:01:21.500]  好,我想我們輪流由《非教目同工》去讀
[00:01:21.500 --> 00:01:25.800]  第一節我將它分成兩節
[00:01:25.800 --> 00:01:27.000]  A和B
[00:01:27.000 --> 00:01:29.800]  總之你讀的時候讀一行
[00:01:29.800 --> 00:01:31.500]  如果隔了就不讀了
[00:01:31.500 --> 00:01:33.000]  如果拼在一起
[00:01:33.000 --> 00:01:35.100]  二、三就讀完二、三
[00:01:35.100 --> 00:01:36.400]  好嗎?每一段
[00:01:36.400 --> 00:01:40.500]  好,我們由那邊開始
[00:01:40.500 --> 00:01:43.800]  路加福音一空齊十八章第一A節
[00:01:43.800 --> 00:01:46.400]  耶穌對門徒講了一個比喻
[00:01:46.400 --> 00:01:50.400]  「為了要他們常常禱告,不可灰心」
[00:01:50.400 --> 00:01:55.800]  「她說某時有一個官不懼怕上帝,也不尊重人」
[00:01:55.800 --> 00:02:00.200]  「那情侶有個寡婦,時常到他那裡說」
[00:02:00.200 --> 00:02:06.100]  「我有一個冤家,求你給我伸冤」
[00:02:06.100 --> 00:02:09.600]  「她很久不道理,後來心裡說」
[00:02:09.600 --> 00:02:13.300]  「我雖不懼怕上帝,也不尊重人」
[00:02:13.300 --> 00:02:15.800]  「而因這寡婦煩擾我」
[00:02:15.800 --> 00:02:20.700]  「我就給她伸冤罷,也得她常來救治我」
[00:02:20.700 --> 00:02:25.900]  「主說請換天給不義的官才的王」
[00:02:25.900 --> 00:02:29.600]  「上帝的選民就贏故意她」
[00:02:29.600 --> 00:02:34.700]  「她亦會言辭,不堪她們伸冤罷」
[00:02:34.700 --> 00:02:39.200]  「我呼訴你們,她很快就要給她們伸冤」
[00:02:39.200 --> 00:02:40.900]  「然而日子來的事後」
[00:02:40.900 --> 00:02:44.000]  「能在世上找到這人的信德嗎?」
[00:02:44.000 --> 00:02:47.800]  讀完了,就是八節
[00:02:47.800 --> 00:02:50.000]  我有三條問題
[00:02:50.000 --> 00:02:53.400]  我們可以繼續下去
[00:02:53.400 --> 00:02:56.300]  下一位是Margaret嗎?
[00:02:56.300 --> 00:02:58.800]  Margaret可能嘗試回答那條問題
[00:02:58.800 --> 00:03:00.500]  其他人也可以參與
[00:03:00.500 --> 00:03:02.300]  第一條問題是這樣
[00:03:02.300 --> 00:03:06.200]  你現在讀完八節聖經耶穌的禱告比喻
[00:03:06.200 --> 00:03:10.100]  如果你將這段經文交給贊美之泉
[00:03:10.100 --> 00:03:12.400]  同心園、玻璃海
[00:03:12.400 --> 00:03:14.500]  叫他們寫一首歌
[00:03:14.500 --> 00:03:17.000]  你猜那首歌會怎樣呢?
[00:03:17.000 --> 00:03:18.400]  「常常禱告不可灰心」
[00:03:18.400 --> 00:03:22.900]  對,我都可以想像到
[00:03:22.900 --> 00:03:25.300]  他開始的歌
[00:03:25.300 --> 00:03:29.200]  到副歌一定是「常常禱告不可灰心」
[00:03:29.200 --> 00:03:33.800]  但是「常常禱告不可灰心」禱告什麼呢?
[00:03:33.800 --> 00:03:35.500]  這是一個問題
[00:03:35.500 --> 00:03:37.000]  通常這首歌
[00:03:37.000 --> 00:03:38.400]  你自己「feel in the blank」
[00:03:38.400 --> 00:03:39.600]  你喜歡禱告什麼
[00:03:39.600 --> 00:03:41.400]  總之就是「常常禱告不可灰心」
[00:03:41.400 --> 00:03:44.500]  那個副歌就不斷重複地唱
[00:03:44.500 --> 00:03:47.000]  大家就禱告吧
[00:03:47.000 --> 00:03:47.900]  但是否這樣呢?
[00:03:47.900 --> 00:03:50.300]  這就是那個問題
[00:03:50.300 --> 00:03:51.500]  好,第二條問題
[00:03:51.500 --> 00:03:53.600]  第二條問題我們可以多幾個人分享
[00:03:53.600 --> 00:03:57.300]  或者我們再看過這八節聖經
[00:03:57.300 --> 00:03:59.100]  第二條問題是什麼呢?
[00:03:59.100 --> 00:04:02.400]  如果要你在八節聖經裡面選一節
[00:04:02.400 --> 00:04:03.900]  或者最多兩節
[00:04:03.900 --> 00:04:08.000]  因為有時候兩節是一起的思想
[00:04:08.000 --> 00:04:10.600]  作為整段聖經的中心
[00:04:10.600 --> 00:04:12.600]  你會選哪一節呢?
[00:04:12.600 --> 00:04:15.600]  我一段一段讀
[00:04:15.600 --> 00:04:17.000]  然後我問你
[00:04:17.000 --> 00:04:22.000]  你覺得這一節是不是那一節的中心
[00:04:22.000 --> 00:04:24.300]  第一節就是半節
[00:04:24.300 --> 00:04:27.000]  耶穌對門徒講了一個比喻
[00:04:27.000 --> 00:04:29.200]  有沒有人覺得
[00:04:29.200 --> 00:04:35.500]  這一句話是最關鍵、最重要的一節呢?
[00:04:35.500 --> 00:04:36.900]  想想吧
[00:04:36.900 --> 00:04:41.900]  第二,為了要他們常常禱告不可灰心
[00:04:41.900 --> 00:04:45.600]  剛才讚美之泉就選了
[00:04:45.600 --> 00:04:47.000]  你選不選呢?
[00:04:47.000 --> 00:04:48.700]  想想吧
