
[00:00:00.000 --> 00:00:01.200]  各位電影節的早晨
[00:00:01.200 --> 00:00:04.800]  亞伯拉罕是信心之父
[00:00:04.800 --> 00:00:06.500]  我們今天跟他學習
[00:00:06.500 --> 00:00:12.900]  你會否發覺亞伯拉罕
[00:00:12.900 --> 00:00:14.800]  是真的很特別的
[00:00:14.800 --> 00:00:15.600]  他的人生
[00:00:15.600 --> 00:00:18.900]  他有很多的事跡
[00:00:18.900 --> 00:00:19.600]  今天說不完
[00:00:19.600 --> 00:00:22.700]  但是由他在《聖經》開始出現的時候
[00:00:22.700 --> 00:00:24.300]  我們去認識一下
[00:00:24.300 --> 00:00:27.000]  因為有一句最出名的叫做
[00:00:27.000 --> 00:00:29.000]  他出去的時候
[00:00:29.200 --> 00:00:31.500]  還不知道往哪裏去
[00:00:31.500 --> 00:00:32.800]  怎麼會這樣呢
[00:00:32.800 --> 00:00:35.400]  是不是一個無目標的帶領呢
[00:00:35.400 --> 00:00:36.700]  那麼
[00:00:36.700 --> 00:00:39.400]  跟大家一起進入這個思想的時候
[00:00:39.400 --> 00:00:41.800]  去想想一個的感受
[00:00:41.800 --> 00:00:43.100]  或者經歷或者問題
[00:00:43.100 --> 00:00:47.700]  我們有沒有曾經對自己的前路感到迷惘呢
[00:00:47.700 --> 00:00:50.500]  那就不用舉手了
[00:00:50.500 --> 00:00:52.400]  那麼大家可以想一下
[00:00:52.400 --> 00:00:54.400]  你在人生的不同階段
[00:00:54.400 --> 00:00:57.200]  可能都會遇到這件事情
[00:00:58.300 --> 00:01:01.100]  我想我最小的時候
[00:01:01.100 --> 00:01:03.000]  大概是四歲左右
[00:01:03.000 --> 00:01:06.300]  我對人生已經感到迷惘
[00:01:06.300 --> 00:01:07.000]  為什麼呢
[00:01:07.000 --> 00:01:08.600]  因為那時候幼稚園的老師
[00:01:08.600 --> 00:01:10.000]  突然間不見了
[00:01:10.000 --> 00:01:11.300]  原來去世了
[00:01:11.300 --> 00:01:13.700]  我發覺原來
[00:01:13.700 --> 00:01:14.600]  我想這個問題
[00:01:14.600 --> 00:01:18.400]  在不同的人生的階段都會出現
[00:01:18.400 --> 00:01:19.900]  很多不同原因
[00:01:19.900 --> 00:01:22.500]  你說這麼小的小朋友迷什麼妄
[00:01:22.500 --> 00:01:23.600]  什麼都不懂
[00:01:23.600 --> 00:01:24.900]  也不是的
[00:01:24.900 --> 00:01:26.900]  小學生也會迷惘的
