
[00:00:00.000 --> 00:00:02.800]  我們知道今天復活了
[00:00:02.800 --> 00:00:03.400]  是不是?
[00:00:03.400 --> 00:00:05.640]  今天大家都復活了
[00:00:05.640 --> 00:00:09.240]  復活節是一個很好的日子
[00:00:09.240 --> 00:00:10.920]  是一個很開心的日子
[00:00:10.920 --> 00:00:14.800]  是一個充滿盼望、充滿榮耀的日子
[00:00:14.800 --> 00:00:16.800]  耶穌基督復活
[00:00:16.800 --> 00:00:18.880]  我們也會復活
[00:00:18.880 --> 00:00:23.320]  這是我們跟隨耶穌的一個很重要
[00:00:23.320 --> 00:00:25.320]  要知道的事情
[00:00:25.320 --> 00:00:27.840]  我希望我們都能夠活出來
[00:00:27.840 --> 00:00:30.160]  有時候當我們去傳福音的時候
[00:00:30.160 --> 00:00:31.080]  我們都會說
[00:00:31.080 --> 00:00:33.280]  你是罪人
[00:00:33.280 --> 00:00:34.440]  我也是罪人
[00:00:34.440 --> 00:00:36.520]  我們大家都需要相信耶穌
[00:00:36.520 --> 00:00:37.560]  得到耶穌的赦免
[00:00:37.560 --> 00:00:38.160]  是不是?
[00:00:38.160 --> 00:00:40.160]  我們都是這樣傳福音的
[00:00:40.160 --> 00:00:41.840]  但是其實我們很多時候
[00:00:41.840 --> 00:00:45.240]  會忽略了一個完備的咎因
[00:00:45.240 --> 00:00:46.600]  完備的福音
[00:00:46.600 --> 00:00:49.680]  因為復活的耶穌
[00:00:49.680 --> 00:00:51.720]  在這個咎因當中
[00:00:51.720 --> 00:00:53.040]  我們必須去傳廣
[00:00:53.040 --> 00:00:54.040]  所以我們傳福音的時候
[00:00:54.040 --> 00:00:57.200]  不單止要接受耶穌基督的赦免
[00:00:57.200 --> 00:00:58.480]  我們要告訴別人
[00:00:58.480 --> 00:01:00.080]  不單止我們有罪
[00:01:00.080 --> 00:01:01.280]  要告訴別人
[00:01:01.280 --> 00:01:02.400]  基督的復活
[00:01:02.400 --> 00:01:03.960]  給我們有新的生命
[00:01:03.960 --> 00:01:05.600]  在高林多前書
[00:01:05.600 --> 00:01:08.640]  十五章一至八節
[00:01:08.640 --> 00:01:11.280]  很清楚地告訴我們
[00:01:11.280 --> 00:01:14.160]  這個福音在裡面包含的
[00:01:14.160 --> 00:01:15.640]  是兩部分的
[00:01:15.640 --> 00:01:17.920]  我們一起去看看電經文
[00:01:17.920 --> 00:01:22.240]  「我要把從前傳給你們的福音
[00:01:22.240 --> 00:01:24.040]  向你們講明
[00:01:24.040 --> 00:01:25.800]  我從前領受了
[00:01:25.800 --> 00:01:29.400]  又傳給你們那最要緊的
[00:01:29.400 --> 00:01:32.600]  就是基督照著聖經所記的
[00:01:32.600 --> 00:01:34.680]  為我們的罪死了
[00:01:34.680 --> 00:01:36.480]  又埋葬了
[00:01:36.480 --> 00:01:39.040]  又照著聖經所記的
[00:01:39.040 --> 00:01:41.680]  第三天復活了
[00:01:41.680 --> 00:01:45.080]  並且曾經向基法顯現
[00:01:45.080 --> 00:01:48.200]  然後向十二使徒顯現
[00:01:48.200 --> 00:01:51.600]  以後又有一次向
[00:01:51.600 --> 00:01:53.520]  五百多個弟兄顯現
[00:01:53.520 --> 00:01:57.200]  他們中間大多數到現今還在
[00:01:57.200 --> 00:01:59.640]  也有些已經垂了
[00:01:59.640 --> 00:02:02.920]  以後向雅各顯現
[00:02:02.920 --> 00:02:06.320]  再後又向眾使徒顯現
