
[00:00:00.000 --> 00:00:04.900]  那麼今天呢,我們要繼續的看主耶穌祂的禱告。
[00:00:04.900 --> 00:00:08.500]  我們在約翰福音第17章那邊,我們看見
[00:00:08.500 --> 00:00:13.600]  前面一開始的時候,祖先為祂自己禱告,
[00:00:13.600 --> 00:00:16.900]  接著祂為祂的11個門徒禱告。
[00:00:16.900 --> 00:00:21.300]  那今天呢,我們要藉著17章20節到26節,
[00:00:21.300 --> 00:00:24.300]  我們要看,而且我們要思想,
[00:00:24.300 --> 00:00:29.000]  主耶穌為祂心愛的教會的祈禱。
[00:00:29.000 --> 00:00:32.300]  我們很感謝神,我自己也很感謝神。
[00:00:32.300 --> 00:00:35.400]  神總是供應我們所需要的話語,
[00:00:35.400 --> 00:00:41.700]  特別是在適當的時候,祂就會把祂的話語來供應我們。
[00:00:41.700 --> 00:00:45.600]  我盼望今天我們看完神的話語之後呢,
[00:00:45.600 --> 00:00:51.200]  我們能夠真的是在所謂的這個病毒所引起的危難中,
[00:00:51.200 --> 00:00:54.500]  我們能夠看到危機。
[00:00:54.500 --> 00:00:58.800]  我們如果你有聖經的話,或者是你方便的話,
[00:00:58.800 --> 00:01:05.000]  請你打開到約翰福音第17章20節到26節,
[00:01:05.000 --> 00:01:09.700]  那我們一起來讀這一段經文。
[00:01:09.700 --> 00:01:14.800]  約翰福音17章20節到26節,我們一起來。
[00:01:14.800 --> 00:01:19.500]  我不但為這些人祈求,也為那些因他們的話,
[00:01:19.500 --> 00:01:23.700]  信我的人祈求,使他們都合而為一,
[00:01:23.700 --> 00:01:27.700]  正如你父在我裡面,我在你裡面,
[00:01:27.700 --> 00:01:33.800]  使他們也在我們裡面,叫世人可以信你差了我來。
[00:01:33.800 --> 00:01:37.200]  你所賜給我的榮耀,我已賜給他們,
[00:01:37.200 --> 00:01:41.000]  使他們合而為一,向我們合而為一。
[00:01:41.000 --> 00:01:47.400]  我在他們裡面,你在我裡面,使他們完完全全的合而為一,
[00:01:47.400 --> 00:01:53.800]  叫世人知道你差了我來,也知道你愛他們如同愛我一樣。
[00:01:53.800 --> 00:01:59.600]  父啊,我在那裡,願你所賜給我的人也同我在那裡,
[00:01:59.600 --> 00:02:03.100]  叫他們看見你所賜給我的榮耀,
[00:02:03.100 --> 00:02:06.900]  因為創立世界以前,你已經愛我了。
[00:02:06.900 --> 00:02:12.900]  公義的父啊,世人未曾認識你,我卻認識你,
[00:02:12.900 --> 00:02:17.500]  這些人你也知道,他們也知道你差了我來,
[00:02:17.500 --> 00:02:21.400]  我已將你的名指示他們,還要指示他們,
[00:02:21.400 --> 00:02:26.600]  使你所愛我的愛在他們裡面,我也在他們裡面。
[00:02:26.600 --> 00:02:30.200]  我們一起禱告,我們在天上的父神,
[00:02:30.200 --> 00:02:32.300]  愛我們的主耶穌基督,
[00:02:32.300 --> 00:02:37.900]  我們在不同的地方,我們今天來到你的面前,
[00:02:37.900 --> 00:02:42.900]  祝你讓我們專心一意的,我們知道怎麼樣仰望你,依靠你。
[00:02:42.900 --> 00:02:46.700]  雖然是在危難當中,雖然我們沒有辦法在一起,
[00:02:46.700 --> 00:02:54.100]  在我們教堂裡面一起來歌頌,敬拜,讚美你,聽你自己的話,
[00:02:54.100 --> 00:02:57.900]  但是我們很感謝你接了這個高科技,
[00:02:57.900 --> 00:03:02.300]  我們仍然能夠一起來敬拜你,我們謝謝你。
[00:03:02.300 --> 00:03:05.600]  我們把下面這一段時間交在你自己的手中,
[00:03:05.600 --> 00:03:10.600]  用你自己的話來激勵我們,來安慰我們,來兼顧我們,
[00:03:10.600 --> 00:03:15.600]  我們感謝禱告,順從主耶穌基督的聖名,阿們。
[00:03:17.600 --> 00:03:19.800]  我們從這一段經文裡面,
[00:03:19.800 --> 00:03:24.600]  就是《使徒行傳》約翰福音17章20節到26節,
[00:03:24.600 --> 00:03:29.900]  我們可以看見主耶穌他為教會合一禱告,有四個方面。
[00:03:29.900 --> 00:03:33.500]  第一,就是為合一的根基禱告。
[00:03:33.500 --> 00:03:39.200]  那麼合一的根基是什麼呢?就是合一從哪裡開始?
[00:03:39.200 --> 00:03:43.500]  在第20節,主耶穌祂說,我不但為這些人祈求,
[00:03:43.500 --> 00:03:47.300]  就是這些人就是祂的11個門徒,
[00:03:47.300 --> 00:03:51.700]  祂說也為那些因他們的話信我的人祈求。
[00:03:51.700 --> 00:03:56.200]  那麼這個地方就是講到從使徒以後,
[00:03:56.200 --> 00:03:59.700]  所有的教會當他們聽到他們的話,
[00:03:59.700 --> 00:04:03.800]  換句話講就是整本聖經。
[00:04:03.800 --> 00:04:06.100]  所以當我們看到這裡的時候,
[00:04:06.100 --> 00:04:08.900]  我們就想到合一從哪裡開始?
[00:04:08.900 --> 00:04:12.500]  合一就是從神的話開始,
[00:04:12.500 --> 00:04:15.100]  合一就是當我們聽到神的話,
[00:04:15.100 --> 00:04:19.200]  我們信神,這就是合一的開始。
[00:04:19.200 --> 00:04:21.800]  那麼接下去我們要想到另外一個問題,
[00:04:21.800 --> 00:04:26.000]  就是合一的藍圖,合一到底是什麼樣子?
[00:04:26.000 --> 00:04:29.800]  我們現在來看第21節,祂怎麼說?
[00:04:29.800 --> 00:04:32.800]  第21節祂說,使他們都合而為一,
[00:04:32.800 --> 00:04:35.900]  接下去,正如你父在我裡面,
[00:04:35.900 --> 00:04:40.300]  我在你裡面,使他們也在我們裡面。
[00:04:40.300 --> 00:04:43.500]  叫世人可以信,你拆了我來。
[00:04:43.500 --> 00:04:46.800]  這個藍圖是什麼呢?
[00:04:46.800 --> 00:04:50.100]  這個藍圖我們能夠看到一個合一,
[00:04:50.100 --> 00:04:54.100]  就是像父神與子耶穌之間的合一。
[00:04:54.100 --> 00:04:57.900]  這個合一是一個完美的,是一個屬天的合一。
[00:04:57.900 --> 00:05:00.100]  為什麼我們說是一個完美的,
[00:05:00.100 --> 00:05:01.900]  是一個屬天的合一呢?
[00:05:01.900 --> 00:05:06.400]  是因為他們有同樣的生命,有同樣的俗性。
[00:05:06.400 --> 00:05:10.500]  當我們聽了,聽到了使徒祂的教導,
[00:05:10.500 --> 00:05:14.800]  就是聖經所留下來給我們寶貴的聖經的信息,
[00:05:14.800 --> 00:05:17.000]  我們相信了,而且接受了,
[00:05:17.000 --> 00:05:20.000]  我們順服了,就有了新的生命。
[00:05:20.000 --> 00:05:23.100]  我們就成為了一個新的人類。
[00:05:23.100 --> 00:05:25.800]  這個生命是照著神的形象造的,
[00:05:25.800 --> 00:05:30.200]  有真理的人意和聖潔。
[00:05:30.200 --> 00:05:32.500]  我們就跟神的性情有份了,
[00:05:32.500 --> 00:05:35.100]  或者是說我們可以跟神相交,
[00:05:35.100 --> 00:05:37.700]  我們就能與神聯合了。
[00:05:37.700 --> 00:05:40.400]  在英文裡面就告訴我們是union,
[00:05:40.400 --> 00:05:42.500]  所以我們跟神合而為一了,
[00:05:42.500 --> 00:05:44.300]  我們跟神合在一起了。
[00:05:44.300 --> 00:05:46.200]  我們成為一個新造的人,
[00:05:46.200 --> 00:05:48.400]  我們不但與神合一,
