
[00:00:00.000 --> 00:00:06.940]  是的天父上帝,讓這樣的一首詩歌、歌詞的訊息
[00:00:06.940 --> 00:00:09.900]  在此來激勵我們。
[00:00:09.900 --> 00:00:16.440]  主啊,靠著耶穌基督,我們不僅是得勝,
[00:00:16.440 --> 00:00:19.540]  我們得勝有餘。
[00:00:19.540 --> 00:00:26.300]  主啊,讓這樣的一個真理,真是能夠在我們每一個人的生命當中
[00:00:26.300 --> 00:00:28.840]  能夠活出來。
[00:00:30.000 --> 00:00:31.620]  過著一個得勝,
[00:00:31.620 --> 00:00:34.400]  得勝有餘的生命。
[00:00:34.400 --> 00:00:44.120]  也藉著這樣的一種生命,主啊,讓我們的生命更是一個容身一人的見證。
[00:00:44.120 --> 00:00:49.400]  主啊,當周遭的人看到我們的時候,他們不僅是聽到,
[00:00:49.400 --> 00:00:52.080]  他們更加的也能夠看到。
[00:00:52.080 --> 00:00:58.140]  因著這個信仰,我們生命的有所不一樣。
[00:00:59.520 --> 00:01:00.620]  謝謝主。
[00:01:00.620 --> 00:01:08.280]  我們也恭敬天父上帝,把以下的時間仰望在恩主自己的手中。
[00:01:08.280 --> 00:01:15.480]  藉著信息的分享,主啊,激勵我們每一位。
[00:01:15.480 --> 00:01:22.760]  讓我們能夠離開這個地方的時候,真的主啊,我們就有所不一樣。
[00:01:23.420 --> 00:01:30.420]  謝謝主,帶領我們以下的時間,垂聽我們的禱告,奉靠耶穌基督的名。
[00:01:30.420 --> 00:01:32.720]  阿們,阿們。
[00:01:32.720 --> 00:01:36.940]  今天早晨要跟大家一起分享的題目是
[00:01:36.940 --> 00:01:40.860]  基督的愛。
[00:01:40.860 --> 00:01:45.140]  在我們剛剛所讀的這三段經文裡面,
[00:01:45.140 --> 00:01:50.940]  在以夫所書第三章,保羅在那邊為信徒的禱告,
[00:01:51.100 --> 00:01:53.500]  是在第十八節他這樣說,
[00:01:53.500 --> 00:01:59.280]  "能與眾聖徒一同明白基督的愛。"
[00:01:59.280 --> 00:02:05.460]  若是你帶著自己的聖經,你不介意在你的聖經裡面做一些記號的話,
[00:02:05.460 --> 00:02:10.200]  你可以把基督的愛那個詞把它圈了起來,
[00:02:10.200 --> 00:02:15.400]  "以和眾聖徒一同明白基督的愛。"
[00:02:15.400 --> 00:02:19.900]  之後我們讀了《羅馬書》第八章第三十五節,
[00:02:19.900 --> 00:02:22.500]  一開頭保羅在那邊說,
[00:02:22.500 --> 00:02:28.620]  誰能使我們與基督的愛隔絕呢?
[00:02:28.620 --> 00:02:31.960]  誰能使我們與基督的愛隔絕?
[00:02:31.960 --> 00:02:36.860]  再一次可以把基督的愛那一個詞把它圈了起來。
[00:02:36.860 --> 00:02:46.440]  最後我們讀到了《哥林多後書》,
[00:02:46.820 --> 00:02:51.700]  我們讀到了《哥林多後書》第五章第十四節,
[00:02:51.700 --> 00:02:56.100]  保羅在那邊說,原來基督的愛激勵我們,
[00:02:56.100 --> 00:03:01.140]  因我們想一人既替眾人死,眾人都死了,
[00:03:01.140 --> 00:03:06.860]  並且他替眾人死,是要叫那一些活著的人不再為自己活,
[00:03:06.860 --> 00:03:12.340]  乃是替他們死而復活的主火。
[00:03:12.340 --> 00:03:19.500]  再一次我們在第十四節,我們看到基督的愛這一個詞的出現。
[00:03:19.500 --> 00:03:21.620]  其實在聖經裡面,
[00:03:21.620 --> 00:03:26.980]  基督的愛也只有在這三處的經文裡面出現。
[00:03:26.980 --> 00:03:30.340]  而其實若是我們單單看愛這一個字的話,
[00:03:30.340 --> 00:03:34.420]  我們會發現其實聖經從頭到尾,
[00:03:34.420 --> 00:03:39.260]  其實是一個充滿愛的一本書。
[00:03:39.260 --> 00:03:41.740]  前前後後從舊約到新約,
[00:03:41.740 --> 00:03:48.700]  你會發現其實愛這一個詞一共出現了有五百多次。
[00:03:48.700 --> 00:03:50.780]  單單在約翰福音裡面,
