
[00:00:00.000 --> 00:00:05.020]  近期香港有一個很時常討論的話題
[00:00:05.020 --> 00:00:09.700]  就是學生講港獨的言論
[00:00:09.700 --> 00:00:10.900]  是不是?
[00:00:10.900 --> 00:00:12.600]  都挺熱的
[00:00:12.600 --> 00:00:17.900]  我聽到一個津貼中學議會主席
[00:00:17.900 --> 00:00:18.940]  一個校長
[00:00:18.940 --> 00:00:20.620]  他們開完會之後
[00:00:20.620 --> 00:00:21.740]  他就這麼說
[00:00:21.740 --> 00:00:22.620]  他說
[00:00:22.620 --> 00:00:25.560]  他說他們,校長
[00:00:25.560 --> 00:00:27.620]  正確的他們會說
[00:00:27.620 --> 00:00:30.800]  不正確的就會告訴學生
[00:00:30.800 --> 00:00:33.600]  有違法的就是違法
[00:00:33.600 --> 00:00:35.800]  如果我們提點了之後
[00:00:35.800 --> 00:00:38.240]  學生做出一個選擇
[00:00:38.240 --> 00:00:41.320]  他是要履行他自己該負的責任的
[00:00:41.320 --> 00:00:43.320]  有違反校規的
[00:00:43.320 --> 00:00:45.680]  就要由校規處理
[00:00:45.680 --> 00:00:47.920]  有違法規的
[00:00:47.920 --> 00:00:50.640]  就由香港法律處理
[00:00:50.640 --> 00:00:52.640]  說了一段時間
[00:00:52.640 --> 00:00:54.480]  我聽的時候都覺得
[00:00:54.480 --> 00:00:57.000]  他們在自己的遺訓當中
[00:00:57.000 --> 00:01:01.140]  是在說他們覺得要向學生說的話
[00:01:01.140 --> 00:01:02.060]  是不是?
[00:01:02.060 --> 00:01:04.800]  覺得是正確的就告訴他們
[00:01:04.800 --> 00:01:06.360]  如果你不說
[00:01:06.360 --> 00:01:08.360]  在他們的遺訓當中會怎樣?
[00:01:08.360 --> 00:01:10.360]  就會好像失職一樣
[00:01:10.360 --> 00:01:12.580]  因為他們要告訴學生
[00:01:12.580 --> 00:01:14.100]  以致學生知道
[00:01:14.100 --> 00:01:15.120]  他的決定
[00:01:15.120 --> 00:01:16.620]  他這樣做是對的
[00:01:16.620 --> 00:01:18.620]  或者是不對的
[00:01:18.620 --> 00:01:23.580]  這個先知以西傑被指呼召
[00:01:23.580 --> 00:01:26.660]  是要呼召辦主的事
[00:01:26.660 --> 00:01:29.580]  我們作為一個服侍主的人
[00:01:29.580 --> 00:01:30.860]  信主的人
[00:01:30.860 --> 00:01:32.440]  對我們很重要的
[00:01:32.440 --> 00:01:34.440]  我們有主的呼召
[00:01:34.440 --> 00:01:38.300]  按主的呼召去辦事
[00:01:38.300 --> 00:01:41.460]  以西傑這個先知
[00:01:41.460 --> 00:01:42.960]  這本書
[00:01:42.960 --> 00:01:45.640]  有少許背景
[00:01:45.640 --> 00:01:50.600]  其實在猶大國淪亡之前
[00:01:50.600 --> 00:01:53.480]  已經在這裡為主工作
[00:01:53.480 --> 00:01:57.640]  然後到了大概597年BC
[00:01:57.640 --> 00:01:59.960]  巴比倫入侵耶路撒冷
[00:01:59.960 --> 00:02:01.840]  猶大還沒有亡國
[00:02:01.840 --> 00:02:04.220]  抓了很多以色列人
[00:02:04.220 --> 00:02:07.600]  去了巴比倫的地方居住
[00:02:07.600 --> 00:02:10.200]  大概是現在的伊拉克的地方
[00:02:10.200 --> 00:02:12.560]  再過多11年之後
[00:02:12.560 --> 00:02:14.360]  猶大國就亡國了
[00:02:14.360 --> 00:02:16.800]  耶路撒冷被攻陷了
[00:02:16.800 --> 00:02:18.040]  首都被攻陷了
[00:02:18.040 --> 00:02:19.520]  就亡國了
[00:02:19.520 --> 00:02:21.360]  而以西傑這個先知
[00:02:21.360 --> 00:02:25.000]  一直都是在巴比倫的地方服侍主
[00:02:25.000 --> 00:02:27.000]  替主工作
