
[00:00:00.000 --> 00:00:02.000]  弟兄姊妹們新年好
[00:00:02.000 --> 00:00:04.000]  新年好
[00:00:04.000 --> 00:00:06.000]  今天的題目是
[00:00:06.000 --> 00:00:08.000]  好牧人為羊捨命
[00:00:08.000 --> 00:00:10.000]  那
[00:00:10.000 --> 00:00:12.000]  今年是什麼年啊
[00:00:12.000 --> 00:00:14.000]  羊年
[00:00:14.000 --> 00:00:16.000]  在座的有羊年出生的
[00:00:16.000 --> 00:00:18.000]  舉手一下好嗎
[00:00:18.000 --> 00:00:20.000]  很好
[00:00:20.000 --> 00:00:22.000]  這兩位 三位
[00:00:22.000 --> 00:00:24.000]  那你們的年紀大概是
[00:00:24.000 --> 00:00:26.000]  十二歲
[00:00:26.000 --> 00:00:28.000]  或者是二十四歲
[00:00:28.000 --> 00:00:30.000]  或者是就停在
[00:00:30.000 --> 00:00:32.000]  三十六歲這樣好不好
[00:00:32.000 --> 00:00:34.000]  我就不再念下去了
[00:00:34.000 --> 00:00:36.000]  念下去就十二這樣
[00:00:36.000 --> 00:00:38.000]  中國人就是
[00:00:38.000 --> 00:00:40.000]  因為十二生肖嘛
[00:00:40.000 --> 00:00:42.000]  對不對 所以今年是羊年
[00:00:42.000 --> 00:00:44.000]  明年是猴年這樣
[00:00:44.000 --> 00:00:46.000]  你只要姓猴的
[00:00:46.000 --> 00:00:48.000]  你明年可能就是
[00:00:48.000 --> 00:00:50.000]  四十八歲或者是三十六歲
[00:00:50.000 --> 00:00:52.000]  這樣
[00:00:52.000 --> 00:00:54.000]  所以中國人你就
[00:00:54.000 --> 00:00:56.000]  不要問他年紀這樣
[00:00:56.000 --> 00:00:58.000]  你是哪一年出生的
[00:00:58.000 --> 00:01:00.000]  這樣
[00:01:00.000 --> 00:01:02.000]  是馬年的 舉手一下
[00:01:02.000 --> 00:01:04.000]  馬年的
[00:01:04.000 --> 00:01:06.000]  所以你大概是
[00:01:06.000 --> 00:01:08.000]  可能是三十六歲
[00:01:08.000 --> 00:01:10.000]  三十七啦
[00:01:10.000 --> 00:01:12.000]  或者是
[00:01:12.000 --> 00:01:14.000]  再加十二這樣
[00:01:14.000 --> 00:01:16.000]  再過幾年又要加十二
[00:01:16.000 --> 00:01:18.000]  所以很快很快
[00:01:18.000 --> 00:01:20.000]  那這個羊年
[00:01:20.000 --> 00:01:22.000]  實在是一個
[00:01:22.000 --> 00:01:24.000]  這個羊很特別
[00:01:24.000 --> 00:01:26.000]  在聖經裡面
[00:01:26.000 --> 00:01:28.000]  總共記載了很多羊的事情
[00:01:28.000 --> 00:01:30.000]  總共記載了
[00:01:30.000 --> 00:01:32.000]  五百多次這樣
[00:01:32.000 --> 00:01:34.000]  那
[00:01:34.000 --> 00:01:36.000]  這個羊常常是
[00:01:36.000 --> 00:01:38.000]  代表著神跟祂的
[00:01:38.000 --> 00:01:40.000]  子民的關係
[00:01:40.000 --> 00:01:42.000]  祂是一個牧者
[00:01:42.000 --> 00:01:44.000]  那祂的子民是羊
[00:01:44.000 --> 00:01:46.000]  那這個羊很特別
[00:01:46.000 --> 00:01:48.000]  羊常常會記住
[00:01:48.000 --> 00:01:50.000]  你只要對祂好的話
[00:01:50.000 --> 00:01:52.000]  你給祂吃東西
[00:01:52.000 --> 00:01:54.000]  祂就會把你的臉
[00:01:54.000 --> 00:01:56.000]  把祂照相起來一樣
[00:01:56.000 --> 00:01:58.000]  放在祂的腦袋裡
[00:01:58.000 --> 00:02:00.000]  所以祂就知道你對祂很好
[00:02:00.000 --> 00:02:02.000]  你只要對祂不好的話
[00:02:02.000 --> 00:02:04.000]  祂也會記住
[00:02:04.000 --> 00:02:06.000]  然後祂以後就很知道說
[00:02:06.000 --> 00:02:08.000]  不要理祂 祂對我不好
[00:02:08.000 --> 00:02:10.000]  那
[00:02:10.000 --> 00:02:12.000]  那羊也會
[00:02:12.000 --> 00:02:14.000]  有一個習慣
[00:02:14.000 --> 00:02:16.000]  有時候就吃草吃草
[00:02:16.000 --> 00:02:18.000]  然後就不曉得到哪一個地方去
[00:02:18.000 --> 00:02:20.000]  有時候自己就迷失了這個方向
[00:02:20.000 --> 00:02:22.000]  那
[00:02:22.000 --> 00:02:24.000]  羊祂很需要保護
[00:02:24.000 --> 00:02:26.000]  因為你看這個羊
[00:02:26.000 --> 00:02:28.000]  祂沒有腳
[00:02:28.000 --> 00:02:30.000]  或者沒有牙齒
[00:02:30.000 --> 00:02:32.000]  所以假如有狼來了
[00:02:32.000 --> 00:02:34.000]  有熊來了
[00:02:34.000 --> 00:02:36.000]  有獅子來了
[00:02:36.000 --> 00:02:38.000]  牠們就很危險
[00:02:38.000 --> 00:02:40.000]  所以羊跟
[00:02:40.000 --> 00:02:42.000]  牧者的關係是非常的重要
[00:02:42.000 --> 00:02:44.000]  所以剛才我們
[00:02:44.000 --> 00:02:46.000]  讀的是約翰福音第十章
[00:02:46.000 --> 00:02:48.000]  所以
[00:02:48.000 --> 00:02:50.000]  耶穌就提到說
[00:02:50.000 --> 00:02:52.000]  當一個牧者從門進去了
[00:02:52.000 --> 00:02:54.000]  他就是
[00:02:54.000 --> 00:02:56.000]  這羊的牧者
[00:02:56.000 --> 00:02:58.000]  從旁邊進來了
[00:02:58.000 --> 00:03:00.000]  從牆進來了
[00:03:00.000 --> 00:03:02.000]  他們是要來偷 是要來搶
[00:03:02.000 --> 00:03:04.000]  所以從門進來的
[00:03:04.000 --> 00:03:06.000]  在這裡說
[00:03:06.000 --> 00:03:08.000]  羊就
[00:03:08.000 --> 00:03:10.000]  聽牠的聲音
[00:03:10.000 --> 00:03:12.000]  所以
[00:03:12.000 --> 00:03:14.000]  這個羊牠很清楚
[00:03:14.000 --> 00:03:16.000]  就是說哪一個是牠的牧者
[00:03:16.000 --> 00:03:18.000]  而且牠就會記得
[00:03:18.000 --> 00:03:20.000]  那
[00:03:20.000 --> 00:03:22.000]  所以這個羊知道牧者在
[00:03:22.000 --> 00:03:24.000]  在講話
