
[00:00:00.000 --> 00:00:04.080]  一說到應用,你和我都要很小心很小心
[00:00:04.080 --> 00:00:07.260]  因爲很多人讀羅馬書第十四章第十五章的時候
[00:00:07.260 --> 00:00:09.560]  根本沒有仔細研讀
[00:00:09.560 --> 00:00:12.760]  抽幾個字裏面,然後說一大堆東西
[00:00:12.760 --> 00:00:14.760]  於是結果
[00:00:14.760 --> 00:00:19.040]  將那些應用全部是錯誤的應用
[00:00:19.040 --> 00:00:21.460]  第一個錯誤的應用
[00:00:21.460 --> 00:00:25.360]  就是他們將信心強者、誤刊爲
[00:00:25.360 --> 00:00:29.440]  那些追求侍奉的弟兄姐妹
[00:00:29.440 --> 00:00:33.480]  什麼叫信心強者,那肯定是那些很追求
[00:00:33.480 --> 00:00:36.880]  經常在教會侍奉的師班那些
[00:00:36.880 --> 00:00:38.960]  那什麼叫信心弱者
[00:00:38.960 --> 00:00:43.720]  所謂信心弱者就是那些比較懶散的
[00:00:43.720 --> 00:00:46.440]  軟弱的弟兄姐妹
[00:00:46.440 --> 00:00:48.440]  於是應用就是
[00:00:48.440 --> 00:00:51.720]  那些侍奉的信徒應該要
[00:00:51.720 --> 00:00:55.560]  揹負着這些懶散的信徒
[00:00:55.560 --> 00:00:57.680]  我不知道你來了教會這麼久
[00:00:57.680 --> 00:01:02.160]  你有沒有聽過一樣東西叫做20/80 rule
[00:01:02.160 --> 00:01:04.840]  20/80的法則
[00:01:04.840 --> 00:01:07.280]  就是在每一個教會里面
[00:01:07.280 --> 00:01:09.120]  都是五分之一的人做事
[00:01:09.120 --> 00:01:12.320]  五分四的人坐在那裏享受
[00:01:12.320 --> 00:01:16.920]  於是這五分之一的人要撐起整個教會
[00:01:16.920 --> 00:01:23.120]  要撐起其他的五分四不做事的人
[00:01:23.120 --> 00:01:27.720]  這五分四不做事的人不單止是懶散
[00:01:27.720 --> 00:01:30.560]  甚至懶散到不是經常來教會
[00:01:30.560 --> 00:01:33.560]  我想那些人其實今天都不在了
[00:01:33.560 --> 00:01:35.480]  他們懶散讀經
[00:01:35.480 --> 00:01:37.320]  懶散祈禱
[00:01:37.320 --> 00:01:40.080]  懶散貢獻
[00:01:40.080 --> 00:01:42.960]  一年來教會兩次
[00:01:42.960 --> 00:01:45.840]  我們說怎麼去應用羅馬書第十四章
[00:01:45.840 --> 00:01:50.040]  他們說那侍奉的人就要擔負了他們的重任
[00:01:50.040 --> 00:01:52.760]  這個應用是完全錯的
[00:01:52.760 --> 00:01:54.680]  如果你剛纔聽得明白我所說的話
[00:01:54.680 --> 00:01:56.720]  這個是完全錯的
[00:01:56.720 --> 00:01:59.960]  你記得在羅馬書第十四章以上
[00:01:59.960 --> 00:02:03.280]  保羅說了一個很重要的原則
[00:02:03.280 --> 00:02:07.040]  凡是真的認識上帝的基督徒
[00:02:07.040 --> 00:02:10.360]  他們是身體獻上當作活祭
[00:02:10.360 --> 00:02:12.400]  羅馬書第十二章開始
