
[00:00:00.000 --> 00:00:03.020]  今天我想和大家分享的信息是什麼呢
[00:00:03.020 --> 00:00:08.440]  原來不僅是牧師傳道人有一天要向上帝交障
[00:00:08.440 --> 00:00:12.460]  原來每個教徒信耶穌之後
[00:00:12.460 --> 00:00:14.720]  有一天都要向上帝交障
[00:00:14.720 --> 00:00:16.280]  不知道大家知不知道呢
[00:00:16.280 --> 00:00:19.300]  有一節聖經在你們的歐拉姆
[00:00:19.300 --> 00:00:23.420]  但是我打出來是在林多前書七章十七節
[00:00:23.420 --> 00:00:26.820]  現代中文翻譯得挺好的
[00:00:26.820 --> 00:00:32.560]  他說每個人的生活應該是按照主的恩賜
[00:00:32.560 --> 00:00:35.120]  即是每個人都是上帝的恩賜賜給我們
[00:00:35.120 --> 00:00:42.840]  按照主的恩賜並且符合上帝呼召他的目的
[00:00:42.840 --> 00:00:46.460]  每個人的生活按照上帝的恩賜
[00:00:46.460 --> 00:00:51.100]  以及符合上帝呼召他的目的
[00:00:51.100 --> 00:00:53.220]  這是我對各教會
[00:00:53.220 --> 00:00:54.460]  不僅是國教會
[00:00:54.460 --> 00:00:56.180]  不僅是對哥倫多的教會
[00:00:56.180 --> 00:00:58.200]  而是對所有的教會
[00:00:58.200 --> 00:00:59.700]  包括了到梅典教會
[00:00:59.700 --> 00:01:02.140]  一幫兄弟姐妹所說的話
[00:01:02.140 --> 00:01:04.580]  你們每個人要按照主給你們的恩賜
[00:01:04.580 --> 00:01:07.240]  並且要符合上帝呼召你的目的
[00:01:07.240 --> 00:01:10.780]  去過你每天的生活
[00:01:10.780 --> 00:01:13.420]  問題就是
[00:01:13.420 --> 00:01:17.700]  你有沒有按照上帝呼召你的目的
[00:01:17.700 --> 00:01:19.660]  去過每天的生活呢
[00:01:19.660 --> 00:01:21.060]  聖經說得很清楚
[00:01:21.060 --> 00:01:23.700]  不僅是呼召你信耶穌
[00:01:23.700 --> 00:01:25.420]  讓你接受救恩
[00:01:25.420 --> 00:01:27.220]  而且呼召你的時候
[00:01:27.220 --> 00:01:30.740]  與此同時給你一個人生的目的
[00:01:30.740 --> 00:01:32.460]  基督徒
[00:01:32.460 --> 00:01:34.500]  正如巴塞裏克·沃倫(Pastor Rick Warren)說
[00:01:34.500 --> 00:01:37.140]  我們應該過一個使命人生
[00:01:37.140 --> 00:01:39.060]  那你知道你的使命是什麼嗎
