
[00:00:00.000 --> 00:00:04.000]  我相信一個近年非常熱門的話題
[00:00:04.000 --> 00:00:07.000]  就是今日所說的「追星」
[00:00:07.000 --> 00:00:11.000]  當中其中一個國際知名的歌星
[00:00:11.000 --> 00:00:17.000]  在2023年被時代雜誌選為全球的風雲人物
[00:00:17.000 --> 00:00:19.000]  他叫做 Taylor Swift
[00:00:19.000 --> 00:00:21.000]  大家認識他吧
[00:00:21.000 --> 00:00:27.000]  他曾幾何時在洛杉磯舉辦了六天的演唱會
[00:00:27.000 --> 00:00:31.000]  為當地的國民生產總值
[00:00:31.000 --> 00:00:36.000]  當地的GDP增加了3.2億美金
[00:00:36.000 --> 00:00:39.000]  即是相等於大概25億港元
[00:00:39.000 --> 00:00:41.000]  而帶來的直接收入
[00:00:41.000 --> 00:00:44.000]  即是他們的演唱會、門券等等
[00:00:44.000 --> 00:00:47.000]  大概是1.6億美金
[00:00:47.000 --> 00:00:51.000]  亦當時創造了3300個工作崗位
[00:00:51.000 --> 00:00:55.000]  有調查機構訪問了當時出席過
[00:00:55.000 --> 00:00:59.000]  說自己最少出席過一次 Taylor 演唱會的人
[00:00:59.000 --> 00:01:03.000]  他們發現到他們每人的平均消費
[00:01:03.000 --> 00:01:06.000]  大概是美金1300元
[00:01:06.000 --> 00:01:09.000]  即是港幣一萬元左右
[00:01:09.000 --> 00:01:11.000]  一晚而已,看場演唱會
[00:01:11.000 --> 00:01:12.000]  包括什麼呢?
[00:01:12.000 --> 00:01:13.000]  包括買票
[00:01:13.000 --> 00:01:14.000]  包括扮靚靚
[00:01:14.000 --> 00:01:15.000]  去入場
[00:01:15.000 --> 00:01:18.000]  包括去演唱會之前吃頓飯
[00:01:18.000 --> 00:01:21.000]  以及如果在其他外地來的
[00:01:21.000 --> 00:01:24.000]  有不同的旅費等等
[00:01:24.000 --> 00:01:27.000]  調查中包括了14個國家
[00:01:27.000 --> 00:01:30.000]  總共2萬個旅客的地區
[00:01:30.000 --> 00:01:33.000]  大概有70%的人
[00:01:33.000 --> 00:01:37.000]  說會很願意去其他國家和地區
[00:01:37.000 --> 00:01:39.000]  欣賞演唱會
[00:01:39.000 --> 00:01:43.000]  調查又指出跟香港人也有關
[00:01:43.000 --> 00:01:45.000]  原來也有說關於香港人的
[00:01:45.000 --> 00:01:48.000]  你猜有香港人究竟平均願意
[00:01:48.000 --> 00:01:51.000]  付多少錢去旅行看演唱會呢?
[00:01:51.000 --> 00:01:55.000]  12000元港幣
[00:01:55.000 --> 00:01:58.000]  然後當中訪問的大概有20%的人說
[00:01:58.000 --> 00:02:04.000]  我更加願意花超過2萬元以上去追星
[00:02:04.000 --> 00:02:08.000]  這個比例原來他們說是全球最高的
[00:02:08.000 --> 00:02:10.000]  可能在座當中弟兄姊妹覺得
[00:02:10.000 --> 00:02:12.000]  十十歲了
[00:02:12.000 --> 00:02:17.000]  早前另外一個巨星叫 Lady Gaga
[00:02:17.000 --> 00:02:20.000]  她在新加坡開演唱會
[00:02:20.000 --> 00:02:24.000]  我自己也做了一個簡單的統計
[00:02:24.000 --> 00:02:26.000]  我家裡有一個第二代
[00:02:26.000 --> 00:02:29.000]  另外下一代的年輕家人
[00:02:29.000 --> 00:02:32.000]  教會裡也有童工
[00:02:32.000 --> 00:02:34.000]  甚至我認識的朋友
[00:02:34.000 --> 00:02:36.000]  不單是兩代
[00:02:36.000 --> 00:02:39.000]  媽媽帶著女兒一起飛去新加坡
[00:02:39.000 --> 00:02:42.000]  這幾個群體都一起飛去新加坡
[00:02:42.000 --> 00:02:45.000]  不認識的他們各自去新加坡看演唱會
[00:02:45.000 --> 00:02:50.000]  又聽朋友說明年一月
[00:02:50.000 --> 00:02:53.000]  這些 Gaga 又會在日本開演唱會
[00:02:53.000 --> 00:02:55.000]  那位朋友還告訴我
[00:02:55.000 --> 00:02:59.000]  我已經買好了演唱會票
[00:02:59.000 --> 00:03:00.000]  買了機票
[00:03:00.000 --> 00:03:03.000]  我這次還打算去看兩場
[00:03:03.000 --> 00:03:07.000]  所以其實我想追星
[00:03:07.000 --> 00:03:10.000]  原來真的可以追到天涯海角
[00:03:10.000 --> 00:03:12.000]  各位在座的弟兄姊妹
[00:03:12.000 --> 00:03:15.000]  聽完之後你們自己是否都是追星一族
[00:03:15.000 --> 00:03:18.000]  有沒有人喜歡出去追星
[00:03:18.000 --> 00:03:20.000]  追哪位呢
[00:03:20.000 --> 00:03:21.000]  Taylor Swift
[00:03:21.000 --> 00:03:22.000]  Lady Gaga
[00:03:22.000 --> 00:03:25.000]  近期比較熱爆多一點的
[00:03:25.000 --> 00:03:26.000]  Chloe Pay
[00:03:26.000 --> 00:03:28.000]  小心被人拍到
[00:03:28.000 --> 00:03:31.000]  還是
[00:03:31.000 --> 00:03:33.000]  Blackpink
[00:03:33.000 --> 00:03:35.000]  很厲害的跳唱女團
[00:03:35.000 --> 00:03:37.000]  南韓女團
[00:03:37.000 --> 00:03:39.000]  你追又在追誰呢
[00:03:39.000 --> 00:03:41.000]  最近C朗又來了香港
[00:03:41.000 --> 00:03:42.000]  求星都可以追
[00:03:42.000 --> 00:03:44.000]  你究竟有多狂熱呢
[00:03:44.000 --> 00:03:47.000]  你去追求一些這些星
[00:03:47.000 --> 00:03:49.000]  在預備講張的時候
[00:03:49.000 --> 00:03:50.000]  我就在想
[00:03:50.000 --> 00:03:52.000]  人為什麼要追星呢
[00:03:52.000 --> 00:03:55.000]  可能欣賞他們超卓
[00:03:55.000 --> 00:03:57.000]  很動聽
[00:03:57.000 --> 00:03:59.000]  很擾涼三天的歌星
[00:03:59.000 --> 00:04:00.000]  他們真的很厲害
[00:04:00.000 --> 00:04:01.000]  唱歌真的很厲害
[00:04:01.000 --> 00:04:03.000]  很有天分
[00:04:03.000 --> 00:04:04.000]  還是
[00:04:04.000 --> 00:04:06.000]  這個潮流來的
[00:04:06.000 --> 00:04:07.000]  個個追星
[00:04:07.000 --> 00:04:08.000]  一個字
[00:04:08.000 --> 00:04:10.000]  人家知道我飛去外地聽演唱會
[00:04:10.000 --> 00:04:11.000]  一個字
[00:04:11.000 --> 00:04:12.000]  型啊
[00:04:12.000 --> 00:04:13.000]  還是
[00:04:13.000 --> 00:04:15.000]  香港地太小了
[00:04:15.000 --> 00:04:17.000]  做事有大壓力
[00:04:17.000 --> 00:04:20.000]  真的需要出去享受一下
[00:04:20.000 --> 00:04:22.000]  出去解一下壓
[00:04:22.000 --> 00:04:24.000]  還是
[00:04:24.000 --> 00:04:26.000]  Peer pressure呢
[00:04:26.000 --> 00:04:28.000]  可能不同的群體
[00:04:28.000 --> 00:04:29.000]  不同的年齡層
[00:04:29.000 --> 00:04:31.000]  去向日葵講
[00:04:31.000 --> 00:04:33.000]  就可能追不同的人
[00:04:33.000 --> 00:04:34.000]  但是
[00:04:34.000 --> 00:04:36.000]  可能是不是peer pressure呢
[00:04:36.000 --> 00:04:37.000]  朋友都去了
[00:04:37.000 --> 00:04:38.000]  漏我去了
[00:04:38.000 --> 00:04:39.000]  我又不去
[00:04:39.000 --> 00:04:42.000]  又好像很愚蠢
[00:04:42.000 --> 00:04:43.000]  於是
[00:04:43.000 --> 00:04:45.000]  有同輩的認同呢
[00:04:45.000 --> 00:04:46.000]  還是
[00:04:46.000 --> 00:04:48.000]  我們有些心靈滿足
[00:04:48.000 --> 00:04:50.000]  心靈裡面缺乏了一些東西
[00:04:50.000 --> 00:04:53.000]  總是需要找些東西去填補的呢
[00:04:53.000 --> 00:04:55.000]  然後我就在想
[00:04:55.000 --> 00:04:57.000]  什麼人會需要去追星呢
[00:04:57.000 --> 00:04:58.000]  我就在想
[00:04:58.000 --> 00:05:01.000]  當然都要有這麼上下的家底
[00:05:01.000 --> 00:05:03.000]  有這麼上下的錢財
[00:05:03.000 --> 00:05:04.000]  是不是
[00:05:04.000 --> 00:05:07.000]  有這麼上下的富有
[00:05:07.000 --> 00:05:09.000]  才可以去追到
[00:05:09.000 --> 00:05:10.000]  話說
[00:05:10.000 --> 00:05:11.000]  多少年前
[00:05:11.000 --> 00:05:12.000]  七年前
[00:05:12.000 --> 00:05:13.000]  二零一八年
[00:05:13.000 --> 00:05:14.000]  我就和
[00:05:14.000 --> 00:05:17.000]  木區有幾位弟兄姊妹放假
[00:05:17.000 --> 00:05:19.000]  去了武漢旅行
[00:05:19.000 --> 00:05:20.000]  當然
[00:05:20.000 --> 00:05:22.000]  平時去武漢逛逛街
[00:05:22.000 --> 00:05:23.000]  誤打誤撞
[00:05:23.000 --> 00:05:26.000]  就讓我們進了一間cafe裡面
[00:05:26.000 --> 00:05:28.000]  就和老闆娘
[00:05:28.000 --> 00:05:29.000]  就開始聊天
[00:05:29.000 --> 00:05:30.000]  竟然
[00:05:30.000 --> 00:05:31.000]  這麼巧合
[00:05:31.000 --> 00:05:32.000]  這個老闆娘
[00:05:32.000 --> 00:05:34.000]  原來就是武漢當地的
[00:05:34.000 --> 00:05:37.000]  德華歌迷會的會長
[00:05:37.000 --> 00:05:39.000]  這樣都被我們遇到
[00:05:39.000 --> 00:05:41.000]  不是開玩笑
[00:05:41.000 --> 00:05:42.000]  對了
[00:05:42.000 --> 00:05:43.000]  她說
[00:05:43.000 --> 00:05:45.000]  她每年都會飛來香港
[00:05:45.000 --> 00:05:47.000]  和每年都會來香港玩
[00:05:47.000 --> 00:05:49.000]  兼去看演唱會的
[00:05:49.000 --> 00:05:50.000]  這麼巧合
[00:05:50.000 --> 00:05:51.000]  二零一八年那一年
[00:05:51.000 --> 00:05:53.000]  她就說武漢當地
[00:05:53.000 --> 00:05:54.000]  不多
[00:05:54.000 --> 00:05:57.000]  配了三十幾張票給他們
[00:05:57.000 --> 00:05:58.000]  於是呢
[00:05:58.000 --> 00:06:00.000]  她就一路和我們說
[00:06:00.000 --> 00:06:01.000]  哎呀
[00:06:01.000 --> 00:06:02.000]  你們香港來的
[00:06:02.000 --> 00:06:03.000]  你幫我想想
[00:06:03.000 --> 00:06:05.000]  我今年應不應該去
[00:06:05.000 --> 00:06:07.000]  和老公很大掙扎
[00:06:07.000 --> 00:06:09.000]  我應不應該下來
[00:06:09.000 --> 00:06:10.000]  香港玩呢
[00:06:10.000 --> 00:06:13.000]  還是將票配給其他會員好呢
[00:06:13.000 --> 00:06:14.000]  這樣
[00:06:14.000 --> 00:06:15.000]  她說什麼意思呢
[00:06:15.000 --> 00:06:16.000]  原來她再和我們說
[00:06:16.000 --> 00:06:17.000]  她說
[00:06:17.000 --> 00:06:18.000]  一張票值
[00:06:18.000 --> 00:06:21.000]  幾百元至千幾元的票
[00:06:21.000 --> 00:06:23.000]  在武漢如果炒價
[00:06:23.000 --> 00:06:26.000]  你猜可以去到多少錢呢
[00:06:26.000 --> 00:06:28.000]  兩萬多元
[00:06:28.000 --> 00:06:29.000]  哈哈
[00:06:29.000 --> 00:06:30.000]  嘩啦你都
[00:06:30.000 --> 00:06:31.000]  所以呢
[00:06:31.000 --> 00:06:33.000]  她說如果我去
[00:06:33.000 --> 00:06:34.000]  沒了兩萬多
[00:06:34.000 --> 00:06:35.000]  老公一起去
[00:06:35.000 --> 00:06:37.000]  沒了四萬多
[00:06:37.000 --> 00:06:43.000]  還沒算我飛過來的機票和洗費
[00:06:43.000 --> 00:06:45.000]  於是我們聽
[00:06:45.000 --> 00:06:46.000]  拿著那杯
[00:06:46.000 --> 00:06:47.000]  剛剛和她買回來的
[00:06:47.000 --> 00:06:49.000]  三十元那杯咖啡
[00:06:49.000 --> 00:06:50.000]  看一看那杯咖啡
[00:06:50.000 --> 00:06:51.000]  我想
[00:06:51.000 --> 00:06:52.000]  你還是慢慢繼續
[00:06:52.000 --> 00:06:53.000]  和你的老公掙扎
[00:06:53.000 --> 00:06:54.000]  我們喝完那杯咖啡
[00:06:54.000 --> 00:06:59.000]  繼續我們的行程吧
[00:06:59.000 --> 00:07:02.000]  這是香港世上不同的人
[00:07:02.000 --> 00:07:05.000]  都在追求不同的東西
[00:07:05.000 --> 00:07:07.000]  香港人其實真的都
[00:07:07.000 --> 00:07:08.000]  我去想
[00:07:08.000 --> 00:07:10.000]  其實香港人的幸福指數
[00:07:10.000 --> 00:07:13.000]  在世界上都相當的高
[00:07:13.000 --> 00:07:14.000]  又沒有天災
[00:07:14.000 --> 00:07:15.000]  沒什麼大的天災
[00:07:15.000 --> 00:07:16.000]  沒什麼事情
[00:07:16.000 --> 00:07:18.000]  但是我們人生卻是
[00:07:18.000 --> 00:07:20.000]  不停地在追求
[00:07:20.000 --> 00:07:22.000]  我們自己去追求不同的東西
[00:07:22.000 --> 00:07:24.000]  最記得我大學畢業的時候
[00:07:24.000 --> 00:07:27.000]  最流行所說的就是四仔
[00:07:27.000 --> 00:07:29.000]  追求一個妻子
[00:07:29.000 --> 00:07:30.000]  追求一個房子
[00:07:30.000 --> 00:07:32.000]  追求一個車
[00:07:32.000 --> 00:07:34.000]  現在究竟買電車好
[00:07:34.000 --> 00:07:36.000]  還是買油車好
[00:07:36.000 --> 00:07:38.000]  應該沒有人買油車了
[00:07:38.000 --> 00:07:40.000]  還是追求一個兒子呢
[00:07:40.000 --> 00:07:42.000]  還是不生兒子了
[00:07:42.000 --> 00:07:43.000]  追求一下貓仔
[00:07:43.000 --> 00:07:44.000]  狗仔都可以的
[00:07:44.000 --> 00:07:46.000]  現在原來養個寵物
[00:07:46.000 --> 00:07:50.000]  都非常消費昂貴
[00:07:50.000 --> 00:07:52.000]  不追求這些
[00:07:52.000 --> 00:07:55.000]  香港最多人追求的是什麼呢
[00:07:55.000 --> 00:07:56.000]  權力
