
[00:00:00.000 --> 00:00:01.660]  各位聽聽節目,大家平安!
[00:00:01.660 --> 00:00:03.400]  《生命傳書》的網絡
[00:00:03.400 --> 00:00:07.420]  每天為大家預備讀聖經的一段內容
[00:00:07.420 --> 00:00:11.980]  繼續現在都是用聖經人物和聖經故事
[00:00:11.980 --> 00:00:15.320]  和大家去認識背後的上帝
[00:00:15.320 --> 00:00:17.820]  哇!祂對奇妙的手很厲害
[00:00:17.820 --> 00:00:20.720]  這次這個題目真是直接了
[00:00:20.720 --> 00:00:24.400]  「這是神的手段」
[00:00:24.400 --> 00:00:26.480]  大家要知道
[00:00:26.480 --> 00:00:31.920]  我們習慣了我們到今天的中文
[00:00:31.920 --> 00:00:35.200]  就是「手段」
[00:00:35.200 --> 00:00:36.920]  有點貶義
[00:00:36.920 --> 00:00:40.440]  「祂很會使用手段」
[00:00:40.440 --> 00:00:42.160]  覺得貶義
[00:00:42.160 --> 00:00:45.840]  「哇!使用手段很奸」
[00:00:45.840 --> 00:00:47.840]  其實你要知道
[00:00:47.840 --> 00:00:52.160]  「手段」這個詞應該可以說是
[00:00:52.160 --> 00:00:58.240]  犯法或者神的處理力量
[00:00:58.240 --> 00:01:00.000]  叫做「手段」
[00:01:00.000 --> 00:01:04.760]  不要馬上一見到手段就覺得很差
[00:01:04.760 --> 00:01:08.880]  其實祂的智異手段本身不是這樣的
[00:01:08.880 --> 00:01:11.480]  「手段」即是「懂得怎樣做事」
[00:01:11.480 --> 00:01:13.120]  「用手怎樣做事」
[00:01:13.120 --> 00:01:16.360]  而且有些人說「亂做啊」
[00:01:16.360 --> 00:01:17.240]  不是的
[00:01:17.240 --> 00:01:19.400]  有段的一段一段一段
[00:01:19.400 --> 00:01:22.360]  甚麼意思?是一步一步一步
[00:01:22.360 --> 00:01:24.960]  這就是神的手段
[00:01:24.960 --> 00:01:27.880]  我們生命樹做宣教
[00:01:27.880 --> 00:01:31.160]  不妨多說兩句才進入聖經
[00:01:31.160 --> 00:01:33.280]  我們生命樹做宣教
