
[00:00:00.000 --> 00:00:03.300]  我的經文應該是從第八節開始的
[00:00:03.300 --> 00:00:07.100]  沒了第八節就拿不上
[00:00:07.100 --> 00:00:10.400]  一節到第七節的上文
[00:00:10.400 --> 00:00:12.700]  所以考考你
[00:00:12.700 --> 00:00:17.100]  第八節會不會配那一節經文
[00:00:17.100 --> 00:00:19.300]  就是這節經文
[00:00:19.300 --> 00:00:24.100]  第九節之前那一節經文
[00:00:24.100 --> 00:00:43.400]  「愛是永不止息,先知方言之能終必停止,知息也終必歸於無有。」
[00:00:43.400 --> 00:00:46.000]  所以我們現在
[00:00:46.000 --> 00:00:50.200]  不說上文就不能接駁下面的
[00:00:50.200 --> 00:00:54.200]  我的講題是「無敵是愛」
[00:00:54.200 --> 00:00:56.900]  像我這些年紀的
[00:00:56.900 --> 00:01:03.900]  小時候就會聽到許冠傑唱的那首歌和恩利那首歌
[00:01:03.900 --> 00:01:08.600]  大家小時候有沒有聽過?
[00:01:08.600 --> 00:01:13.200]  不要承認小時候
[00:01:13.200 --> 00:01:14.700]  如果我用英文說
[00:01:14.700 --> 00:01:17.900]  「Love is invincible」
[00:01:17.900 --> 00:01:21.900]  有沒有年輕人知道我在說什麼?
[00:01:21.900 --> 00:01:23.700]  沒有什麼年輕人的
[00:01:23.700 --> 00:01:27.500]  動漫是「Invincible」
[00:01:27.500 --> 00:01:29.100]  沒有看過不要緊
[00:01:29.100 --> 00:01:31.200]  沒聽過不要緊
[00:01:31.200 --> 00:01:35.800]  最重要是聽哥倫多前書十三章
[00:01:35.800 --> 00:01:38.500]  各位弟兄姊妹
[00:01:38.500 --> 00:01:43.900]  愛是不可以憑空想像的
[00:01:43.900 --> 00:01:46.200]  愛不是一個理念
[00:01:46.200 --> 00:01:48.500]  也不是理想
[00:01:48.500 --> 00:01:51.900]  也不是理論
[00:01:51.900 --> 00:01:54.500]  你愛過人或者被人愛過
[00:01:54.500 --> 00:01:59.100]  你就知道愛是多麼有血有肉
[00:01:59.100 --> 00:02:01.900]  黑骨銘心的
[00:02:01.900 --> 00:02:05.900]  好了,現在請你想想
[00:02:05.900 --> 00:02:11.500]  這些黑骨銘心、有血有肉
[00:02:11.500 --> 00:02:14.800]  甚至有血有淚的愛
[00:02:14.800 --> 00:02:20.300]  你有沒有這些經驗呢?
[00:02:20.300 --> 00:02:21.800]  經驗過了嗎?
[00:02:21.800 --> 00:02:28.000]  不用回答我,你想想就行了
[00:02:28.000 --> 00:02:29.500]  如果你沒有經驗過
[00:02:29.500 --> 00:02:33.300]  你可能是木頭
[00:02:33.300 --> 00:02:39.300]  或者是鐵石
[00:02:39.300 --> 00:02:41.800]  好了,我再問一個問題讓大家想一想
[00:02:41.800 --> 00:02:44.000]  你認為最可能
[00:02:44.000 --> 00:02:48.400]  或者你所經歷的這些愛
[00:02:48.400 --> 00:02:49.700]  就是被人愛
[00:02:49.700 --> 00:02:57.400]  可以去愛的場所、地方是哪裡呢?
[00:02:57.400 --> 00:03:00.700]  家?或者教會?
[00:03:00.700 --> 00:03:02.300]  我們的主題就是
