
[00:00:00.000 --> 00:00:02.880]  你們看不看小說?
[00:00:02.880 --> 00:00:04.800]  中國那些小說看吧
[00:00:04.800 --> 00:00:07.000]  金庸那些
[00:00:07.000 --> 00:00:10.400]  有一本小說叫做《安娜·卡列尼娜》
[00:00:10.400 --> 00:00:14.920]  是俄國的大文豪托爾斯泰
[00:00:14.920 --> 00:00:18.880]  人們說是第一本寫實小說的經典
[00:00:18.880 --> 00:00:21.920]  這本小說是一本長篇小說
[00:00:21.920 --> 00:00:25.480]  第一句說話是這樣寫的
[00:00:25.480 --> 00:00:29.720]  他說幸福的家庭都是相似的
[00:00:29.720 --> 00:00:35.040]  不幸的家庭則各有各的不幸
[00:00:35.040 --> 00:00:38.040]  你同不同意嗎?
[00:00:38.040 --> 00:00:41.280]  又或者我們平時掛在後面的
[00:00:41.280 --> 00:00:45.960]  人生不如意事十常八九
[00:00:45.960 --> 00:00:48.920]  無論你是聰明絕頂
[00:00:48.920 --> 00:00:52.680]  還是一生平淡
[00:00:52.680 --> 00:00:58.520]  都需要面對日常生活中的各種起起跌跌
[00:00:58.520 --> 00:01:00.520]  面對人生的痛苦
[00:01:00.520 --> 00:01:03.920]  喜怒哀樂
[00:01:03.920 --> 00:01:07.600]  有人說我們會憤怒
[00:01:07.600 --> 00:01:10.760]  因為我們覺得不公平
[00:01:10.760 --> 00:01:12.480]  我們會悲哀
[00:01:12.480 --> 00:01:17.200]  因為我們覺得失望
[00:01:17.200 --> 00:01:20.400]  2015年1月
[00:01:20.400 --> 00:01:23.440]  教宗訪問菲律賓
[00:01:23.440 --> 00:01:26.320]  浩浩蕩蕩
[00:01:26.320 --> 00:01:29.960]  好似有幾百萬人為了教宗彌臨
[00:01:29.960 --> 00:01:33.080]  去看他的臉
[00:01:33.080 --> 00:01:34.360]  有一個十二歲的女孩
[00:01:34.360 --> 00:01:36.640]  她叫帕洛瑪爾
[00:01:36.640 --> 00:01:39.360]  負責致詞
[00:01:39.360 --> 00:01:41.280]  歡迎詞
[00:01:41.280 --> 00:01:43.000]  但說著說著
[00:01:43.000 --> 00:01:46.120]  她哭著問了教宗一個問題
[00:01:46.120 --> 00:01:47.960]  為什麼這麼多的小朋友
[00:01:47.960 --> 00:01:50.200]  因為父母不要他們
[00:01:50.200 --> 00:01:54.640]  而走上吸毒和賣淫的路呢?
[00:01:54.640 --> 00:01:57.800]  為什麼神會允許這些事發生
[00:01:57.800 --> 00:02:00.880]  在這些無辜的小朋友身上呢?
[00:02:00.880 --> 00:02:10.680]  為什麼這麼少的人來幫助我們呢?
[00:02:10.680 --> 00:02:12.600]  聽完這句話
[00:02:12.600 --> 00:02:16.760]  教宗就在一個位置走到她身邊
[00:02:16.760 --> 00:02:18.400]  抱著她
[00:02:18.400 --> 00:02:19.920]  她說
[00:02:19.920 --> 00:02:23.840]  我都不知道答案
[00:02:23.840 --> 00:02:25.360]  我可以做的
[00:02:25.360 --> 00:02:30.240]  就是和你一起哭
[00:02:30.240 --> 00:02:31.880]  痛苦的經歷
[00:02:31.880 --> 00:02:34.760]  可以改變一個人
[00:02:34.760 --> 00:02:36.120]  這些改變
[00:02:36.120 --> 00:02:39.400]  可以變得更加開放
[00:02:39.400 --> 00:02:44.560]  也可以讓人變得更加封閉
[00:02:44.560 --> 00:02:46.560]  你會選擇怎樣面對
[00:02:46.560 --> 00:02:50.840]  你人生裏面的困境呢?
[00:02:50.840 --> 00:02:54.360]  有人說今朝有酒
[00:02:54.360 --> 00:02:55.920]  今朝醉了
[00:02:55.920 --> 00:02:59.440]  你這麼多事都不開心
[00:02:59.440 --> 00:03:01.160]  還是另一句
[00:03:01.160 --> 00:03:03.600]  誰叫你窮
[00:03:03.600 --> 00:03:05.800]  一頂硬上
[00:03:05.800 --> 00:03:09.520]  誰叫你執之不要醜
[00:03:09.520 --> 00:03:13.560]  你面對這些事是要受的
[00:03:13.560 --> 00:03:16.520]  你是哪一種呢?
[00:03:16.520 --> 00:03:18.880]  今天很想和大家分享一個訊息的題目
[00:03:18.880 --> 00:03:24.760]  叫做「痛苦但不痛苦」
[00:03:24.760 --> 00:03:26.320]  你說什麼呀?
[00:03:26.320 --> 00:03:28.320]  是痛還是不痛呀?
[00:03:28.320 --> 00:03:35.200]  到底痛還是不痛呢?
[00:03:35.200 --> 00:03:36.200]  十字架上的耶穌
[00:03:36.200 --> 00:03:39.080]  我們多謝祢
[00:03:39.080 --> 00:03:41.960]  求聖靈這一刻
[00:03:41.960 --> 00:03:45.360]  帶領我們的心
