
[00:00:00.000 --> 00:00:04.200]  繼續研究也是結束這個八福的系列
[00:00:04.200 --> 00:00:08.680]  我們平時被各樣的提防告示
[00:00:08.680 --> 00:00:10.960]  Caution包圍着
[00:00:10.960 --> 00:00:14.480]  開車路上有很多提防告示
[00:00:14.480 --> 00:00:20.400]  藥房拿起任何藥都有副作用的提防告示
[00:00:20.400 --> 00:00:24.280]  科技產品用戶搜索都有一個告示
[00:00:24.280 --> 00:00:28.880]  故障供應商不需要負法律責任
[00:00:28.880 --> 00:00:34.640]  如果再看任何的投資協定
[00:00:34.640 --> 00:00:42.160]  頭一版都會涉及一些風險的提示
[00:00:42.160 --> 00:00:46.480]  使大家可以知道有什麼事的時候
[00:00:46.480 --> 00:00:49.000]  就不要跟經紀吵
[00:00:49.000 --> 00:00:56.920]  其實提防告示Caution和禁令Prohibition
[00:00:56.920 --> 00:00:58.440]  都是一種警告
[00:00:58.440 --> 00:00:59.680]  但是不一樣
[00:00:59.680 --> 00:01:02.720]  禁令不容許你做一件事
[00:01:02.720 --> 00:01:05.040]  提防告示容許你做
[00:01:05.040 --> 00:01:06.600]  甚至鼓勵你去做
[00:01:06.600 --> 00:01:08.240]  但叫你小心點
[00:01:08.240 --> 00:01:10.440]  我的女兒下年就去大學
[00:01:10.440 --> 00:01:12.200]  我叫她今年好學車
[00:01:12.200 --> 00:01:14.640]  這種Caution是叫她小心
[00:01:14.640 --> 00:01:16.120]  不是叫她不要學車
[00:01:16.120 --> 00:01:17.480]  報大學也是這樣
[00:01:17.480 --> 00:01:20.920]  做家長的當然希望子女報大學
[00:01:20.920 --> 00:01:24.120]  但是大學教育這件事是有些危險性的
[00:01:24.120 --> 00:01:26.920]  對信仰會造成很大的挑戰
[00:01:26.920 --> 00:01:30.120]  所以是需要小心的
[00:01:30.120 --> 00:01:32.200]  在座當中有些嘉賓
[00:01:32.200 --> 00:01:34.720]  可能仍然認識基督教
[00:01:34.720 --> 00:01:37.000]  仍未成爲基督徒
[00:01:37.000 --> 00:01:41.680]  所以我很想坦白地給你一個提防告示
[00:01:41.680 --> 00:01:46.120]  教會總是有些傾向強調做基督徒的好處
[00:01:46.120 --> 00:01:47.600]  吸引你來參加
[00:01:47.600 --> 00:01:49.760]  踢你入會
[00:01:49.760 --> 00:01:51.480]  譬如我們經常強調
[00:01:51.480 --> 00:01:54.360]  救恩是一件免費的禮物
[00:01:54.360 --> 00:01:56.360]  免費的每個人都喜歡
[00:01:56.360 --> 00:01:59.640]  真的耶穌基督已經爲了我們的罪
[00:01:59.640 --> 00:02:02.320]  負上救贖完全的代價
[00:02:02.320 --> 00:02:06.520]  我們是不能在救贖上加任何東西的
[00:02:06.520 --> 00:02:08.440]  但是救恩是免費
[00:02:08.440 --> 00:02:11.800]  就不代表做基督徒是沒有困難的
[00:02:11.800 --> 00:02:14.000]  耶穌提醒那些門徒
[00:02:14.000 --> 00:02:16.840]  他們在世上是會有苦難的
[00:02:16.840 --> 00:02:20.480]  所以我們當然希望你成爲基督徒
[00:02:20.480 --> 00:02:23.600]  但是我們也想開門見山
[00:02:23.600 --> 00:02:29.360]  基督徒的生命是充滿各種痛苦和眼淚的
[00:02:29.360 --> 00:02:30.880]  救恩是非賣品
[00:02:30.880 --> 00:02:32.440]  意思是困難
[00:02:32.440 --> 00:02:36.080]  不是天堂的門卷費用
[00:02:36.080 --> 00:02:40.320]  你不可以以爲爲神受苦做任何事
[00:02:40.320 --> 00:02:43.520]  就可以賺取到天堂的位置
[00:02:43.520 --> 00:02:45.400]  救恩是免費的
[00:02:45.400 --> 00:02:48.760]  比你現在回香港的機票便宜
[00:02:48.760 --> 00:02:51.480]  但是你接受了這個免費禮物
[00:02:51.480 --> 00:02:54.520]  坐上這個非天堂的飛機之前
[00:02:54.520 --> 00:02:57.280]  聽清楚這個提防告示
[00:02:57.280 --> 00:02:59.280]  這個非天堂的旅程
[00:02:59.280 --> 00:03:02.600]  是會有些氣流 有些崎嶇
[00:03:02.600 --> 00:03:05.600]  怕雲浪呢 小心點
[00:03:05.600 --> 00:03:08.360]  今天我們要完成第八幅的研究
[00:03:08.360 --> 00:03:11.040]  一個明白八幅的方法就是
[00:03:11.040 --> 00:03:14.600]  八幅其實是一些提防告示
[00:03:14.600 --> 00:03:16.960]  八幅給你一些心理準備
