
[00:00:00.000 --> 00:00:05.000]  今天我們要分享的題目是耶穌的昇天
[00:00:05.000 --> 00:00:15.000]  我們要來一起看到使徒行傳的第一章的第八節到二十六節
[00:00:15.000 --> 00:00:17.000]  我們要讀的聖經呢
[00:00:17.000 --> 00:00:19.000]  我們一起讀的聖經呢
[00:00:19.000 --> 00:00:21.000]  要從第八節讀起
[00:00:21.000 --> 00:00:23.000]  讀到十一節
[00:00:23.000 --> 00:00:26.000]  八節到十一節
[00:00:26.000 --> 00:00:31.000]  翻到以後請我們一同來讀
[00:00:31.000 --> 00:00:37.000]  使徒行傳第一章第八節到第十一節
[00:00:37.000 --> 00:00:39.000]  一起來
[00:00:39.000 --> 00:00:43.000]  但聖靈降臨在你們身上
[00:00:43.000 --> 00:00:45.000]  你們就必得到能力
[00:00:45.000 --> 00:00:47.000]  必要在耶路撒冷
[00:00:47.000 --> 00:00:50.000]  猶太權利和撒瑪利亞
[00:00:50.000 --> 00:00:53.000]  直到地級做我的建設
[00:00:53.000 --> 00:00:56.000]  說了這話
[00:00:56.000 --> 00:00:58.000]  他們睜開的時候
[00:00:58.000 --> 00:01:00.000]  他就飛接上身
[00:01:00.000 --> 00:01:03.000]  以一朵雲彩把他接去
[00:01:03.000 --> 00:01:05.000]  便能看見他表
[00:01:05.000 --> 00:01:07.000]  當他往上去
[00:01:07.000 --> 00:01:10.000]  他們定睛往天的時候
[00:01:10.000 --> 00:01:13.000]  突然有兩個人身穿白衣
[00:01:13.000 --> 00:01:15.000]  站在旁邊說
[00:01:15.000 --> 00:01:17.000]  加利亞人啊
[00:01:17.000 --> 00:01:20.000]  你們爲什麼要站到旁邊呢
[00:01:20.000 --> 00:01:24.000]  這離開你們被接昇天的耶穌
[00:01:24.000 --> 00:01:27.000]  你們看見他怎樣往天上去
[00:01:27.000 --> 00:01:30.000]  他還要怎樣來
[00:01:30.000 --> 00:01:36.000]  我們聖經就先讀這一點
[00:01:36.000 --> 00:01:39.000]  我們現在看的是
[00:01:39.000 --> 00:01:41.000]  耶穌昇天以前
[00:01:41.000 --> 00:01:44.000]  他給門徒的使命
[00:01:44.000 --> 00:01:48.000]  我們開始讀到這個
[00:01:48.000 --> 00:01:50.000]  第八節的時候
[00:01:50.000 --> 00:01:52.000]  在第八節以前
[00:01:52.000 --> 00:01:55.000]  這門徒就問主耶穌
[00:01:55.000 --> 00:01:58.000]  到底這個以色列要復興
[00:01:58.000 --> 00:02:01.000]  是什麼時候能夠來到
[00:02:01.000 --> 00:02:03.000]  耶穌告訴他們說
[00:02:03.000 --> 00:02:06.000]  他說不憑着自己的權柄
[00:02:06.000 --> 00:02:09.000]  所定的時間日期
[00:02:09.000 --> 00:02:12.000]  不是你們可以知道的
[00:02:12.000 --> 00:02:14.000]  你們就不要去
[00:02:14.000 --> 00:02:18.000]  知道這個時間跟日期
[00:02:18.000 --> 00:02:21.000]  下面他說
[00:02:21.000 --> 00:02:24.000]  就是說聖靈要降臨
[00:02:24.000 --> 00:02:26.000]  重要的就是
[00:02:26.000 --> 00:02:29.000]  在主耶穌回來以前
[00:02:29.000 --> 00:02:31.000]  聖靈要降臨
[00:02:31.000 --> 00:02:34.000]  那麼你們就要得到能力
[00:02:34.000 --> 00:02:39.000]  他們是爲了國度來做預備
[00:02:39.000 --> 00:02:40.000]  底下就說到
[00:02:40.000 --> 00:02:44.000]  你們要在耶路撒冷
[00:02:44.000 --> 00:02:45.000]  猶太全地
[00:02:45.000 --> 00:02:46.000]  撒瑪利亞
[00:02:46.000 --> 00:02:48.000]  使到地級
[00:02:48.000 --> 00:02:49.000]  做我的見證
[00:02:49.000 --> 00:02:53.000]  就是把福音傳到地級
[00:02:53.000 --> 00:02:57.000]  傳到最美的地方
[00:02:57.000 --> 00:02:59.000]  那麼耶穌就跟他們說
[00:02:59.000 --> 00:03:02.000]  聖靈要降臨在你們身上
[00:03:02.000 --> 00:03:06.000]  這個任務使命是那麼的大
[00:03:06.000 --> 00:03:08.000]  那麼的重要
[00:03:08.000 --> 00:03:11.000]  靠着聖徒自己的力量
[00:03:11.000 --> 00:03:13.000]  他們是做不到的
[00:03:13.000 --> 00:03:16.000]  他們要完成這個使命
[00:03:16.000 --> 00:03:18.000]  最重要的關鍵
[00:03:18.000 --> 00:03:20.000]  就是要有聖靈的境
[00:03:20.000 --> 00:03:22.000]  也就是聖靈的息
[00:03:22.000 --> 00:03:23.000]  所以耶穌就說
[00:03:23.000 --> 00:03:26.000]  聖靈降臨在你們身上
[00:03:26.000 --> 00:03:29.000]  這就是聖靈要下來
[00:03:29.000 --> 00:03:30.000]  要降臨
[00:03:30.000 --> 00:03:34.000]  那麼你們就要從聖靈得到能力
[00:03:34.000 --> 00:03:35.000]  這個能力呢
[00:03:35.000 --> 00:03:38.000]  不單單是說能夠過一個
[00:03:38.000 --> 00:03:40.000]  淨淺的生活
[00:03:40.000 --> 00:03:42.000]  這個能力就是要把
[00:03:42.000 --> 00:03:45.000]  這個神的基督的福音
[00:03:45.000 --> 00:03:48.000]  傳到世界各個地方
[00:03:48.000 --> 00:03:52.000]  然後主耶穌纔會來
[00:03:52.000 --> 00:03:57.000]  根據這個使徒行傳呢
[00:03:57.000 --> 00:03:59.000]  教會就是要順服
[00:03:59.000 --> 00:04:01.000]  耶穌基督的託付
[00:04:01.000 --> 00:04:04.000]  能夠受聖靈的引導
[00:04:04.000 --> 00:04:06.000]  能夠得到能力
[00:04:06.000 --> 00:04:09.000]  能夠繼續在耶穌的地上
[00:04:09.000 --> 00:04:11.000]  他所做的工作
[00:04:11.000 --> 00:04:12.000]  他說的話
[00:04:12.000 --> 00:04:14.000]  那這樣的話呢
[00:04:14.000 --> 00:04:17.000]  蒙徒在地上一直傳福音
[00:04:17.000 --> 00:04:19.000]  直到主來
[00:04:19.000 --> 00:04:22.000]  這個是主耶穌昇天以前
[00:04:22.000 --> 00:04:26.000]  要他們爲了國度的來臨
[00:04:26.000 --> 00:04:29.000]  做準備
[00:04:29.000 --> 00:04:35.000]  這個就是他給蒙徒的使命
[00:04:35.000 --> 00:04:36.000]  這個地方提到
[00:04:36.000 --> 00:04:40.000]  廣傳福音的範圍
[00:04:40.000 --> 00:04:42.000]  就很明顯提到
[00:04:42.000 --> 00:04:44.000]  一個是耶路撒冷
[00:04:44.000 --> 00:04:47.000]  一個是猶太全地
[00:04:47.000 --> 00:04:49.000]  一個是撒瑪利亞
[00:04:49.000 --> 00:04:55.000]  然後第四個範圍就是到地籍
[00:04:55.000 --> 00:04:59.000]  耶路撒冷是以色列的首都
[00:04:59.000 --> 00:05:02.000]  也是猶太人他們敬拜的中心
[00:05:02.000 --> 00:05:04.000]  但是耶路撒冷呢
[00:05:04.000 --> 00:05:11.000]  也可以說是地上犯罪罪惡最大的城市
[00:05:11.000 --> 00:05:13.000]  爲什麼這麼說呢
[00:05:13.000 --> 00:05:19.000]  並不是他有很多偷而搶
[00:05:19.000 --> 00:05:21.000]  或者這些敗壞東西
[00:05:21.000 --> 00:05:23.000]  他最大的罪呢
[00:05:23.000 --> 00:05:27.000]  就是把耶穌釘在十字架上
[00:05:27.000 --> 00:05:31.000]  釘耶穌的十字架是在耶路撒冷
[00:05:31.000 --> 00:05:36.000]  所以耶路撒冷是一個很不好的城市
[00:05:36.000 --> 00:05:39.000]  但是我們也感謝神
[00:05:39.000 --> 00:05:42.000]  爲什麼從這個地方開始呢
[00:05:42.000 --> 00:05:46.000]  因爲這個地方也是神要把恩典
[00:05:46.000 --> 00:05:49.000]  顯明給世界上的人
[00:05:49.000 --> 00:05:52.000]  給以色列人看的地方
[00:05:52.000 --> 00:05:55.000]  這個耶穌在十字架上的時候
[00:05:55.000 --> 00:05:57.000]  他第一句話
[00:05:57.000 --> 00:05:58.000]  他有七句話
[00:05:58.000 --> 00:06:02.000]  第一句話他就求父赦免
[00:06:02.000 --> 00:06:05.000]  這些釘他十字架的人
[00:06:05.000 --> 00:06:12.000]  求神赦免這些犯罪得罪神的人
[00:06:12.000 --> 00:06:14.000]  我相信我們都相信
[00:06:14.000 --> 00:06:18.000]  父聽主耶穌的禱告
[00:06:18.000 --> 00:06:19.000]  他要赦免
[00:06:19.000 --> 00:06:24.000]  他的恩典要釘到這些得罪神犯罪的人身上
[00:06:24.000 --> 00:06:29.000]  屬於這個最早得救的這一批人呢
[00:06:29.000 --> 00:06:31.000]  是在耶路撒冷
[00:06:31.000 --> 00:06:34.000]  他們最早得到神的恩典
[00:06:34.000 --> 00:06:35.000]  屬於耶路撒冷
[00:06:35.000 --> 00:06:40.000]  可以說是神的恩典最早顯明的地方
[00:06:40.000 --> 00:06:43.000]  第二個地方是猶太權利
