
[00:00:00.000 --> 00:00:05.960]  不知道您在信耶穌的日子裏,多不多祈禱?
[00:00:05.960 --> 00:00:07.940]  覺得祈禱容易嗎?
[00:00:07.940 --> 00:00:13.120]  有時候我自己在祈禱,也不知道說什麼好
[00:00:13.120 --> 00:00:18.240]  心裏面有一些念頭,但不知道怎樣去表達
[00:00:18.240 --> 00:00:22.600]  有時候會遇到一些討聞
[00:00:22.600 --> 00:00:26.880]  不知道您有沒有見過一些討聞,或者讀過一些討聞
[00:00:26.880 --> 00:00:32.000]  其中一段我自己最喜歡的討聞,叫做「寧靜討聞」
[00:00:32.000 --> 00:00:34.720]  不知道您有沒有聽過,它這樣說的
[00:00:34.720 --> 00:00:39.680]  它說:求主賜我寧靜,接受那些不能改變的事情
[00:00:39.680 --> 00:00:43.360]  賜我勇氣去改變那些可能改變的
[00:00:43.360 --> 00:00:48.400]  並賜智慧,讓我知道如何去分辨
[00:00:48.400 --> 00:00:52.160]  當遇到問題、難處的時候
[00:00:52.160 --> 00:00:57.200]  有時候讀一些討聞,可以幫助我們的靈性
[00:00:57.200 --> 00:01:01.520]  或者自己更加容易進入神野裏面
[00:01:01.520 --> 00:01:06.880]  我記得有個講道的老師,他的教會有一次
[00:01:06.880 --> 00:01:11.840]  教會裏面有一個家庭,遇見了一個車禍
[00:01:11.840 --> 00:01:17.680]  全家都離世,整個教會都不明白
[00:01:17.680 --> 00:01:19.680]  其實那個家庭很愛主
[00:01:19.680 --> 00:01:24.480]  整個教會都很震撼
[00:01:24.480 --> 00:01:29.920]  作為主任牧師,他不知道如何安慰弟兄姊妹
[00:01:29.920 --> 00:01:34.080]  如何一起走過那麼艱難的時候
[00:01:34.080 --> 00:01:38.880]  他想起以前讀過很多不同的討聞
[00:01:38.880 --> 00:01:45.280]  他每個星期跟慧中分享其中一段他讀過的討聞
[00:01:45.280 --> 00:01:50.960]  剛才那個討聞本來是英文的,後來他翻譯成中文
[00:01:50.960 --> 00:01:52.960]  去跟慧中分享
[00:01:52.960 --> 00:01:56.240]  有時候我看這些討聞的時候
[00:01:56.240 --> 00:01:59.120]  讓我知道如何去到神野面前
[00:01:59.120 --> 00:02:04.320]  無論是在我軟弱、失敗,或者很需要幫助
[00:02:04.320 --> 00:02:06.320]  心靈裏面有很多的缺乏
[00:02:06.320 --> 00:02:09.920]  甚至有時候真的不知道如何祈禱
[00:02:09.920 --> 00:02:16.320]  我就拿著剛才那個靈性討聞,心裏面去默討
[00:02:16.320 --> 00:02:21.200]  「神啊,你讓我知道如何去面對」
[00:02:21.200 --> 00:02:24.560]  《聖經》裏面有很多不同的討聞
[00:02:24.560 --> 00:02:26.560]  都是一個很好的教材
[00:02:26.560 --> 00:02:29.120]  讓我們知道如何去到神的面前
[00:02:29.120 --> 00:02:31.680]  將我們的心思意念交代在裏面
[00:02:31.680 --> 00:02:36.160]  正如剛才宥臣弟兄他也引用了很多的詩篇
[00:02:36.160 --> 00:02:40.000]  詩篇其實是很多屬靈的偉人
[00:02:40.000 --> 00:02:42.800]  他用一些心靈的掙扎去寫下來
[00:02:42.800 --> 00:02:44.800]  其實都是一個祈禱
