
[00:00:00.000 --> 00:00:05.000]  好,讓我們一齊在廣東之先低頭祈禱
[00:00:27.000 --> 00:00:32.000]  在聖誕節的時候我們求天父你幫助我們
[00:00:32.000 --> 00:00:37.000]  讓聖誕的訊息在我們每一個人的生命當中去成就神
[00:00:37.000 --> 00:00:40.000]  你要我更新改變我們生命的心意
[00:00:40.000 --> 00:00:43.000]  我們將以下的時間恭敬的交託給天父
[00:00:43.000 --> 00:00:46.000]  求聖靈在我們當中作功
[00:00:46.000 --> 00:00:48.000]  祈禱奉主耶穌明求,阿們
[00:00:51.000 --> 00:00:57.000]  剛才小朋友都特別帶大家看到這個馬槽
[00:00:57.000 --> 00:01:04.000]  在聖誕節的時候很多時候都想
[00:01:04.000 --> 00:01:07.000]  目光我們就去到馬槽那裡
[00:01:07.000 --> 00:01:14.000]  馬槽讓我們感受到收到聖誕卡的時候
[00:01:14.000 --> 00:01:20.000]  覺得很平靜,很謙卑,真的很簡單
[00:01:21.000 --> 00:01:24.000]  但是你想深一層
[00:01:24.000 --> 00:01:32.000]  創造天地萬物的神的兒子
[00:01:32.000 --> 00:01:37.000]  他是世界的君王
[00:01:37.000 --> 00:01:43.000]  竟然他道成肉身在一個這麼簡陋的地方出世
[00:01:43.000 --> 00:01:49.000]  我們都不想在那裡
[00:01:50.000 --> 00:01:52.000]  你想不想在那裡過夜
[00:01:52.000 --> 00:01:54.000]  很臭的
[00:01:54.000 --> 00:01:56.000]  很骯髒
[00:01:56.000 --> 00:01:58.000]  很多草蠟,雜雜的
[00:01:58.000 --> 00:02:04.000]  所以當我們在聖誕節的時候,我們去思想一下
[00:02:04.000 --> 00:02:12.000]  究竟為什麼君王基督要選擇在馬槽出世
[00:02:17.000 --> 00:02:20.000]  因為在馬槽那裡是可以給我們一個訊息
[00:02:20.000 --> 00:02:28.000]  馬槽的訊息就是要邀請我們進行一個生命的旅程
[00:02:28.000 --> 00:02:37.000]  你想像一下君王基督去到一個這麼骯髒的馬槽
[00:02:37.000 --> 00:02:46.000]  他代表了他沒有嫌棄你和我的軟弱
[00:02:47.000 --> 00:02:51.000]  他不會覺得那裡有他不想去的地方
[00:02:51.000 --> 00:03:01.000]  我們的破碎
[00:03:01.000 --> 00:03:03.000]  我們生命裡面的掙扎
[00:03:03.000 --> 00:03:06.000]  我們的困難
[00:03:06.000 --> 00:03:08.000]  透過馬槽告訴我們
[00:03:08.000 --> 00:03:13.000]  神不僅要我們來到這裡
[00:03:16.000 --> 00:03:20.000]  而是我們的神先來到我們當中
[00:03:20.000 --> 00:03:27.000]  牧羊人從曠野出發
[00:03:27.000 --> 00:03:35.000]  瑪麗亞和約瑟在那撒勒出發
[00:03:35.000 --> 00:03:42.000]  但是我們今天說的三博士這個故事
[00:03:43.000 --> 00:03:47.000]  就是攀山越嶺長途跋涉經過八百公里去找到耶穌
[00:03:47.000 --> 00:03:58.000]  原來聖誕故事就是對你發出一個邀請
[00:03:58.000 --> 00:04:03.000]  無論你生命的狀況是怎樣
[00:04:03.000 --> 00:04:09.000]  無論你有多遠距離神有多遠
[00:04:14.000 --> 00:04:17.000]  神是願意邀請你來到祂的地方
[00:04:17.000 --> 00:04:24.000]  而基督當你看到這個馬槽的時候
[00:04:24.000 --> 00:04:28.000]  後面的十字架
[00:04:28.000 --> 00:04:35.000]  由木造的馬槽到木造的十字架
[00:04:35.000 --> 00:04:42.000]  基督就是要成就一個使命
[00:04:44.000 --> 00:04:47.000]  而且也邀請我們一起和祂成就完成使命
[00:04:47.000 --> 00:04:56.000]  究竟在三博士的故事裡面
[00:04:56.000 --> 00:04:59.000]  神今天要和你發出一個什麼樣的邀請
[00:04:59.000 --> 00:05:06.000]  我今天只是想集中兩節的經文
