
[00:00:00.000 --> 00:00:04.000]  有一間教會很窮
[00:00:04.000 --> 00:00:06.000]  窮到瘋
[00:00:06.000 --> 00:00:09.000]  沒什麼錢
[00:00:09.000 --> 00:00:16.000]  但是這間教會的弟兄姊妹
[00:00:16.000 --> 00:00:20.000]  堅持一定要奉獻
[00:00:20.000 --> 00:00:27.000]  不是奉獻錢給自己教會來使用
[00:00:27.000 --> 00:00:33.000]  而是要奉獻錢給第二間教會
[00:00:33.000 --> 00:00:41.000]  那些有需要的弟兄姊妹來使用
[00:00:41.000 --> 00:00:47.000]  保羅收到這些奉獻的錢
[00:00:47.000 --> 00:00:51.000]  去幫助那些有需要的人
[00:00:51.000 --> 00:00:58.000]  然後他就去到一間比較有錢的教會
[00:00:58.000 --> 00:01:03.000]  就和那間比較有錢的教會的弟兄姊妹
[00:01:03.000 --> 00:01:14.000]  來分享我們應該有什麼態度來奉獻金錢
[00:01:14.000 --> 00:01:18.000]  那間比較有錢的教會
[00:01:18.000 --> 00:01:22.000]  就是哥倫多的教會
[00:01:22.000 --> 00:01:25.000]  因為它是一個沿岸的城市
[00:01:25.000 --> 00:01:31.000]  是一個經濟貿易發展非常迅速繁榮的城市
[00:01:31.000 --> 00:01:34.000]  好像香港那樣
[00:01:34.000 --> 00:01:38.000]  所以當我們去看哥倫多侯書
[00:01:38.000 --> 00:01:41.000]  看到第八章的時候
[00:01:41.000 --> 00:01:45.000]  保羅是用第八章第九章
[00:01:45.000 --> 00:01:48.000]  來和這間比較有錢的教會
[00:01:48.000 --> 00:01:51.000]  就是哥倫多的教會說
[00:01:51.000 --> 00:01:59.000]  我們應該有什麼態度來奉獻
[00:01:59.000 --> 00:02:02.000]  他講得很詳細
[00:02:02.000 --> 00:02:05.000]  我只是在第八章裡
[00:02:05.000 --> 00:02:13.000]  和大家分享四個態度和一個原則
[00:02:13.000 --> 00:02:18.000]  奉獻是什麼
[00:02:18.000 --> 00:02:20.000]  什麼是奉獻
[00:02:20.000 --> 00:02:28.000]  第一 奉獻是慈慰的工作
[00:02:28.000 --> 00:02:31.000]  奉獻是做慈慰的工作
