
[00:00:00.000 --> 00:00:07.360]  我們能夠今天在這地方一起來敬拜神,實在是何等的恩典。
[00:00:07.360 --> 00:00:12.340]  也許我們的語言是不一樣。
[00:00:12.340 --> 00:00:17.440]  也許我們的出生地不一樣。
[00:00:17.440 --> 00:00:24.040]  我們都能夠在這地方都是神國裡面的一家人。
[00:00:24.040 --> 00:00:35.240]  當我們在這個慶祝的時候,我們一起歌唱,我們一起禱告,
[00:00:35.240 --> 00:00:41.680]  我們能夠在這個地方帶來一個感恩、喜樂跟驚訝的心,
[00:00:41.680 --> 00:00:46.880]  在這一位萬王之王的面前,
[00:00:46.880 --> 00:00:49.080]  讓我們一起來禱告。
[00:00:54.040 --> 00:01:03.440]  神啊,我們在你的面前,我們在這邊感恩,我們也驚訝,
[00:01:03.440 --> 00:01:05.760]  我們看到與你同在的美好。
[00:01:05.760 --> 00:01:15.000]  我們每一年在教會裡面來慶祝你這個教會的誕生。
[00:01:15.000 --> 00:01:22.160]  我們知道你是這個教會的誕生的來源。
[00:01:22.160 --> 00:01:32.520]  當我們聚在這個地方的時候,我們帶了一個感恩的心為你所做的一切。
[00:01:32.520 --> 00:01:42.920]  也讓我們能夠知道你將來將要成就的事。
[00:01:42.920 --> 00:01:47.760]  我們禱告奉救主的名。
[00:01:47.760 --> 00:01:59.720]  在過去一年多來呢,我在托倫斯的寺院做義工。
[00:01:59.720 --> 00:02:12.000]  我每一次去花了四個鐘頭跟很多的志願者一起工作。
[00:02:12.000 --> 00:02:24.920]  能夠在這個地方跟大家一起服侍,我覺得事實上是非常難得的一個機會。
[00:02:24.920 --> 00:02:36.280]  但是真正我在這個地方,我覺得我的喜樂是在這個地方跟大家一起來聚會。
[00:02:36.280 --> 00:02:45.480]  我要來介紹一個小可愛。
[00:02:45.480 --> 00:02:52.160]  那這個小可愛呢,他也是在那個地方跟我一起在這邊幫助人的同工。
[00:02:52.160 --> 00:03:02.560]  來仔細看看他。
[00:03:02.560 --> 00:03:17.920]  那這隻小狗的主人把他帶到這地方,讓我們這些服務的人呢,每次來都因為他而歡笑而喜樂。
[00:03:17.920 --> 00:03:27.120]  那麼有一次呢,我們教會有一個生產,生產他出院的時候呢,正好碰到這隻小狗。
[00:03:27.120 --> 00:03:32.440]  那麼他們也很高興有機會跟他一起照了相。
[00:03:32.440 --> 00:03:42.760]  那這個,他不但這樣,他有他自己的Instagram的這個頁數,那麼他實在是也很可愛。
[00:03:42.760 --> 00:03:48.960]  但是他也要祝你們大家新年快樂。
[00:03:48.960 --> 00:03:57.800]  那丹麥牧師跟我一起都要祝大家新年快樂。
[00:03:57.800 --> 00:04:06.200]  那麼我們教會是在1967年的一月初成立的。
[00:04:06.200 --> 00:04:15.360]  那讓我們自己心裡面覺得是非常難得的一個特權。
[00:04:15.360 --> 00:04:26.720]  每年有一次我們作為一個教會跟一起聚會,大家三堂在一起。
[00:04:26.720 --> 00:04:35.800]  那麼葛牧師、李牧師跟我一起呢,輪流來講一次道。
[00:04:35.800 --> 00:04:40.640]  所以我呢,準備這邊道呢,準備了三年了。
[00:04:40.640 --> 00:04:50.680]  我不把這件事情當成一件小事。
[00:04:50.680 --> 00:05:08.040]  那在我跟Helen從德州,叫孤星之州,那麼這個加州搬到這裡以後兩個月。
[00:05:08.040 --> 00:05:18.480]  兩個月以後,我們教會在那個時候慶祝30週年,是1997年的一月份。
