
[00:00:00.000 --> 00:00:03.600]  大家好,一聽到這個名字「岩關」
[00:00:03.600 --> 00:00:07.200]  其實我自己也有很多感想
[00:00:07.200 --> 00:00:07.700]  為什麼呢?
[00:00:07.700 --> 00:00:12.200]  其實我也是一個容易死而復生的人
[00:00:12.200 --> 00:00:18.200]  很多年前我剛回到香港的一個半政府架構裏面
[00:00:18.200 --> 00:00:20.200]  做了一個合約
[00:00:20.200 --> 00:00:23.200]  突然他的頸有點不舒服
[00:00:23.200 --> 00:00:25.200]  有點僵硬,好像有些東西扯著
[00:00:25.200 --> 00:00:27.200]  看醫生,發現他有一個瘤
[00:00:27.200 --> 00:00:29.200]  一開始以為是粉瘤,那些很小意思
[00:00:29.200 --> 00:00:32.200]  很多人經常不開刀,不拿出來也可以
[00:00:32.200 --> 00:00:36.200]  但醫生就說應該開,看看要切片又要這樣
[00:00:36.200 --> 00:00:38.200]  我索性拿出來算了
[00:00:38.200 --> 00:00:40.200]  一拿出來之後發現不止這麼簡單
[00:00:40.200 --> 00:00:43.200]  後來我喉嚨裏頭也有一粒
[00:00:43.200 --> 00:00:48.200]  他們當初的估計就是這一粒不是很友善的一粒東西
[00:00:48.200 --> 00:00:50.200]  就說了很多治療的方法
[00:00:50.200 --> 00:00:53.200]  就是以後切完之後治療的方法
[00:00:53.200 --> 00:01:00.200]  其中有些方法就令到我這一生人的生活質素都不同了
[00:01:00.200 --> 00:01:04.200]  我當時當然很depressed,很不開心
[00:01:04.200 --> 00:01:06.200]  但感謝神都讓我渡過了
[00:01:06.200 --> 00:01:08.200]  不單止渡過了九年
[00:01:08.200 --> 00:01:10.200]  一點事都沒有
[00:01:10.200 --> 00:01:13.200]  也沒有跟著他們用的方法
[00:01:13.200 --> 00:01:16.200]  用的方法我想我現在也未必能說話
[00:01:16.200 --> 00:01:18.200]  除了我的音域,唱歌就知道
[00:01:18.200 --> 00:01:20.200]  唱音域就少了一點
[00:01:20.200 --> 00:01:23.200]  但是一點阻礙都沒有
[00:01:23.200 --> 00:01:26.200]  一點阻礙都沒有,感謝神
[00:01:26.200 --> 00:01:30.200]  在去年,我又說到一個真人見證
[00:01:30.200 --> 00:01:33.200]  去年我很不小心摑傷了腳
[00:01:33.200 --> 00:01:35.200]  很少很少的傷口
[00:01:35.200 --> 00:01:37.200]  但血就一直不停地流
[00:01:37.200 --> 00:01:39.200]  當然緊張,整晚都流
[00:01:39.200 --> 00:01:40.200]  那怎麼辦呢?
[00:01:40.200 --> 00:01:42.200]  第二天只有叫白車
[00:01:42.200 --> 00:01:45.200]  因為止不了,不是流,只是流出來
[00:01:45.200 --> 00:01:48.200]  那種感覺,看上去其實很恐怖
[00:01:48.200 --> 00:01:52.200]  我記得家人用面盤幫我弄的時候
[00:01:52.200 --> 00:01:54.200]  滴了很多
[00:01:54.200 --> 00:01:56.200]  進去之後
[00:01:56.200 --> 00:01:58.200]  對我來說其實也不是那麼痛
[00:01:58.200 --> 00:02:00.200]  只是很少的傷口
[00:02:00.200 --> 00:02:02.200]  誰不知後來出來的報告
[00:02:02.200 --> 00:02:04.200]  經過一段時間的測試
[00:02:04.200 --> 00:02:06.200]  說你有ITP
[00:02:06.200 --> 00:02:08.200]  我都不知道什麼叫ITP
[00:02:08.200 --> 00:02:09.200]  聽都沒聽過
[00:02:09.200 --> 00:02:11.200]  他說你在香港來說
