
[00:00:00.000 --> 00:00:03.000]  我們今天繼續思想伊斯拉基的經文
[00:00:03.000 --> 00:00:06.000]  我們大家再一次同心 我們再仰望主
[00:00:06.000 --> 00:00:15.400]  主我們聽到
[00:00:15.400 --> 00:00:19.500]  祢在我們心裡面常常的引導我們
[00:00:19.500 --> 00:00:21.960]  吩咐我們
[00:00:21.960 --> 00:00:24.300]  遠離邪惡
[00:00:24.300 --> 00:00:29.800]  吩咐我們進入祢自己的光明裡面
[00:00:31.000 --> 00:00:35.800]  主我們知道祢不是要來規範我們
[00:00:35.800 --> 00:00:37.600]  要控制我們
[00:00:37.600 --> 00:00:42.400]  是渴望我們能夠進入祢自己的光明
[00:00:42.400 --> 00:00:47.800]  是真的能夠勝過邪惡給我們的傷害
[00:00:47.800 --> 00:00:50.200]  給我們的荼毒
[00:00:50.200 --> 00:00:53.600]  主我們知道在這個世界裡面
[00:00:53.600 --> 00:00:58.000]  有太多雜飛成事的事情
[00:00:58.800 --> 00:01:01.800]  很多都以為是正確的事
[00:01:01.800 --> 00:01:05.800]  但是主我們需要祢自己的真理
[00:01:05.800 --> 00:01:09.200]  讓我們去領受聰明
[00:01:09.200 --> 00:01:11.400]  知道分辨是非
[00:01:11.400 --> 00:01:15.800]  也領受祢給我們的力量來跟隨
[00:01:15.800 --> 00:01:20.600]  主我們今天聽到詩歌的時候
[00:01:20.600 --> 00:01:23.000]  心中都是如此渴慕
[00:01:23.000 --> 00:01:25.800]  主求祢塗造我們
[00:01:25.800 --> 00:01:28.600]  求祢更新我們的生命
[00:01:29.000 --> 00:01:31.000]  因為祢是慈愛的上帝
[00:01:31.000 --> 00:01:33.600]  祢很樂意來幫助我們
[00:01:33.600 --> 00:01:39.200]  能夠領受祢給我們真正更新蒙福的生命
[00:01:39.200 --> 00:01:43.600]  所以主求祢再一次透過祢自己聖經的真理
[00:01:43.600 --> 00:01:46.600]  祢在我們生命當中來工作
[00:01:46.600 --> 00:01:50.800]  讓我們真的能夠像我們天上的父親
[00:01:50.800 --> 00:01:53.000]  成為祢的兒女
[00:01:53.000 --> 00:01:55.600]  主我們向祢尋求
[00:01:55.600 --> 00:01:58.600]  求祢讓我們真的能夠像祢
[00:01:59.000 --> 00:02:00.600]  我們天上的父
[00:02:00.600 --> 00:02:03.000]  求祢賜福這段時間
[00:02:03.000 --> 00:02:06.400]  讓我們在祢的說話當中一同蒙恩位
[00:02:06.400 --> 00:02:08.200]  我們仰望祈禱
[00:02:08.200 --> 00:02:10.000]  奉耶穌聖名求
[00:02:10.000 --> 00:02:11.000]  阿們
[00:02:11.000 --> 00:02:14.800]  我們再揭開聖經
[00:02:14.800 --> 00:02:16.200]  以色列記第九章
[00:02:16.200 --> 00:02:18.200]  我們接續的理道思想
[00:02:18.200 --> 00:02:22.800]  我們中間
[00:02:22.800 --> 00:02:26.000]  最大多數的弟兄姊妹已經信主
[00:02:26.000 --> 00:02:28.000]  也都信了一段時間
[00:02:28.200 --> 00:02:31.200]  但我們到今天都常常會提回自己的經文
[00:02:31.200 --> 00:02:32.600]  而佛所書所說
[00:02:32.600 --> 00:02:38.200]  「你們得救是本乎因也因著順」
[00:02:38.200 --> 00:02:43.200]  聖經清楚講到我們能夠得蒙神的赦免
[00:02:43.200 --> 00:02:46.400]  神拯救我們是因為祂的恩典
[00:02:46.400 --> 00:02:50.800]  也都清楚意味不是我們自己救自己
[00:02:50.800 --> 00:02:52.200]  不是自救
[00:02:52.200 --> 00:02:55.400]  而是神自己無條件的
[00:02:55.600 --> 00:02:59.000]  恩典就是白白無條件的意思
[00:02:59.000 --> 00:03:02.200]  是無條件的來幫助我們
[00:03:02.200 --> 00:03:04.600]  讓我們能夠領受拯救
[00:03:04.600 --> 00:03:07.600]  當我們信主之後
[00:03:07.600 --> 00:03:10.800]  我們會知道神的恩典不斷來帶領我們
[00:03:10.800 --> 00:03:13.400]  這是聖經清楚應許的
[00:03:13.400 --> 00:03:15.400]  但有些人會說
[00:03:15.400 --> 00:03:17.200]  既然神那麼大恩典
[00:03:17.200 --> 00:03:19.200]  有些時候都不用那麼緊張
[00:03:19.200 --> 00:03:20.800]  或者有些時候
[00:03:20.800 --> 00:03:22.600]  就放心
[00:03:22.600 --> 00:03:25.400]  神都會有恩典幫我走回頭
[00:03:26.600 --> 00:03:29.400]  回應這一句話
[00:03:29.400 --> 00:03:33.400]  保羅在羅馬書已經很清楚地提到
[00:03:33.400 --> 00:03:35.400]  羅馬書裏面保羅說
[00:03:35.400 --> 00:03:37.000]  我們信了主的人
[00:03:37.000 --> 00:03:40.800]  我們怎可以仍在罪中活著
[00:03:40.800 --> 00:03:43.200]  叫恩典顯多呢?
[00:03:43.200 --> 00:03:46.200]  怎可以仍在罪中活著
[00:03:46.200 --> 00:03:48.400]  讓神的恩典繼續臨到?
[00:03:48.400 --> 00:03:52.200]  保羅說「斷乎不可」
[00:03:52.200 --> 00:03:54.000]  不可以的
[00:03:54.400 --> 00:03:56.800]  一個人領受恩典之餘
[00:03:56.800 --> 00:03:59.600]  要繼續珍惜神給的恩典
[00:03:59.600 --> 00:04:02.800]  甚至不要濫用了神的恩典
[00:04:02.800 --> 00:04:04.000]  以為神的恩典來到
[00:04:04.000 --> 00:04:05.800]  就可以放膽犯罪
[00:04:05.800 --> 00:04:08.200]  才說不可以的
[00:04:08.200 --> 00:04:09.400]  斷乎不可
[00:04:09.400 --> 00:04:11.200]  而正因為這樣
[00:04:11.200 --> 00:04:14.000]  當人明白神自己的恩典的寶貴的時候
[00:04:14.000 --> 00:04:15.200]  就會更加知道
[00:04:15.200 --> 00:04:17.800]  不容許自己繼續在罪當中
[00:04:17.800 --> 00:04:20.800]  以致再面對神的管教
[00:04:20.800 --> 00:04:23.000]  再面對著危險
[00:04:23.000 --> 00:04:24.200]  生命的危險
[00:04:24.600 --> 00:04:26.000]  這是我們很多時候
[00:04:26.000 --> 00:04:29.400]  會常常想到聖經福音的訊息的一部分
