
[00:00:00.000 --> 00:00:01.560]  今天在堂慶的時候
[00:00:01.560 --> 00:00:05.240]  很想和大家透過人物來帶去分享
[00:00:05.240 --> 00:00:07.440]  我們不甘於安逸
[00:00:07.440 --> 00:00:09.560]  我們要再攀高峰
[00:00:09.560 --> 00:00:11.960]  這個人就是迦勒
[00:00:11.960 --> 00:00:14.840]  我們了解一下迦勒的背景
[00:00:14.840 --> 00:00:17.560]  迦勒因為信心的驅使
[00:00:17.560 --> 00:00:20.160]  令到他來帶去力排眾議
[00:00:20.160 --> 00:00:25.040]  當以色列人離開埃及圍爐之地
[00:00:25.040 --> 00:00:29.680]  後來摩西就差派12個探子
[00:00:29.680 --> 00:00:31.560]  他們有12個支派
[00:00:31.560 --> 00:00:35.680]  每一個支派派一個領袖出來
[00:00:35.680 --> 00:00:39.040]  12個人進去探索迦勒地
[00:00:39.040 --> 00:00:43.440]  在文授記第13章1到2節裏面
[00:00:43.440 --> 00:00:45.440]  就有這個呼籲
[00:00:45.440 --> 00:00:48.240]  接著在第18到20節裏面
[00:00:48.240 --> 00:00:50.400]  很清楚的來帶去講
[00:00:50.400 --> 00:00:53.560]  你們進去探索這個迦勒地
[00:00:53.560 --> 00:00:55.920]  了解一下那個地方是怎樣
[00:00:55.920 --> 00:00:58.280]  以便我們能夠知道之後
[00:00:58.280 --> 00:01:00.280]  怎樣來帶去計劃
[00:01:00.280 --> 00:01:02.960]  特別的時候他會提到
[00:01:02.960 --> 00:01:04.480]  就是第20節
[00:01:04.480 --> 00:01:06.720]  你們要放開膽量
[00:01:06.720 --> 00:01:10.120]  把那地的果子大奢來
[00:01:10.120 --> 00:01:13.440]  放開膽量的意思就是盡力而為
[00:01:13.440 --> 00:01:14.800]  你盡力去做
[00:01:14.800 --> 00:01:18.840]  而當時是剛剛葡萄成熟的時候
[00:01:18.840 --> 00:01:22.280]  即是應該是七月中或者下旬的時間
[00:01:22.280 --> 00:01:25.120]  他們從藍地裏面上去
[00:01:25.120 --> 00:01:28.080]  去到希伯倫一個古老的地方裏面
[00:01:28.080 --> 00:01:30.880]  再由希伯倫去到以實谷
[00:01:30.880 --> 00:01:33.480]  這個地方是盛產葡萄
[00:01:33.480 --> 00:01:36.880]  於是他們就斬了一些葡萄下來
[00:01:36.880 --> 00:01:37.880]  哇
[00:01:37.880 --> 00:01:40.120]  那些葡萄大到你很難去相信
[00:01:40.120 --> 00:01:43.640]  竟然要兩個人去抬回來
[00:01:43.640 --> 00:01:46.280]  當然不只是抬葡萄
[00:01:46.280 --> 00:01:50.280]  還有番石榴和無花果
[00:01:50.280 --> 00:01:52.840]  我們剛剛去完非洲的烏干達
[00:01:52.840 --> 00:01:56.880]  我們特意去看一下街市是怎樣
[00:01:56.880 --> 00:01:58.880]  當我們去看一下的時候
[00:01:58.880 --> 00:02:03.160]  想不到烏干達竟然有澳洲的蘋果芒
[00:02:03.160 --> 00:02:06.160]  後來再去看一下的時候
[00:02:06.160 --> 00:02:08.760]  他們告訴我原來那個不是蘋果芒
[00:02:08.760 --> 00:02:10.560]  這麼大個大家有沒有見過
[00:02:10.560 --> 00:02:12.160]  原來是牛油果
[00:02:12.160 --> 00:02:14.760]  我在香港沒有見過這麼大的牛油果
[00:02:14.760 --> 00:02:16.280]  所以我以為是蘋果芒
[00:02:16.280 --> 00:02:17.880]  但原來是牛油果
[00:02:17.880 --> 00:02:20.280]  搖起來的時候還「駱駱聲」
[00:02:20.280 --> 00:02:21.280]  但還是很划算
[00:02:21.280 --> 00:02:23.280]  三元一個港幣
[00:02:23.280 --> 00:02:24.480]  所以很划算
[00:02:24.480 --> 00:02:30.480]  原來真的那些葡萄要大到重到要人抬回來
[00:02:30.480 --> 00:02:32.880]  他們用了四十天的時間
[00:02:32.880 --> 00:02:35.480]  終於回到加底斯
[00:02:35.480 --> 00:02:40.880]  於是向摩西和子民匯報他們所見到的
[00:02:40.880 --> 00:02:43.680]  他們帶出了一個客觀的事實
[00:02:43.680 --> 00:02:45.880]  第十三章的二十七節
[00:02:45.880 --> 00:02:49.080]  「我們到了你所打發我們去的那地
[00:02:49.080 --> 00:02:56.280]  果然是流奶與蜜之地,就是那地的果子」
[00:02:56.280 --> 00:02:59.680]  去指出這個地方非常的肥沃
[00:02:59.680 --> 00:03:02.080]  土產非常的豐富
[00:03:02.080 --> 00:03:04.280]  果實累累
[00:03:04.280 --> 00:03:06.480]  但他們又同樣指出
[00:03:06.480 --> 00:03:10.280]  在這個地方裏面有很多的外族人留居住
[00:03:10.280 --> 00:03:13.280]  阿納族、阿瑪利人、黑人
