
[00:00:00.000 --> 00:00:07.000]  不經不覺 今日已經是年晚
[00:00:07.000 --> 00:00:19.000]  在這裏 恭祝大家有一個 蒙福 歡喜快樂的農曆新年
[00:00:19.000 --> 00:00:24.000]  今日的講題是 耶和華默然愛你
[00:00:24.000 --> 00:00:33.000]  這句話是出自西班牙書三章十七節
[00:00:33.000 --> 00:00:42.000]  我們配合今年的主題 講復興 復蘇 蘇醒 悔改
[00:00:42.000 --> 00:00:45.000]  關於悔改 有一個故事是這樣的
[00:00:45.000 --> 00:00:50.000]  有一位新上任的牧師去到一間新的教會
[00:00:50.000 --> 00:00:54.000]  跟一群新的會眾講第一次的道
[00:00:54.000 --> 00:00:56.000]  他講了什麼呢?
[00:00:56.000 --> 00:01:01.000]  他講你們要悔改 要復興神的國
[00:01:01.000 --> 00:01:06.000]  他講得非常之好 每個會眾都聽得很喜歡
[00:01:06.000 --> 00:01:15.000]  甚至有人說這是他們有生以來第一次聽到這麼精彩的道
[00:01:15.000 --> 00:01:21.000]  第二個星期日 這位牧師重覆講這篇道
[00:01:21.000 --> 00:01:27.000]  他又說我們要悔改 要復興神的國
[00:01:27.000 --> 00:01:32.000]  大部分會眾都忘記了上星期講什麼
[00:01:32.000 --> 00:01:39.000]  又聽得很開心 很喜歡 又大讚牧師講得好
[00:01:39.000 --> 00:01:45.000]  第三個星期日 這位牧師竟然又再重覆講這篇道
[00:01:45.000 --> 00:01:50.000]  這次有些會眾發覺不對勁
[00:01:50.000 --> 00:02:00.000]  於是向執事會反映 要求執事會正視這個問題
[00:02:00.000 --> 00:02:06.000]  第四個星期日 這位牧師又再重覆講這篇道
[00:02:06.000 --> 00:02:12.000]  執事會立即召牧師開會
[00:02:12.000 --> 00:02:19.000]  開完會後 他們在牧師那裡得到的答案是這樣
[00:02:19.000 --> 00:02:26.000]  第一 牧師不是善忘 忘記了上星期講過的道
[00:02:26.000 --> 00:02:31.000]  第二 牧師不是沒有能力講第二篇道
[00:02:31.000 --> 00:02:36.000]  他有能力講第二篇道 他已經預備好講第二篇道
[00:02:36.000 --> 00:02:43.000]  第三 他也很想講第二篇道
[00:02:43.000 --> 00:02:50.000]  第四 但問題是他要見到會眾真正悔改後
[00:02:50.000 --> 00:02:54.000]  他就會講第二篇道
[00:02:54.000 --> 00:03:01.000]  這個故事就講完了 我都未聽過有牧師夠膽這樣做
[00:03:01.000 --> 00:03:06.000]  不過當然這是一個笑話
[00:03:06.000 --> 00:03:12.000]  這個故事給我們有什麼啟示呢?
[00:03:12.000 --> 00:03:20.000]  這個故事令我想起小仙之書整體所要表達的一個意念
[00:03:20.000 --> 00:03:27.000]  就是神不斷重覆講一個信息
[00:03:27.000 --> 00:03:31.000]  人犯罪 神必定會審判
[00:03:31.000 --> 00:03:40.000]  人要悔改 人如果不悔改 必要如此滅亡
[00:03:40.000 --> 00:03:47.000]  西班牙書是猶大亡國前的最後一卷小仙之書
[00:03:47.000 --> 00:03:52.000]  可以當這卷書的信息是神最後的警告
[00:03:52.000 --> 00:04:00.000]  但是很可惜 猶大的君王和百姓都不理會神的呼喚
[00:04:00.000 --> 00:04:07.000]  終於以國破家亡來收場
[00:04:07.000 --> 00:04:13.000]  西班牙書的主題信息是講耶和華的日子
[00:04:13.000 --> 00:04:21.000]  耶和華的日子就是審判之日 也是拯救之日
[00:04:21.000 --> 00:04:25.000]  為什麼會兩樣一起呢?
[00:04:25.000 --> 00:04:29.000]  因為肯悔改回頭的人就會得到拯救
[00:04:29.000 --> 00:04:33.000]  死不悔改的人就會得到懲罰
[00:04:33.000 --> 00:04:39.000]  在舊約裏面看得很清楚
[00:04:39.000 --> 00:04:44.000]  神就是這樣對待古時的人
[00:04:44.000 --> 00:04:50.000]  神也會同樣對待現在和將來的人
[00:04:50.000 --> 00:04:55.000]  即是說這個信息與我們有關
[00:04:55.000 --> 00:04:58.000]  所以我們千萬不要忘記
[00:04:58.000 --> 00:05:02.000]  當審判還未來臨
[00:05:02.000 --> 00:05:08.000]  我們就要蘇醒 要回頭 要聰明一點
[00:05:08.000 --> 00:05:15.000]  要及早回頭 走回合神心意的路上
[00:05:15.000 --> 00:05:20.000]  這就是我今天要和大家講的題目
[00:05:20.000 --> 00:05:23.000]  也是我們一起要學的功課
[00:05:23.000 --> 00:05:28.000]  及早回頭 走在神的路上
[00:05:28.000 --> 00:05:30.000]  剛才大家讀經文的時候
[00:05:30.000 --> 00:05:32.000]  我相信大家都會有一個感覺
[00:05:32.000 --> 00:05:37.000]  就是感受到神的怒氣很大
[00:05:37.000 --> 00:05:45.000]  一開始祂就說要毀滅全世界的人和所有的生物
[00:05:45.000 --> 00:05:50.000]  當然我們知道這個說話
[00:05:50.000 --> 00:05:55.000]  是指末世的最終審判
[00:05:55.000 --> 00:05:57.000]  但是很明顯另一方面
[00:05:57.000 --> 00:06:02.000]  神又是特別針對猶大的君王和百姓
[00:06:02.000 --> 00:06:05.000]  和耶路撒冷的居民
[00:06:05.000 --> 00:06:15.000]  我們會問 神為什麼要特別對付自己的選民呢?
[00:06:15.000 --> 00:06:18.000]  究竟他們做錯了什麼呢?
[00:06:18.000 --> 00:06:23.000]  他們何罪之有 要這樣對待他們呢?
[00:06:23.000 --> 00:06:26.000]  我們從經文裡看到
[00:06:26.000 --> 00:06:32.000]  他們的罪 俗語說是離哂大譜
[00:06:32.000 --> 00:06:35.000]  我們數數他們的罪狀
[00:06:35.000 --> 00:06:38.000]  數完罪狀很容易很開心
[00:06:38.000 --> 00:06:44.000]  反過來被人數就很難受
[00:06:44.000 --> 00:06:48.000]  我們看今天的經文
[00:06:48.000 --> 00:06:52.000]  西班牙書一章四節
[00:06:52.000 --> 00:06:54.000]  一章四節說
[00:06:54.000 --> 00:06:57.000]  我必從這地方剪除所剩下的芭蕾
[00:06:57.000 --> 00:07:02.000]  拼基瑪林的名和祭司
[00:07:02.000 --> 00:07:03.000]  大家想想
[00:07:03.000 --> 00:07:08.000]  神的子民竟然拜加南人的神明芭蕾
[00:07:08.000 --> 00:07:11.000]  和拜摩訶人的神明基瑪林
[00:07:11.000 --> 00:07:18.000]  基瑪林的別名叫基末
