
[00:00:00.000 --> 00:00:09.000]  在這兩句內我們希望每一堂會為大家介紹一個我們會點教會覺得很重要的價值
[00:00:09.000 --> 00:00:11.000]  這個就是我們教會所認同很重要的
[00:00:11.000 --> 00:00:14.000]  也從不同的經文來看為什麼這些價值重要
[00:00:14.000 --> 00:00:20.000]  以及這些價值怎樣可以為我們的生命帶來一個很不同的景象
[00:00:20.000 --> 00:00:25.000]  今天的第一個價值就稱之為關愛的心思
[00:00:25.000 --> 00:00:27.000]  英文叫做Caring Heart
[00:00:27.000 --> 00:00:31.000]  或者聖經裏面很少用Caring Heart這個字
[00:00:31.000 --> 00:00:36.000]  其實聖經裏面比較常用到一個字叫做Compassion
[00:00:36.000 --> 00:00:38.000]  這個字很特別的
[00:00:38.000 --> 00:00:41.000]  有時中文翻譯成是憐憫
[00:00:41.000 --> 00:00:43.000]  即是你很關懷一個人
[00:00:43.000 --> 00:00:45.000]  你看到一個人的時候你想去憐憫他
[00:00:45.000 --> 00:00:47.000]  一個Caring Heart有Compassion
[00:00:47.000 --> 00:00:54.000]  今天我們第一個價值就是有關Compassion, Caring Heart這方面
[00:00:54.000 --> 00:00:57.000]  只是想分兩部份和大家分享
[00:00:57.000 --> 00:01:02.000]  第一部份就有關我覺得每一個人都會有這個Compassion
[00:01:02.000 --> 00:01:07.000]  都會有一顆Caring Heart去關心身邊的人
[00:01:07.000 --> 00:01:13.000]  不同的地方就是我們的Compassion的範圍大和小
[00:01:13.000 --> 00:01:17.000]  可以是很不同的,不同的人是很不同的
[00:01:17.000 --> 00:01:20.000]  到底有什麼影響我們的大和小
[00:01:20.000 --> 00:01:24.000]  怎樣可以展開我們這個Compassion的圈子呢
[00:01:24.000 --> 00:01:26.000]  今天是第一個點要和大家分享
[00:01:26.000 --> 00:01:30.000]  第二個點先分享怎樣讓我們的Compassion能夠越來越多
[00:01:30.000 --> 00:01:33.000]  Connect with這個Compassion的源頭
[00:01:33.000 --> 00:01:37.000]  我們今天會看的經文都是出自《路加福音》
[00:01:37.000 --> 00:01:44.000]  第一段我們先看如何去展開關愛這個Compassion的範圍
[00:01:44.000 --> 00:01:47.000]  在《路加福音》的七章十八到二十三節有一段經文
[00:01:47.000 --> 00:01:52.000]  那段經文很特別是說到約翰開始懷疑這是否主耶穌
[00:01:52.000 --> 00:01:57.000]  你說很奇怪,約翰明明是介紹主耶穌出場,怎會懷疑呢
[00:01:57.000 --> 00:01:58.000]  這段經文是這樣記載的
[00:01:58.000 --> 00:02:01.000]  約翰的門徒把一切的事告訴約翰
[00:02:01.000 --> 00:02:06.000]  當時施洗約翰的經義是被人抓去坐牢
[00:02:06.000 --> 00:02:09.000]  所以他的門徒就把一切的事,他們見到的事
[00:02:09.000 --> 00:02:13.000]  見到什麼事呢?就是見到主耶穌醫治很多的人
[00:02:13.000 --> 00:02:15.000]  於是約翰就叫了兩個門徒來
[00:02:15.000 --> 00:02:19.000]  就抓他們去見主,就要他們問主耶穌
[00:02:19.000 --> 00:02:20.000]  問什麼呢?
[00:02:20.000 --> 00:02:24.000]  他就說:你就是約翰所說將要來臨的那一位
[00:02:24.000 --> 00:02:27.000]  或是我們還要等待另一位呢?
[00:02:27.000 --> 00:02:32.000]  你是不是就是那個Messiah,就是神所高沒的救主呢?
[00:02:32.000 --> 00:02:35.000]  尼塞亞呢?還是還要等另一個呢?
[00:02:35.000 --> 00:02:38.000]  這兩個門徒就去到耶穌那裡就說
[00:02:38.000 --> 00:02:41.000]  施洗約翰抓我們來問你
[00:02:41.000 --> 00:02:46.000]  你就是他所說將要來臨的那一位
[00:02:46.000 --> 00:02:48.000]  或是我們還要等待另一位呢?
[00:02:48.000 --> 00:02:50.000]  就repeat the same question
[00:02:50.000 --> 00:02:56.000]  剛好在那時候,耶穌醫治了很多患病、疫症的人
[00:02:56.000 --> 00:03:01.000]  和醫好了一些被鬼附身、邪靈附身的人
[00:03:01.000 --> 00:03:04.000]  並且使很多失明的人重見光明
[00:03:04.000 --> 00:03:07.000]  於是他回答約翰的門徒說
[00:03:07.000 --> 00:03:13.000]  你們回去,把所看見所聽到的報告約翰
[00:03:13.000 --> 00:03:15.000]  就是失明的看見
[00:03:15.000 --> 00:03:18.000]  就是跛腳的能夠行走
[00:03:18.000 --> 00:03:20.000]  麻風的得潔淨
[00:03:20.000 --> 00:03:22.000]  耳聾的聽見死人復活
[00:03:22.000 --> 00:03:24.000]  窮人聽到福音
[00:03:24.000 --> 00:03:28.000]  對我不而或的人多麼有福啊!
[00:03:28.000 --> 00:03:31.000]  這裡第一個我們要處理的問題就是
[00:03:31.000 --> 00:03:34.000]  為什麼約翰會懷疑主耶穌的身份呢?
[00:03:34.000 --> 00:03:37.000]  約翰是主耶穌的前鋒
[00:03:37.000 --> 00:03:39.000]  他是介紹主耶穌出場的人
[00:03:39.000 --> 00:03:41.000]  就好像你看一些綜藝節目的時候
[00:03:41.000 --> 00:03:45.000]  通常說我們今天請了什麼大牌明星
[00:03:45.000 --> 00:03:46.000]  但明星出場之前
[00:03:46.000 --> 00:03:49.000]  通常有個主持人先出來介紹
[00:03:49.000 --> 00:03:53.000]  接下來這位明星他出過什麼唱片
[00:03:53.000 --> 00:03:55.000]  拿過什麼金馬獎很多的獎
[00:03:55.000 --> 00:03:59.000]  最近辦的什麼巡迴演唱會
[00:03:59.000 --> 00:04:01.000]  今天大家掌聲歡迎
[00:04:01.000 --> 00:04:03.000]  今天請了哪個哪個天王來
[00:04:03.000 --> 00:04:07.000]  約翰的身份基本上就是這個身份
[00:04:07.000 --> 00:04:12.000]  他透過贈禮來預備人的心
[00:04:12.000 --> 00:04:14.000]  然後介紹主耶穌出場
[00:04:14.000 --> 00:04:16.000]  問題來了
[00:04:16.000 --> 00:04:18.000]  他介紹完主耶穌出場之後
[00:04:18.000 --> 00:04:21.000]  他就發覺開始懷疑了
[00:04:21.000 --> 00:04:25.000]  我介紹這位到底是不是基督呢?
[00:04:25.000 --> 00:04:27.000]  這個很奇怪
[00:04:27.000 --> 00:04:31.000]  因為可見可能基督做了一些事
[00:04:31.000 --> 00:04:33.000]  是和他的期待不一樣
[00:04:33.000 --> 00:04:35.000]  就等於我今天介紹
[00:04:35.000 --> 00:04:38.000]  今天很開心我們請了亞洲的天王
[00:04:38.000 --> 00:04:40.000]  劉德華來到我們當中
[00:04:40.000 --> 00:04:42.000]  然後介紹他出場
[00:04:42.000 --> 00:04:43.000]  然後他出場之後
[00:04:43.000 --> 00:04:44.000]  要他唱一首什麼
[00:04:44.000 --> 00:04:47.000]  記我一杯萬千歲
[00:04:47.000 --> 00:04:48.000]  大家知道沒有問題
[00:04:48.000 --> 00:04:50.000]  劉德華一點問題都沒有
[00:04:50.000 --> 00:04:53.000]  但是劉德華我介紹完他出來之後
[00:04:53.000 --> 00:04:55.000]  他上來沒有唱歌
[00:04:55.000 --> 00:04:57.000]  他突然站在那裡講一篇讀
[00:04:57.000 --> 00:04:59.000]  那時候你就懷疑了
[00:04:59.000 --> 00:05:02.000]  到底是劉德華還是回點劉華呢?
[00:05:02.000 --> 00:05:04.000]  Pastor Jackie
[00:05:04.000 --> 00:05:05.000]  你可以說
[00:05:05.000 --> 00:05:10.000]  因為他所做的和你期待他所做的有出入
[00:05:10.000 --> 00:05:11.000]  於是他懷疑
[00:05:11.000 --> 00:05:13.000]  是不是我介紹錯人了?
[00:05:13.000 --> 00:05:18.000]  還是還要等另一個來?
[00:05:18.000 --> 00:05:19.000]  所以約翰就是這樣
[00:05:19.000 --> 00:05:22.000]  約翰就是他介紹了主耶穌出場
[00:05:22.000 --> 00:05:25.000]  然後他期待主耶穌應該做一些事
[00:05:25.000 --> 00:05:27.000]  但是主耶穌正在做的事
[00:05:27.000 --> 00:05:29.000]  和他期待中不一樣
[00:05:29.000 --> 00:05:31.000]  於是他就懷疑
[00:05:31.000 --> 00:05:32.000]  到底是不是你呢?
[00:05:32.000 --> 00:05:34.000]  我是這樣跟別人介紹是你
[00:05:34.000 --> 00:05:36.000]  但是到底你是不是呢?
[00:05:36.000 --> 00:05:38.000]  還是還有另外一個呢?
[00:05:38.000 --> 00:05:40.000]  下一個問題你就要問了
[00:05:40.000 --> 00:05:43.000]  到底主耶穌做了些什麼
[00:05:43.000 --> 00:05:44.000]  讓他覺得
[00:05:44.000 --> 00:05:46.000]  這個不是我期待你做的
[00:05:46.000 --> 00:05:48.000]  有些不對勁
[00:05:48.000 --> 00:05:50.000]  到底主耶穌做了什麼
[00:05:50.000 --> 00:05:53.000]  讓他覺得需要懷疑呢?
[00:05:53.000 --> 00:05:55.000]  經文講得很簡單
[00:05:55.000 --> 00:05:57.000]  他說主耶穌基本上
[00:05:57.000 --> 00:06:00.000]  門徒將主耶穌正在做的事
[00:06:00.000 --> 00:06:01.000]  正在做什麼呢?
[00:06:01.000 --> 00:06:04.000]  主耶穌正在做醫治病人
[00:06:04.000 --> 00:06:07.000]  他說失明的看見
[00:06:07.000 --> 00:06:09.000]  跛腳的開行走
[00:06:09.000 --> 00:06:10.000]  麻風的潔淨
[00:06:10.000 --> 00:06:11.000]  耳聾的聽見
[00:06:11.000 --> 00:06:12.000]  死人復活
[00:06:12.000 --> 00:06:13.000]  窮人聽到福音
[00:06:13.000 --> 00:06:15.000]  對我不而話的多麼有福
[00:06:15.000 --> 00:06:17.000]  所以主耶穌正在做這些事
[00:06:17.000 --> 00:06:20.000]  所以門徒就將看到的報告給約翰聽
[00:06:20.000 --> 00:06:22.000]  約翰就覺得有些不對勁
[00:06:22.000 --> 00:06:23.000]  有些不對勁
[00:06:23.000 --> 00:06:24.000]  所以主耶穌正在做什麼呢?
[00:06:24.000 --> 00:06:27.000]  其實主耶穌正在做的就是今天的主題
[00:06:27.000 --> 00:06:29.000]  就是他看見那些人
[00:06:29.000 --> 00:06:30.000]  無論失明的
[00:06:30.000 --> 00:06:31.000]  麻風的病
[00:06:31.000 --> 00:06:34.000]  因為如果你看第七章的前面部分
[00:06:34.000 --> 00:06:37.000]  主耶穌剛剛醫好了一個寡婦的兒子
[00:06:37.000 --> 00:06:39.000]  他看見寡婦的兒子死了
[00:06:39.000 --> 00:06:41.000]  他一看見他就覺得很淒慘
[00:06:41.000 --> 00:06:42.000]  因為寡婦
[00:06:42.000 --> 00:06:44.000]  她的兒子是唯一的盼望
[00:06:44.000 --> 00:06:45.000]  兒子也死了
[00:06:45.000 --> 00:06:47.000]  於是他就將兒子醫治了
[00:06:47.000 --> 00:06:48.000]  死而復活
[00:06:48.000 --> 00:06:49.000]  所以因為這個緣故
[00:06:49.000 --> 00:06:51.000]  主耶穌看見寡婦的時候
[00:06:51.000 --> 00:06:52.000]  他就憐憫她
[00:06:52.000 --> 00:06:54.000]  英文就是compassion
[00:06:54.000 --> 00:06:58.000]  所以基本上主耶穌就是憐憫很多不同的人
[00:06:58.000 --> 00:07:00.000]  我首先介紹一下憐憫
[00:07:00.000 --> 00:07:04.000]  憐憫這個觀念其實有兩部分
[00:07:04.000 --> 00:07:06.000]  第一部分就是憐憫
[00:07:06.000 --> 00:07:09.000]  literally意思就是suffer together
[00:07:09.000 --> 00:07:11.000]  所以憐憫的第一部分就是
[00:07:11.000 --> 00:07:14.000]  你首先要感受到別人的痛苦
[00:07:14.000 --> 00:07:16.000]  所以這個叫同理心
[00:07:16.000 --> 00:07:19.000]  有句英文大家應該都聽過empathy
[00:07:19.000 --> 00:07:21.000]  empathy是compassion的其中一部分
[00:07:21.000 --> 00:07:24.000]  就是你首先見到一個人痛苦
[00:07:24.000 --> 00:07:26.000]  你可以從他的角度去感受到
[00:07:26.000 --> 00:07:28.000]  這件事真的痛
[00:07:28.000 --> 00:07:30.000]  所以同理心的意思就是
[00:07:30.000 --> 00:07:31.000]  當你見到一個痛苦的人
[00:07:31.000 --> 00:07:34.000]  你能夠很sincere地跟他說
[00:07:34.000 --> 00:07:36.000]  I feel your pain
[00:07:36.000 --> 00:07:38.000]  這個就叫同理心
[00:07:38.000 --> 00:07:42.000]  compassion的第二個component就是
[00:07:42.000 --> 00:07:44.000]  當你感受到對方很痛苦的時候
[00:07:44.000 --> 00:07:47.000]  你有一個很strong的desire
[00:07:47.000 --> 00:07:50.000]  去幫他解決這個痛苦
[00:07:50.000 --> 00:07:52.000]  跟他一起去經歷這個痛苦
[00:07:52.000 --> 00:07:54.000]  跟他一起去承擔這個痛苦
[00:07:54.000 --> 00:07:57.000]  這種就稱之為compassion
[00:07:57.000 --> 00:07:59.000]  因為有時候我們會
[00:07:59.000 --> 00:08:00.000]  沒有了第一部分
[00:08:00.000 --> 00:08:01.000]  沒有了同理心
[00:08:01.000 --> 00:08:02.000]  I feel your pain
[00:08:02.000 --> 00:08:05.000]  但是我又如果有衝動要幫你
[00:08:05.000 --> 00:08:07.000]  這個就不叫compassion
[00:08:07.000 --> 00:08:09.000]  這個又例如陳光標
[00:08:09.000 --> 00:08:11.000]  是不是都做了很多好事
[00:08:11.000 --> 00:08:13.000]  幫助窮人
[00:08:13.000 --> 00:08:15.000]  他自己講得很清楚
[00:08:15.000 --> 00:08:16.000]  我就是為了出名
[00:08:16.000 --> 00:08:18.000]  我為了為自己留名
[00:08:18.000 --> 00:08:19.000]  所以每一次要做善事
[00:08:19.000 --> 00:08:20.000]  就一定是
[00:08:20.000 --> 00:08:23.000]  上到新聞頭條我才做的
[00:08:23.000 --> 00:08:26.000]  所以我可以做很多善行出來
[00:08:26.000 --> 00:08:29.000]  但背後的動機未必是因為compassion
[00:08:29.000 --> 00:08:30.000]  compassion一定是
[00:08:30.000 --> 00:08:32.000]  I feel your pain
[00:08:32.000 --> 00:08:34.000]  然後我有衝動
[00:08:34.000 --> 00:08:35.000]  有這樣的感動
[00:08:35.000 --> 00:08:38.000]  去幫你一起承擔你的痛苦
[00:08:38.000 --> 00:08:39.000]  這個叫compassion
[00:08:39.000 --> 00:08:42.000]  所以主耶穌是有compassion的
[00:08:42.000 --> 00:08:45.000]  我記得我們很多年前
[00:08:45.000 --> 00:08:47.000]  我那時候還在中美洲住的時候
[00:08:47.000 --> 00:08:49.000]  有一年有一個很強的颱風
[00:08:49.000 --> 00:08:52.000]  直捲我們住的國家Belize
[00:08:52.000 --> 00:08:56.000]  因為當時的政府就有緊急下令
[00:08:56.000 --> 00:08:57.000]  全部要疏散
[00:08:57.000 --> 00:08:59.000]  我們各自都離開家
[00:08:59.000 --> 00:09:03.000]  我們一群基督徒就去了一個祈禱山上
[00:09:03.000 --> 00:09:05.000]  我們就一起拼命祈禱
[00:09:05.000 --> 00:09:06.000]  颱風不要來
[00:09:06.000 --> 00:09:09.000]  然後我們祈禱了之後
