
[00:00:00.000 --> 00:00:04.180]  最後再一次感謝祢 讓我們有弟兄姊妹
[00:00:04.180 --> 00:00:10.340]  讓我們能夠在不同的階段裏 認識新的朋友
[00:00:10.340 --> 00:00:13.020]  也讓我們能夠在不同的階段裏
[00:00:13.020 --> 00:00:17.880]  在服事的內容當中也有轉變
[00:00:17.880 --> 00:00:20.020]  祈求天父繼續讓我們教會
[00:00:20.020 --> 00:00:24.800]  讓我們個人有新的意象 有新的方向
[00:00:24.800 --> 00:00:29.560]  也讓我們繼續願意帶著感恩 馴服的心
[00:00:29.560 --> 00:00:33.300]  跟隨 感謝天父求祢聽我們祈禱
[00:00:33.300 --> 00:00:35.500]  奉主命求 阿們
[00:00:35.500 --> 00:00:36.300]  弟兄姊妹請坐
[00:00:36.300 --> 00:00:39.080]  我們用掌聲感謝今天三堂的侍奉弟兄姊妹
[00:00:39.080 --> 00:00:42.580]  我們有三堂在那邊 也是不容易的三堂時間
[00:00:42.580 --> 00:00:45.640]  但我們祈求天父繼續讓我們有足夠的精神體力
[00:00:45.640 --> 00:00:48.940]  來服事我們的天父
[00:00:48.940 --> 00:00:52.820]  我們今天繼續去到第二篇講章 關於聖靈的工作
[00:00:52.820 --> 00:00:55.360]  當然我們看回司徒信經那邊
[00:00:55.360 --> 00:00:58.760]  我們看到聖父 看到聖子 看到聖靈
[00:00:58.760 --> 00:01:01.100]  而當我們去到聖靈的時候
[00:01:01.100 --> 00:01:04.300]  我們很多時候都會對聖靈有一種的陌生
[00:01:04.300 --> 00:01:06.340]  我們對耶穌基督我們很熟悉
[00:01:06.340 --> 00:01:09.460]  我們對聖父都可以說很多時候都會提
[00:01:09.460 --> 00:01:11.240]  但一去到聖靈的時候
[00:01:11.240 --> 00:01:13.700]  我們很多時候都會有一種的感覺
[00:01:13.700 --> 00:01:17.680]  好像是無法去觸摸 也都是無法去見到
[00:01:17.680 --> 00:01:19.320]  也都是真實的
[00:01:19.320 --> 00:01:21.520]  耶穌都說我們沒有人見到風
[00:01:21.520 --> 00:01:25.820]  但見到風的果效 聖靈也是如此
[00:01:25.820 --> 00:01:27.420]  我們見不到聖靈
[00:01:27.420 --> 00:01:31.400]  但我們見到聖靈在人的生命裏面的果效
[00:01:31.400 --> 00:01:34.900]  所以每當去到關於聖靈的道的時候
[00:01:34.900 --> 00:01:38.200]  我們都要很謹慎 也都是要回到神的話語
[00:01:38.200 --> 00:01:40.940]  究竟神的話語怎樣去看
[00:01:40.940 --> 00:01:44.700]  我們所信的三一真神的第三位
[00:01:44.700 --> 00:01:47.540]  而在司徒信經裏面的第三部分
[00:01:47.540 --> 00:01:51.120]  也都是講到「我信聖靈」作為開始
[00:01:51.120 --> 00:01:52.720]  而今天去到第二篇的道
[00:01:52.720 --> 00:01:56.560]  我們是會講到「我信聖兒宮的教會」
[00:01:56.560 --> 00:02:00.620]  就是聖靈和教會之間的關係
[00:02:00.620 --> 00:02:02.860]  當然當我們講到教會的時候
[00:02:02.860 --> 00:02:05.100]  我們第一個問題 很多時候會問的
[00:02:05.100 --> 00:02:08.360]  究竟教會 所謂有形的教會
[00:02:08.360 --> 00:02:11.940]  是何時真是在地上被建立
[00:02:11.940 --> 00:02:15.180]  究竟神何時建立地上的教會
[00:02:15.180 --> 00:02:18.140]  當然如果看回聖經 看回不同的學者
[00:02:18.140 --> 00:02:20.340]  的而且確有不同的說法
[00:02:20.340 --> 00:02:22.840]  有人會說其實在舊約裏面
[00:02:22.840 --> 00:02:24.480]  其實已經有教會的
[00:02:24.480 --> 00:02:26.920]  因為在舊約裏面有個希伯格文有個字
[00:02:26.920 --> 00:02:28.260]  叫加海的字
[00:02:28.260 --> 00:02:32.020]  這個字如果翻譯到希臘文的時候
[00:02:32.020 --> 00:02:34.760]  用了一個希臘文的字就是Ecclesia
[00:02:34.760 --> 00:02:37.560]  Ecclesia這個字其實在新約聖經
[00:02:37.560 --> 00:02:39.560]  是出現過很多次
[00:02:39.560 --> 00:02:44.060]  而大部分的翻譯都是翻譯成教會
[00:02:44.060 --> 00:02:48.600]  或者是都是以翻譯為教會為主的
[00:02:48.600 --> 00:02:51.300]  所以當我們看回這個Ecclesia這個字的時候
[00:02:51.300 --> 00:02:53.980]  去翻譯了舊約這個加海這個字
[00:02:53.980 --> 00:02:55.920]  很多人就說其實舊約
[00:02:55.920 --> 00:02:59.080]  都有可能已經有教會的存在
[00:02:59.080 --> 00:03:02.120]  但另一方面當我們看回新約這個希臘文
[00:03:02.120 --> 00:03:03.760]  這個Ecclesia這個字
