
[00:00:00.000 --> 00:00:02.560]  今天我們談到的題目就是
[00:00:02.560 --> 00:00:04.800]  一人做事一人當
[00:00:04.800 --> 00:00:07.600]  背後最後有一個問號
[00:00:07.600 --> 00:00:11.320]  究竟是不是一人做事一人當
[00:00:11.320 --> 00:00:12.920]  很多時候我們很勇敢
[00:00:12.920 --> 00:00:15.000]  我做的 是我做的
[00:00:15.000 --> 00:00:17.600]  我要一人做事一人當
[00:00:17.600 --> 00:00:20.800]  我坐牢 是我一人做事一人當
[00:00:20.800 --> 00:00:22.880]  我的婚姻不好 我離婚
[00:00:22.880 --> 00:00:24.640]  我一人做事一人當
[00:00:24.640 --> 00:00:26.960]  我們經常都會帶著一種觀點
[00:00:26.960 --> 00:00:30.960]  就是我所做的事 我一個人去承擔一切
[00:00:30.960 --> 00:00:33.960]  當然這句話是不是完全是真的
[00:00:33.960 --> 00:00:35.600]  是值得我們去商榷
[00:00:35.600 --> 00:00:37.120]  就是因為我們很深信
[00:00:37.120 --> 00:00:38.840]  其實每一件事情的發生
[00:00:38.840 --> 00:00:40.760]  在我們自己身上
[00:00:40.760 --> 00:00:44.920]  其實都是會影響我們身邊的人
[00:00:44.920 --> 00:00:47.040]  並不是這麼單純就是說
[00:00:47.040 --> 00:00:49.680]  我能夠一人做事一人當
[00:00:49.680 --> 00:00:50.760]  我們星期三晚
[00:00:50.760 --> 00:00:53.480]  我們有一班有電影節目去分享見證的時候
[00:00:53.480 --> 00:00:58.320]  特別講到他們是服侍一班在懲教署那邊
[00:00:58.320 --> 00:00:59.880]  在囚的囚友
[00:00:59.880 --> 00:01:01.520]  他們過去十多年那邊
[00:01:01.520 --> 00:01:03.560]  他們去探訪一些囚友
[00:01:03.560 --> 00:01:07.200]  他們發覺其實很多時候在過程當中
[00:01:07.200 --> 00:01:10.760]  其實他們在懲教署那邊坐牢
[00:01:10.760 --> 00:01:12.320]  但是他們的家人
[00:01:12.320 --> 00:01:15.560]  其實都是面對很大的憂傷
[00:01:15.560 --> 00:01:17.920]  所以是不是真的一人做事一人當
[00:01:17.920 --> 00:01:18.840]  這麼單純
[00:01:18.840 --> 00:01:21.280]  當然今天去到第五章
[00:01:21.280 --> 00:01:22.880]  由十二節到二十一節
[00:01:22.880 --> 00:01:24.360]  我為什麼選這個題目
[00:01:24.360 --> 00:01:27.160]  就是因為保羅其實由第一章開始
[00:01:27.160 --> 00:01:28.320]  去到第五章
[00:01:28.320 --> 00:01:31.160]  其實他一直在講四個字
[00:01:31.160 --> 00:01:33.800]  這四個字就是叫做「恩、信、清、義」
[00:01:33.800 --> 00:01:35.440]  是不斷在講「恩、信、清、義」
[00:01:35.440 --> 00:01:36.640]  其實對我們來說
[00:01:36.640 --> 00:01:38.600]  我們一班的信徒來說
[00:01:38.600 --> 00:01:41.040]  我們覺得「恩、信、清、義」其實很簡單
[00:01:41.040 --> 00:01:42.640]  過去已經講了很多次
[00:01:42.640 --> 00:01:43.760]  我們信
[00:01:43.760 --> 00:01:45.320]  我們只要信神
[00:01:45.320 --> 00:01:46.520]  信救恩
[00:01:46.520 --> 00:01:47.360]  我們信神
[00:01:47.360 --> 00:01:49.000]  耶穌基督所作的一切
[00:01:49.000 --> 00:01:51.600]  神就稱我們為義
[00:01:51.600 --> 00:01:52.520]  就是這麼簡單
[00:01:52.520 --> 00:01:54.160]  就算是舊約的阿巴拉罕
[00:01:54.160 --> 00:01:55.120]  都是一樣
[00:01:55.120 --> 00:01:56.440]  他所作的事情
[00:01:56.440 --> 00:01:57.280]  在神的面前
[00:01:57.280 --> 00:01:58.200]  他信神
[00:01:58.200 --> 00:01:59.640]  神就稱他為義
[00:01:59.640 --> 00:02:00.640]  就是很簡單
[00:02:00.640 --> 00:02:02.560]  甚至我們讀聖經的時候
[00:02:02.560 --> 00:02:05.080]  去到第三章第二十三節
[00:02:05.080 --> 00:02:06.000]  我們說
[00:02:06.000 --> 00:02:08.640]  世人都犯了罪
[00:02:08.640 --> 00:02:11.160]  規決了神的榮耀
[00:02:11.160 --> 00:02:12.920]  我們是很相信的
[00:02:12.920 --> 00:02:13.720]  世人都犯了罪
[00:02:13.720 --> 00:02:15.200]  我們又不會問為什麼
[00:02:15.200 --> 00:02:16.280]  我們世人都犯了罪
[00:02:16.280 --> 00:02:17.720]  就因為我們世人都有罪
[00:02:17.720 --> 00:02:18.760]  你問隔壁有沒有罪
[00:02:18.760 --> 00:02:19.880]  我們都有罪
[00:02:19.880 --> 00:02:21.640]  所以我們又很明白
[00:02:21.640 --> 00:02:23.080]  而去到第六章第二十三節
[00:02:23.080 --> 00:02:24.080]  我們又會很明白
[00:02:24.080 --> 00:02:26.120]  罪的功架乃是死
[00:02:26.120 --> 00:02:27.760]  所以變成我們人生裡面
[00:02:27.760 --> 00:02:30.360]  我們一定會面對死亡
[00:02:30.360 --> 00:02:31.080]  為什麼呢?
[00:02:31.080 --> 00:02:32.280]  就是因為我們有罪
[00:02:32.280 --> 00:02:33.840]  但我們從來不會過問
[00:02:33.840 --> 00:02:36.280]  為什麼世人都犯了罪
[00:02:36.280 --> 00:02:37.160]  而今天
[00:02:37.160 --> 00:02:38.560]  保羅去到第五章
[00:02:38.560 --> 00:02:39.480]  去到十二節
[00:02:39.480 --> 00:02:40.320]  去到二十一節
[00:02:40.320 --> 00:02:42.960]  其實保羅很想我們明白
[00:02:42.960 --> 00:02:45.320]  為什麼世人都犯了罪
[00:02:45.320 --> 00:02:47.240]  以致他用這段聖經
[00:02:47.240 --> 00:02:49.640]  他作一個比較
[00:02:49.640 --> 00:02:53.560]  他比較兩個所謂人物
[00:02:53.560 --> 00:02:55.560]  一個就是阿當
[00:02:55.560 --> 00:02:57.720]  神所造的第一個人
[00:02:57.720 --> 00:02:58.720]  叫做阿當
[00:02:58.720 --> 00:03:01.400]  接著他就比較第二個人
[00:03:01.400 --> 00:03:03.200]  在我們觀點面的第二個人
[00:03:03.200 --> 00:03:04.280]  就是耶穌
[00:03:04.280 --> 00:03:07.000]  就是耶穌在保羅的口中
[00:03:07.000 --> 00:03:09.520]  祂是幕後的阿當
[00:03:09.520 --> 00:03:13.240]  就是說在保羅的眼中的兩個阿當
[00:03:13.240 --> 00:03:15.000]  來作一個比較
[00:03:15.000 --> 00:03:16.800]  幫助我們去詮釋
[00:03:16.800 --> 00:03:20.680]  去明白為什麼世人都犯了罪
[00:03:20.680 --> 00:03:23.480]  今天我就嘗試和大家去分析
[00:03:23.480 --> 00:03:24.840]  一個在神學上
[00:03:24.840 --> 00:03:26.360]  其實有很多的爭拗
[00:03:26.360 --> 00:03:28.360]  我只是希望用更多的
[00:03:28.360 --> 00:03:30.960]  你和我明白的一些口吻
[00:03:30.960 --> 00:03:33.200]  或者一些說法
[00:03:33.200 --> 00:03:35.560]  讓你和我都能夠明白
[00:03:35.560 --> 00:03:36.480]  所以跟隔壁說
[00:03:36.480 --> 00:03:38.400]  我們應該明白的
[00:03:38.400 --> 00:03:39.280]  我希望大家明白
