
[00:00:00.000 --> 00:00:02.000]  靜止回平安
[00:00:02.000 --> 00:00:05.000]  感恩今天可以一齊去崇拜
[00:00:05.000 --> 00:00:07.000]  剛才唱了一首詩歌
[00:00:07.000 --> 00:00:11.000]  非勢力非才能乃是靠神的靈方能成事
[00:00:11.000 --> 00:00:13.000]  我記得在成長的時候
[00:00:13.000 --> 00:00:15.000]  每一次當教會發展的時候
[00:00:15.000 --> 00:00:17.000]  都是唱這首詩歌
[00:00:17.000 --> 00:00:19.000]  其實不是靠我們有什麼可誇的地方
[00:00:19.000 --> 00:00:22.000]  是靠神的靈方能成事
[00:00:22.000 --> 00:00:25.000]  今早我相信大家回來崇拜
[00:00:25.000 --> 00:00:27.000]  都是一件很不簡單的事
[00:00:27.000 --> 00:00:29.000]  今早出門的時候
[00:00:29.000 --> 00:00:31.000]  我都知道洪雨
[00:00:31.000 --> 00:00:33.000]  下雨下得很厲害
[00:00:33.000 --> 00:00:36.000]  逛逛街我和我太太聊聊天
[00:00:36.000 --> 00:00:38.000]  她都知道我一定會回來
[00:00:38.000 --> 00:00:39.000]  不過我太太就問
[00:00:39.000 --> 00:00:42.000]  其實下這麼大雨
[00:00:42.000 --> 00:00:44.000]  怎樣你才不用回來呢
[00:00:44.000 --> 00:00:47.000]  我說我想怎樣都要回來
[00:00:47.000 --> 00:00:49.000]  除非昨天水浸到像觀塘一樣
[00:00:49.000 --> 00:00:50.000]  浸到半輛車
[00:00:50.000 --> 00:00:51.000]  我車都搭不到
[00:00:51.000 --> 00:00:53.000]  我就可能打個電話給吳牧師
[00:00:53.000 --> 00:00:54.000]  回不來了
[00:00:54.000 --> 00:00:56.000]  吳牧師你走回來你講道
[00:00:56.000 --> 00:00:58.000]  如果不是怎樣都要回來
[00:00:58.000 --> 00:01:00.000]  然後我到樓下
[00:01:00.000 --> 00:01:03.000]  我看到一個很特別的圖畫
[00:01:03.000 --> 00:01:06.000]  我看到下雨已經是洪雨
[00:01:06.000 --> 00:01:08.000]  我看到有個人拿著兩個啞鈴
[00:01:08.000 --> 00:01:10.000]  在地上跑步
[00:01:10.000 --> 00:01:12.000]  我就覺得奇景
[00:01:12.000 --> 00:01:14.000]  我們面對著大雨
[00:01:14.000 --> 00:01:16.000]  拿雨傘都很困難
[00:01:16.000 --> 00:01:17.000]  當然有一些平台
[00:01:17.000 --> 00:01:18.000]  有啞傘頭的地方
[00:01:18.000 --> 00:01:20.000]  他就拿著兩個啞鈴
[00:01:20.000 --> 00:01:22.000]  繼續堅持跑步
[00:01:22.000 --> 00:01:24.000]  我看見很重要
[00:01:24.000 --> 00:01:29.000]  他的心態當他要去面對那種挑戰的時候
[00:01:29.000 --> 00:01:33.000]  他就勝過環境裏面一切的限制和難阻
[00:01:33.000 --> 00:01:35.000]  讓他同心去祈禱
[00:01:35.000 --> 00:01:38.000]  聖人主耶穌我們感謝祢讓我們一起去敬拜
[00:01:38.000 --> 00:01:40.000]  感謝祢在我們中間
[00:01:40.000 --> 00:01:43.000]  讓我們能夠在祢面前去等候祢自己
[00:01:43.000 --> 00:01:45.000]  求祢聖靈親自去引導我們
[00:01:45.000 --> 00:01:48.000]  讓我們去明白祢的說話
[00:01:48.000 --> 00:01:49.000]  開我們的心
[00:01:49.000 --> 00:01:51.000]  讓我們將整個敬拜獻給祢
[00:01:51.000 --> 00:01:52.000]  求祢圓滿
[00:01:52.000 --> 00:01:54.000]  感謝你聽我們祈禱
[00:01:54.000 --> 00:01:56.000]  奉著耶穌的命求
[00:01:56.000 --> 00:01:58.000]  今天想和大家分享主題
[00:01:58.000 --> 00:01:59.000]  「只管講」
[00:01:59.000 --> 00:02:01.000]  司徒行傳十八章一至二十八節
[00:02:01.000 --> 00:02:06.000]  整段經文是保羅在第三節宣教旅程裏的一個片段
[00:02:06.000 --> 00:02:08.000]  第九第十節
[00:02:08.000 --> 00:02:13.000]  「跨夜裡主席住意上對保羅說
[00:02:13.000 --> 00:02:15.000]  不要怕,只管講
[00:02:15.000 --> 00:02:17.000]  不要沉默,因為我與你同在
[00:02:17.000 --> 00:02:20.000]  沒有人會下手傷害你
[00:02:20.000 --> 00:02:24.000]  因為在這城裡有許多屬我的民」
[00:02:24.000 --> 00:02:27.000]  其實透過意象去鼓勵保羅
[00:02:27.000 --> 00:02:28.000]  其實你不用怕,只管講
[00:02:28.000 --> 00:02:29.000]  放膽講
[00:02:29.000 --> 00:02:32.000]  和本裏面的譯法就是
[00:02:32.000 --> 00:02:34.000]  不要閉口,即是不要收口
[00:02:34.000 --> 00:02:35.000]  繼續講
[00:02:35.000 --> 00:02:36.000]  只管講
[00:02:36.000 --> 00:02:38.000]  不要怕
[00:02:38.000 --> 00:02:39.000]  不要收口
[00:02:39.000 --> 00:02:40.000]  放膽地講
[00:02:40.000 --> 00:02:42.000]  原因是什麼呢?
[00:02:42.000 --> 00:02:44.000]  因為神與我們同在
[00:02:44.000 --> 00:02:45.000]  我們只管講
[00:02:45.000 --> 00:02:48.000]  沒有人會加害於你
[00:02:48.000 --> 00:02:49.000]  沒有人會害到你的
[00:02:49.000 --> 00:02:51.000]  你可以放心只管講
[00:02:51.000 --> 00:02:54.000]  因為城裏面依然有許多屬於我的子民
[00:02:54.000 --> 00:02:55.000]  屬於我的百姓
[00:02:55.000 --> 00:02:56.000]  他們依然需要福音
[00:02:56.000 --> 00:02:57.000]  需要救恩
[00:02:57.000 --> 00:02:58.000]  所以你只管講
[00:02:58.000 --> 00:03:01.000]  所以裏面透過這段說話去鼓勵保羅
[00:03:01.000 --> 00:03:03.000]  即是你放膽繼續去講
[00:03:03.000 --> 00:03:04.000]  不要收聲
[00:03:04.000 --> 00:03:05.000]  不要收口
[00:03:05.000 --> 00:03:06.000]  不講
[00:03:06.000 --> 00:03:07.000]  神會與你同在
[00:03:07.000 --> 00:03:09.000]  面對多少的困難
[00:03:09.000 --> 00:03:10.000]  神會與你在一起
[00:03:10.000 --> 00:03:12.000]  那些百姓仍然需要福音
[00:03:12.000 --> 00:03:13.000]  需要救恩
[00:03:13.000 --> 00:03:15.000]  所以你只管講
[00:03:15.000 --> 00:03:17.000]  透過這段經文
[00:03:17.000 --> 00:03:19.000]  跟大家分享只管講三個態度
[00:03:19.000 --> 00:03:21.000]  第一個態度
[00:03:21.000 --> 00:03:23.000]  無論結果都要只管講
