
[00:00:00.000 --> 00:00:04.600]  這套卡通片,大人小孩都喜歡看
[00:00:04.600 --> 00:00:08.520]  我看了第一集,他現在出了第三集
[00:00:08.520 --> 00:00:14.440]  這套卡通片講述一個discoverer man叫做Groove
[00:00:14.440 --> 00:00:18.800]  這個人很卑鄙,很涼薄
[00:00:18.800 --> 00:00:22.320]  專門找小孩開玩笑
[00:00:22.320 --> 00:00:27.440]  但他竟然領悟了三個小女孩
[00:00:27.440 --> 00:00:29.520]  這套電影第一集我記得
[00:00:29.520 --> 00:00:32.360]  這三個小女孩很可愛
[00:00:32.360 --> 00:00:38.920]  最後竟然將這個卑鄙涼薄的人
[00:00:38.920 --> 00:00:43.200]  變成一個愈來愈有人情味的養父
[00:00:43.200 --> 00:00:46.120]  是不是這樣?應該是這樣
[00:00:46.120 --> 00:00:51.080]  大家在教會聽過我講過好幾次
[00:00:51.080 --> 00:00:53.880]  其實我們都是被領養的
[00:00:53.880 --> 00:00:55.720]  信耶穌的人
[00:00:55.720 --> 00:00:58.120]  我們跟上帝本來沒有關係
[00:00:58.120 --> 00:00:59.880]  我們又不認識他,他又不認識我們
[00:00:59.880 --> 00:01:02.440]  但是因為信對愛的緣故
[00:01:02.440 --> 00:01:05.400]  他用一個超重的代價
[00:01:05.400 --> 00:01:06.240]  是甚麼?
[00:01:06.240 --> 00:01:07.320]  是耶穌的命
[00:01:07.320 --> 00:01:09.000]  耶穌是誰?是祂的徒弟
[00:01:09.000 --> 00:01:11.160]  祂的徒弟,耶穌的命
[00:01:11.160 --> 00:01:12.840]  埋屬了我們
[00:01:12.840 --> 00:01:14.640]  然後adopt了我們
[00:01:14.640 --> 00:01:17.680]  成為上帝的養子養女
[00:01:17.680 --> 00:01:19.440]  所以信耶穌的人
[00:01:19.440 --> 00:01:21.240]  姜濤就叫天父上帝
[00:01:21.240 --> 00:01:23.640]  我們叫阿爸,天父
[00:01:23.640 --> 00:01:26.360]  不只是叫上帝,叫神
[00:01:26.360 --> 00:01:28.720]  好像很distant,好像有距離
[00:01:28.720 --> 00:01:31.000]  不是的,原來我們可以跟上帝很親密的
[00:01:31.000 --> 00:01:32.360]  叫天父阿爸
[00:01:32.360 --> 00:01:34.600]  我們祈禱的時候是這樣叫祂的
[00:01:34.600 --> 00:01:36.880]  是不是?是,感謝祂
[00:01:36.880 --> 00:01:42.040]  因為我們跟上帝建立了一個很緊密的關係
[00:01:42.040 --> 00:01:44.920]  天父阿爸,天父上帝
[00:01:44.920 --> 00:01:49.200]  跟我們在地上的父親、母親當然不同
[00:01:49.200 --> 00:01:51.120]  為甚麼?有甚麼不同?
[00:01:51.120 --> 00:01:52.840]  一個在天,一個在地
