
[00:00:00.000 --> 00:00:04.420]  今日的題目是「逆中求平安」
[00:00:04.420 --> 00:00:07.520]  這個題目是過去幾個月
[00:00:07.520 --> 00:00:09.160]  有機會講報道會
[00:00:09.160 --> 00:00:10.640]  他們都叫我講
[00:00:10.640 --> 00:00:13.840]  我想我們很需要平安
[00:00:13.840 --> 00:00:16.240]  保險界、工程界
[00:00:16.240 --> 00:00:17.800]  都在問這個問題
[00:00:17.800 --> 00:00:18.720]  什麼叫平安呢?
[00:00:18.720 --> 00:00:20.080]  看看Dictionary
[00:00:20.080 --> 00:00:21.760]  Webster Dictionary
[00:00:21.760 --> 00:00:23.760]  平安就是平靜
[00:00:23.760 --> 00:00:25.280]  沒有動亂
[00:00:25.280 --> 00:00:26.480]  很安全
[00:00:26.480 --> 00:00:28.480]  大家有安全距離
[00:00:28.480 --> 00:00:30.480]  同福真是很守規矩
[00:00:30.480 --> 00:00:32.480]  真是隔軌
[00:00:32.480 --> 00:00:34.800]  全部按照規矩
[00:00:34.800 --> 00:00:38.240]  因為我去有些沒有
[00:00:38.240 --> 00:00:40.880]  人際間的和諧
[00:00:40.880 --> 00:00:42.240]  祈求的祝福
[00:00:42.240 --> 00:00:44.480]  我們會跟別人說Shalom
[00:00:44.480 --> 00:00:46.480]  不過最聰明的都是中國人
[00:00:46.480 --> 00:00:48.480]  中國人六個字搞定了
[00:00:48.480 --> 00:00:50.080]  平安是什麼呢?
[00:00:50.080 --> 00:00:54.880]  天時、地利、人和
[00:00:54.880 --> 00:00:58.880]  看看天時
[00:00:58.880 --> 00:01:02.400]  疫情天有不測之風雲
[00:01:02.400 --> 00:01:04.400]  很多人問我們
[00:01:04.400 --> 00:01:07.040]  什麼時候會完我當然不知道
[00:01:07.040 --> 00:01:09.760]  接著的問題是打不打第三針
[00:01:09.760 --> 00:01:12.320]  因為我們同學都是那個年紀
[00:01:12.320 --> 00:01:15.040]  打不打第三針?
[00:01:15.040 --> 00:01:17.440]  你們都未夠年齡不要回答我
[00:01:17.440 --> 00:01:18.640]  打不打?
[00:01:18.640 --> 00:01:20.640]  打,我打的
[00:01:20.640 --> 00:01:23.680]  你打我打
[00:01:23.680 --> 00:01:27.040]  另外天時有些好消息
[00:01:27.040 --> 00:01:29.920]  奧運、全運會
[00:01:29.920 --> 00:01:32.080]  努力有成果
[00:01:32.080 --> 00:01:34.080]  地利呢?
[00:01:34.080 --> 00:01:37.680]  移民、退學
[00:01:37.680 --> 00:01:40.560]  我們都一定有個朋友移了民
[00:01:40.560 --> 00:01:42.080]  不用舉手個個都有
