
[00:00:00.000 --> 00:00:02.000]  早安各位兄弟姊妹
[00:00:02.000 --> 00:00:08.340]  我小時候在家裡沒有人看著我們
[00:00:08.340 --> 00:00:13.140]  偷偷打開電視看雨場片
[00:00:13.140 --> 00:00:16.340]  看那些雨場片如恐怖片那怎麼辦呢
[00:00:16.340 --> 00:00:19.740]  就躲在家裡的衣櫃裡關上門
[00:00:19.740 --> 00:00:21.100]  很安全
[00:00:21.100 --> 00:00:24.040]  衣櫃門有一條縫
[00:00:24.040 --> 00:00:27.140]  看出去有沒有危險呢
[00:00:27.140 --> 00:00:29.140]  等一會兒我才出來
[00:00:29.140 --> 00:00:34.140]  這個小時候遇到恐懼的時候
[00:00:34.140 --> 00:00:36.140]  我們可能會這樣做
[00:00:36.140 --> 00:00:39.940]  今天跟大家分享基甸這個人物的故事
[00:00:39.940 --> 00:00:41.640]  我不知道你們是否熟悉
[00:00:41.640 --> 00:00:46.140]  一開始講基甸神去呼召請救以色列人
[00:00:46.140 --> 00:00:48.140]  神去叫他的時候在做什麼呢
[00:00:48.140 --> 00:00:52.140]  在酒渣裡打墨水
[00:00:52.140 --> 00:00:53.140]  什麼叫酒渣呢
[00:00:53.140 --> 00:00:58.140]  其實酒渣就好像在地上挖一個洞
[00:00:58.140 --> 00:01:00.140]  在洞裡打
[00:01:00.140 --> 00:01:03.140]  不是我們那些洋酒廠
[00:01:03.140 --> 00:01:07.140]  為什麼基甸當時神去呼召的時候
[00:01:07.140 --> 00:01:11.140]  在洞裡打墨水呢
[00:01:11.140 --> 00:01:15.140]  因為他代表當時的以色列人是很害怕
[00:01:15.140 --> 00:01:20.140]  因為在《史詩記》這本書緊接著《約書亞記》
[00:01:20.140 --> 00:01:22.140]  《約書亞記》是給我們看完後
[00:01:22.140 --> 00:01:24.140]  大家很得到鼓勵的
[00:01:24.140 --> 00:01:27.140]  因為《約書亞》加拿大他們都很有勇氣
[00:01:27.140 --> 00:01:29.140]  信心的勇士
[00:01:29.140 --> 00:01:32.140]  但是一轉到《史詩記》的時候
[00:01:32.140 --> 00:01:37.140]  就發覺大部份以色列人都是一個什麼
[00:01:37.140 --> 00:01:40.140]  有一句說話重複了七次在《史詩記》裡面
[00:01:40.140 --> 00:01:44.140]  就是以色列人行耶和華眼中看為惡的事
[00:01:44.140 --> 00:01:48.140]  就是說有一幫很有勇氣的信心的勇士
[00:01:48.140 --> 00:01:50.140]  在《約書亞記》再去到《史詩記》的時候
[00:01:50.140 --> 00:01:52.140]  全部都掉了鍋
[00:01:52.140 --> 00:01:57.140]  全部以色列人就已經忘記了在《約書亞》時代
[00:01:57.140 --> 00:02:00.140]  那種的經歷 忘記了耶和華
[00:02:00.140 --> 00:02:04.140]  當神去呼召基甸的時候
[00:02:04.140 --> 00:02:08.140]  在洞裡打墨水是代表他當時很害怕
[00:02:08.140 --> 00:02:13.140]  因為其實當時的以色列人都走上山裡面挖個洞躲起來
[00:02:13.140 --> 00:02:17.140]  不想讓米甸人和其他人去找他們出來
[00:02:17.140 --> 00:02:20.140]  所以這個場景告訴我們
[00:02:20.140 --> 00:02:24.140]  當時的以色列人是處於驚慌失措
[00:02:24.140 --> 00:02:30.140]  還有很怕有外邦人去侵略他們
[00:02:30.140 --> 00:02:35.140]  超越楊毛的信心是講剛才讀的經文
[00:02:35.140 --> 00:02:42.140]  就是基甸想從耶和華得到一個確鑿的證據
[00:02:42.140 --> 00:02:45.140]  喂 神啊 我是濕碎料而已
[00:02:45.140 --> 00:02:49.140]  我在打墨水 無端端你派個使者來找我
[00:02:49.140 --> 00:02:52.140]  然後叫我說 你去拯救以色列
