
[00:00:00.000 --> 00:00:03.860]  我想問問大家,有沒有人曾經對你這樣說?
[00:00:03.860 --> 00:00:06.520]  「你好像你爸爸」
[00:00:06.520 --> 00:00:07.920]  有沒有?
[00:00:07.920 --> 00:00:12.600]  無論是展會弟兄都可以回答,因為「好像爸爸」
[00:00:12.600 --> 00:00:13.600]  有沒有?
[00:00:13.600 --> 00:00:15.000]  有吧?
[00:00:15.000 --> 00:00:16.080]  那像甚麼呢?
[00:00:16.080 --> 00:00:17.520]  像樣貌吧
[00:00:17.520 --> 00:00:20.080]  有些人當然會說「樣貌很像」
[00:00:20.080 --> 00:00:22.720]  或者有時未必是說樣貌
[00:00:22.720 --> 00:00:24.120]  可能是說
[00:00:24.120 --> 00:00:27.560]  「你很像你爸爸做事的作風」
[00:00:27.560 --> 00:00:30.120]  「很有你爸爸的風範」
[00:00:30.120 --> 00:00:33.760]  或者跟你說「你好像你爸爸」
[00:00:33.760 --> 00:00:37.480]  都讓人覺得你好像長大成人了
[00:00:37.480 --> 00:00:41.720]  開始有一個父親的風範在裡面
[00:00:41.720 --> 00:00:44.640]  記得有一次有人問耶穌
[00:00:44.640 --> 00:00:47.080]  「耶穌,你爸爸是怎樣的?」
[00:00:47.080 --> 00:00:49.120]  耶穌就說
[00:00:49.120 --> 00:00:53.200]  「人看見我,就是看見我爸爸的」
[00:00:53.200 --> 00:00:58.280]  當然,主耶穌解釋的意思是
[00:00:58.280 --> 00:01:01.280]  祂已經是天父的代表
[00:01:01.280 --> 00:01:05.480]  祂來到這個世界裡面,活出天父的形象
[00:01:05.480 --> 00:01:07.400]  更加邀請我們
[00:01:07.400 --> 00:01:11.080]  都同樣可以認識這位天父
[00:01:11.080 --> 00:01:14.480]  同樣也可以活出這位天父的形象
[00:01:14.480 --> 00:01:17.440]  就像我們剛才讀啟稟經文裡面也說
[00:01:17.440 --> 00:01:19.600]  耶穌說「你們要完全」
[00:01:19.600 --> 00:01:21.960]  「跟我天父完全一樣」
[00:01:21.960 --> 00:01:26.400]  所以主耶穌基督也是在一路的教導裡面
[00:01:26.400 --> 00:01:29.200]  祂活現天父的形象
[00:01:29.200 --> 00:01:33.640]  同時也盼望我們能夠去體會
[00:01:33.640 --> 00:01:35.720]  同時也能夠去活出
[00:01:35.720 --> 00:01:39.320]  所以今天這個講題
[00:01:39.320 --> 00:01:42.120]  我們叫做「成為父親」
[00:01:42.120 --> 00:01:46.040]  無論你是否已經成為人的父母親也好
[00:01:46.040 --> 00:01:49.400]  一同學習這個屬靈的功課
