
[00:00:00.000 --> 00:00:06.000]  各位姐妹平安,非常高興今天能在這裡跟大家分享神的話語
[00:00:06.000 --> 00:00:11.000]  雖然我們不能實體回到沙中這個地方一起敬拜神
[00:00:11.000 --> 00:00:16.000]  但我們仍然要感恩,因為我們仍然可以在家裡敬拜神
[00:00:16.000 --> 00:00:22.000]  現在透過電腦或手機看到崇拜的錄播
[00:00:22.000 --> 00:00:25.000]  相信我們是同感一靈,來敬拜天父
[00:00:25.000 --> 00:00:31.000]  透過神的話語,神的詩歌等等給我們有激勵,有指引
[00:00:31.000 --> 00:00:35.000]  我們來看看我們今天跟你分享的題目
[00:00:35.000 --> 00:00:39.000]  我給了一個名字,也有點長,不過還可以,我們一起來試試讀
[00:00:39.000 --> 00:00:43.000]  「主熬煉我如橄欖成油」
[00:00:43.000 --> 00:00:44.000]  再來一次
[00:00:44.000 --> 00:00:48.000]  「主熬煉我如橄欖成油」
[00:00:48.000 --> 00:00:52.000]  我們這個世代,現代人非常注重健康
[00:00:52.000 --> 00:00:57.000]  我們會細心挑選食材和烹調用品
[00:00:57.000 --> 00:01:00.000]  最基本的要求就是三低
[00:01:00.000 --> 00:01:04.000]  低糖、低鹽和低油
[00:01:04.000 --> 00:01:08.000]  提到油,其實越來越多人選擇橄欖油
[00:01:08.000 --> 00:01:13.000]  因為橄欖油的確比較健康
[00:01:13.000 --> 00:01:16.000]  我們看看今天這段經文
[00:01:16.000 --> 00:01:21.000]  我們讀一讀《出埃及記》第27章20-21節
[00:01:21.000 --> 00:01:24.000]  這段經文也和橄欖油很有關係
[00:01:24.000 --> 00:01:28.000]  我們從今天這篇講道,從聖經的話語當中
[00:01:28.000 --> 00:01:33.000]  我們去了解明白,從聖經的角度怎樣看橄欖油
[00:01:33.000 --> 00:01:37.000]  除了食物之外,原來有更加重要的用途
[00:01:37.000 --> 00:01:39.000]  我們先來看看這段經文,一起來讀
[00:01:39.000 --> 00:01:44.000]  《出埃及記》第27章20-21節,特別留意紅色的字
[00:01:44.000 --> 00:01:46.000]  我們一起來讀,第20節開始
[00:01:46.000 --> 00:01:52.000]  你要吩咐以色列人,把島城的純橄欖油拿來給你
[00:01:52.000 --> 00:01:55.000]  用以點燈,使燈經常點著
[00:01:55.000 --> 00:01:58.000]  在會幕中發慰前的晚子外
[00:01:58.000 --> 00:02:02.000]  阿倫和他的兒子要從晚上到早晨
[00:02:02.000 --> 00:02:06.000]  在耶和華面前照管這燈
[00:02:06.000 --> 00:02:11.000]  這要成為以色列人世世代代永遠的定例
[00:02:11.000 --> 00:02:13.000]  紅色那部分特別說到
[00:02:13.000 --> 00:02:23.000]  你要吩咐以色列人,把島城摔碎的純橄欖油拿來給你
[00:02:23.000 --> 00:02:27.000]  用以點燈,使燈經常點著
[00:02:27.000 --> 00:02:32.000]  我們明白這是舊約的要求
[00:02:32.000 --> 00:02:43.000]  對照管舊約的燈,負責的人有這樣的要求
[00:02:43.000 --> 00:02:46.000]  什麼是純橄欖油?一會兒我們會說到
[00:02:46.000 --> 00:02:49.000]  用純橄欖油來點燈
[00:02:49.000 --> 00:02:52.000]  還有一個特徵,一個重要的條件
[00:02:52.000 --> 00:02:55.000]  就是這個燈要經常點著,不可以熄的
[00:02:55.000 --> 00:02:58.000]  究竟為什麼?一會兒我們慢慢說
[00:02:58.000 --> 00:03:01.000]  我們先看看什麼是純橄欖油
[00:03:01.000 --> 00:03:04.000]  如果你看另外一些翻譯版本
[00:03:04.000 --> 00:03:11.000]  它會譯作「清橄欖油」或者叫「pure olive oil」
[00:03:11.000 --> 00:03:14.000]  即是純的,沒有雜質的
[00:03:14.000 --> 00:03:17.000]  為什麼呢?原來以色列人
[00:03:17.000 --> 00:03:19.000]  以前的以色列人在日常生活當中
[00:03:19.000 --> 00:03:27.000]  他們用的油是用橄欖樹的果子、葉子和枝子一起搗成的
[00:03:27.000 --> 00:03:30.000]  所以品質較為差,因為有很多雜質在裡面
[00:03:30.000 --> 00:03:33.000]  除了果子之外,還有葉子和枝子
[00:03:33.000 --> 00:03:36.000]  可能會比較骯髒,或者品質不太好
[00:03:36.000 --> 00:03:41.000]  但是純橄欖油只是用橄欖樹的果子搗成
[00:03:41.000 --> 00:03:48.000]  所以品質是上乘,沒有雜質是最佳的點燈用油
[00:03:48.000 --> 00:03:56.000]  因為這個緣故,我們不如一次過看完油的種類和用途
