
[00:00:00.000 --> 00:00:11.000]  早上早上,我們剛讀過的經文都告訴他,是一個坐監的故事。
[00:00:11.000 --> 00:00:21.000]  在監獄當中發生了一些事情,使使徒彼得得到釋放。
[00:00:21.000 --> 00:00:29.000]  這件事令我想起很多年前很多年前,曾經有一套電視劇。
[00:00:29.000 --> 00:00:32.000]  這個電視劇叫做「Prison Break」。
[00:00:32.000 --> 00:00:38.000]  我相信當中可能有很多人都看過,因為當時我自己都在香港。
[00:00:38.000 --> 00:00:45.000]  可能當中很多在香港的電影姊妹,尤其是我差不多年紀了,
[00:00:45.000 --> 00:00:49.000]  應該都看過,就算是年輕的,都會看過。
[00:00:49.000 --> 00:00:57.000]  這個其實是一個吸引很多觀眾的電視劇。
[00:00:57.000 --> 00:01:06.000]  據說這個電視劇在很多地方,不止在香港,都有相當高的收視率。
[00:01:06.000 --> 00:01:10.000]  有很多人都很喜歡看,看到緊張之處。
[00:01:10.000 --> 00:01:18.000]  你知道每天一集都好,看到緊張之處又要等第二天,終於忍不住了。
[00:01:18.000 --> 00:01:26.000]  在市場買了DVD,放在家裡一集一集去看。
[00:01:26.000 --> 00:01:30.000]  可能通宵去追看這套劇。
[00:01:30.000 --> 00:01:37.000]  所以這套電視劇,受歡迎的程度,可以一季一季拍下去。
[00:01:37.000 --> 00:01:41.000]  一共拍了五集,即五季那麼多。
[00:01:41.000 --> 00:01:50.000]  另外還有什麼味電影等等,濃縮版的電影等等,都是這套電影來的。
[00:01:50.000 --> 00:01:57.000]  我自己就看了幾集,沒有耐性,又沒有錢買DVD。
[00:01:57.000 --> 00:01:59.000]  又不捨得這樣做。
[00:01:59.000 --> 00:02:03.000]  故事雖然很精彩,但始終都斷了。
[00:02:03.000 --> 00:02:06.000]  故事的確是很吸引的。
[00:02:06.000 --> 00:02:12.000]  開始的時候就說,這個主角是為了教坐冤獄的哥哥,
[00:02:12.000 --> 00:02:21.000]  如何精心地去策劃,甚至把自己設法令自己去坐監。
[00:02:21.000 --> 00:02:24.000]  坐監之後就可以見到他的哥哥了。
[00:02:24.000 --> 00:02:28.000]  因此就可以商討如何去帶他的哥哥逃獄。
[00:02:28.000 --> 00:02:32.000]  在逃獄的過程當中,有很多很緊張的情節,
[00:02:32.000 --> 00:02:38.000]  令到別人沒有辦法停止繼續地去追看下去。
[00:02:38.000 --> 00:02:44.000]  這套電視劇,當然在中國人的地方有中文譯名。
[00:02:44.000 --> 00:02:49.000]  很多時候,你看到的就是大陸的譯名,
[00:02:49.000 --> 00:02:52.000]  就叫做《月曜》,或者是《月曜風雲》。
[00:02:52.000 --> 00:02:56.000]  但是在電視播出的時候,叫做什麼呢?
[00:02:56.000 --> 00:02:59.000]  就是一個字而已,就叫做圖。
[00:02:59.000 --> 00:03:05.000]  中文叫做圖,雖然譯得很全神,很精簡,
[00:03:05.000 --> 00:03:08.000]  而且很容易吸引人。
[00:03:08.000 --> 00:03:11.000]  圖,圖什麼呢?到底從哪裏來的呢?
[00:03:11.000 --> 00:03:14.000]  所以是很吸引人的。
[00:03:14.000 --> 00:03:20.000]  但是,始終是譯不出英文的名字。
[00:03:20.000 --> 00:03:25.000]  所以,如果用破獄,或者是破獄而出這類的片名,
[00:03:25.000 --> 00:03:30.000]  相信是比較直接可以譯出英文的名字。
[00:03:30.000 --> 00:03:34.000]  但是,就好像太過老套了。
[00:03:34.000 --> 00:03:39.000]  就好像很直接地告訴別人,就是坐牢的故事。
[00:03:39.000 --> 00:03:42.000]  所以就不是太好的。
[00:03:42.000 --> 00:03:46.000]  香港就會將「圖」這個譯名放進去。
[00:03:46.000 --> 00:03:48.000]  但是,無論怎樣都好,
[00:03:48.000 --> 00:03:53.000]  「圖」就被我們感覺到,或者是破獄而出,
[00:03:53.000 --> 00:03:56.000]  都是感覺到一件事,就是其實,
[00:03:56.000 --> 00:04:01.000]  監獄可能就套不住,或者是困不住一個人。
[00:04:01.000 --> 00:04:07.000]  這個人是覺得自己不想坐在監獄裏面等死的,
[00:04:07.000 --> 00:04:10.000]  或者覺得自己是應該不屬於這裏的,
[00:04:10.000 --> 00:04:13.000]  因此他就想逃出這個地方了,
[00:04:13.000 --> 00:04:16.000]  所以想破獄而出了。
[00:04:16.000 --> 00:04:20.000]  好了,我們不再討論這個譯名,
[00:04:20.000 --> 00:04:24.000]  但是聖經裏面剛才給我們看到的那個故事,
[00:04:24.000 --> 00:04:28.000]  就是真的一個破獄而出的故事了。
[00:04:28.000 --> 00:04:34.000]  在這個故事當中,我們看到有兩個很突出的人名,
[00:04:34.000 --> 00:04:37.000]  或者人物值得我們留意的,
[00:04:37.000 --> 00:04:40.000]  一個就是希律,一個就是彼得。
[00:04:40.000 --> 00:04:46.000]  我們就嘗試去了解一下,
[00:04:46.000 --> 00:04:50.000]  這兩個人物到底是怎樣的一個人物。
[00:04:50.000 --> 00:04:53.000]  希律本身就是一個大配角來的,
[00:04:53.000 --> 00:04:57.000]  在聖經裏面,在這段經文裏面算是一個大配角,
[00:04:57.000 --> 00:05:01.000]  但卻是不可忽略的一個大配角。
[00:05:01.000 --> 00:05:06.000]  希律的人物在《新約聖經》裏面出現了很多次,
[00:05:06.000 --> 00:05:13.000]  但是對《聖經》背景不太熟悉的人就以為都是一位希律來的。
[00:05:13.000 --> 00:05:18.000]  但是《新約聖經》由福音書開始到《使徒行傳》,
