
[00:00:00.000 --> 00:00:01.400]  再一次講平安
[00:00:01.400 --> 00:00:04.560]  在下面過關不容易
[00:00:04.560 --> 00:00:07.240]  不過都很順利
[00:00:07.240 --> 00:00:09.640]  證明大家都早了回來
[00:00:09.640 --> 00:00:13.120]  其實為什麼要過關呢
[00:00:13.120 --> 00:00:15.360]  因為大家都
[00:00:15.360 --> 00:00:18.840]  有一點害怕
[00:00:18.840 --> 00:00:23.040]  要保護自己也要保護他人
[00:00:23.040 --> 00:00:26.480]  香港已經到了一個
[00:00:26.480 --> 00:00:29.400]  睡醒就去藥房排隊
[00:00:29.800 --> 00:00:31.200]  不知道買不買得到口罩
[00:00:31.200 --> 00:00:32.760]  買不買得到清潔用品
[00:00:32.760 --> 00:00:35.360]  然後就去超級市場
[00:00:35.360 --> 00:00:36.560]  看看有沒有貨
[00:00:36.560 --> 00:00:39.960]  好像玩大抽獎一樣
[00:00:39.960 --> 00:00:43.040]  我們都不明白
[00:00:43.040 --> 00:00:44.120]  為什麼香港會變成這樣
[00:00:44.120 --> 00:00:46.720]  但我們知道
[00:00:46.720 --> 00:00:49.440]  上帝
[00:00:49.440 --> 00:00:50.760]  祂知道一切
[00:00:50.760 --> 00:00:52.480]  今天
[00:00:52.480 --> 00:00:55.680]  當我講詩篇139篇的時候
[00:00:55.680 --> 00:00:58.560]  我本來是想由第七節開始講起
[00:00:59.840 --> 00:01:02.040]  但一路準備的時候發現
[00:01:02.040 --> 00:01:03.800]  始終都要整篇講
[00:01:03.800 --> 00:01:06.280]  訊息才來得完整
[00:01:06.280 --> 00:01:08.960]  因為詩篇139篇
[00:01:08.960 --> 00:01:10.520]  它就是講上帝知道
[00:01:10.520 --> 00:01:12.120]  上帝關注
[00:01:12.120 --> 00:01:15.640]  一開始的第一節到第四節
[00:01:15.640 --> 00:01:16.960]  我們嘗試一起讀
[00:01:16.960 --> 00:01:17.520]  好嗎
[00:01:17.520 --> 00:01:18.640]  準備起
[00:01:18.640 --> 00:01:20.360]  耶和華
[00:01:20.360 --> 00:01:22.520]  祢已經監察我
[00:01:22.520 --> 00:01:23.680]  認識我
[00:01:23.680 --> 00:01:25.200]  我坐下
[00:01:25.200 --> 00:01:26.280]  我起來
[00:01:26.280 --> 00:01:27.680]  祢都曉得
[00:01:28.200 --> 00:01:31.160]  祢從遠處知道我的意念
[00:01:31.160 --> 00:01:32.720]  我行路
[00:01:32.720 --> 00:01:33.840]  我躺臥
[00:01:33.840 --> 00:01:35.280]  祢都細察
[00:01:35.280 --> 00:01:38.640]  祢也深知我一切所行的
[00:01:38.640 --> 00:01:40.200]  耶和華
[00:01:40.200 --> 00:01:42.160]  我舌頭上的話
[00:01:42.160 --> 00:01:44.840]  祢沒有一句不知道的
[00:01:44.840 --> 00:01:46.120]  其實很簡單
[00:01:46.120 --> 00:01:48.240]  字面解已經大家都很明白
[00:01:48.240 --> 00:01:50.440]  就是詩人說
[00:01:50.440 --> 00:01:53.720]  耶和華祢知道我所有的東西
[00:01:53.720 --> 00:01:56.160]  祢明白
[00:01:56.160 --> 00:01:57.640]  我坐下
[00:01:58.160 --> 00:01:58.680]  祢知道
[00:01:58.680 --> 00:02:00.560]  我坐下起身
[00:02:00.560 --> 00:02:01.640]  祢都知道
[00:02:01.640 --> 00:02:03.320]  很遠
[00:02:03.320 --> 00:02:05.560]  祢已經明白我心裏面在想些什麼
[00:02:05.560 --> 00:02:07.920]  我行路的時候祢知道
[00:02:07.920 --> 00:02:09.240]  我行到很累
[00:02:09.240 --> 00:02:11.040]  躺在這裏的時候
[00:02:11.040 --> 00:02:12.280]  祢同樣都知道
[00:02:12.280 --> 00:02:14.400]  我一切所行的
[00:02:14.400 --> 00:02:15.400]  上帝都知道
[00:02:15.400 --> 00:02:16.840]  耶和華
[00:02:16.840 --> 00:02:18.680]  我舌頭上的話
[00:02:18.680 --> 00:02:19.840]  沒有一句
[00:02:19.840 --> 00:02:21.720]  耶和華是不知道的
[00:02:21.720 --> 00:02:23.720]  有另一個翻譯
[00:02:23.720 --> 00:02:25.800]  舌頭上的話
[00:02:25.800 --> 00:02:26.680]  是在講
[00:02:26.880 --> 00:02:29.360]  舌頭上我還未講得出來的話
[00:02:29.360 --> 00:02:32.000]  即是我未說的話
[00:02:32.000 --> 00:02:34.280]  上帝已經知道
[00:02:34.280 --> 00:02:35.680]  包括
[00:02:35.680 --> 00:02:37.720]  一些
[00:02:37.720 --> 00:02:40.200]  突然發現不合適講的
[00:02:40.200 --> 00:02:41.560]  立即勒住嘴
[00:02:41.560 --> 00:02:43.720]  但心裏已經講了的粗口
[00:02:43.720 --> 00:02:45.320]  舉個例子
[00:02:45.320 --> 00:02:46.960]  一些咒咒人的東西
[00:02:46.960 --> 00:02:48.640]  一些憎恨的話
[00:02:48.640 --> 00:02:51.200]  未講到出口
[00:02:51.200 --> 00:02:54.120]  不過上帝清清楚楚
[00:02:55.800 --> 00:02:57.240]  有少少像什麼呢
[00:02:57.240 --> 00:03:00.760]  可能有兩個反應
[00:03:00.760 --> 00:03:03.600]  詩人可能覺得
[00:03:03.600 --> 00:03:04.760]  嘩!上帝祢真是好
[00:03:04.760 --> 00:03:05.680]  祢什麼都知道
[00:03:05.680 --> 00:03:07.800]  另一個反應是什麼呢
[00:03:07.800 --> 00:03:09.920]  上帝不要知道我那麼多東西
[00:03:09.920 --> 00:03:11.560]  即是等於
[00:03:11.560 --> 00:03:12.720]  去旅行
