
[00:00:00.000 --> 00:00:08.040]  上個月是我們學院開學的時候 代言長約我聊天
[00:00:08.040 --> 00:00:12.420]  上個月是我們學院開學的時候 院長約我聊天
[00:00:12.420 --> 00:00:15.540]  到達辦公室坐下沒多久就入正題了
[00:00:15.540 --> 00:00:19.400]  到了辦公室坐下沒多久就進入正題了
[00:00:19.400 --> 00:00:24.240]  因為今年我在學院是最後一年的教學 明年就退休了
[00:00:24.240 --> 00:00:28.960]  因為今年是我在學院最後一年的教學 明年就退休了
[00:00:28.960 --> 00:00:32.620]  他問我有什麼打算
[00:00:32.620 --> 00:00:34.220]  他問我有什麼打算
[00:00:34.220 --> 00:00:39.560]  他關心我 因為我幾年前才學人買樓
[00:00:39.560 --> 00:00:44.540]  他關心我 因為我近幾年前買房了
[00:00:44.540 --> 00:00:46.480]  所以做樓奴
[00:00:46.480 --> 00:00:52.060]  所以做樓的奴隸
[00:00:52.060 --> 00:00:54.000]  他關心我下一步怎麼辦
[00:00:54.000 --> 00:00:56.200]  他關心我下一步要怎樣
[00:00:56.200 --> 00:00:58.860]  人生在每個階段的過程當中
[00:00:58.860 --> 00:01:02.740]  如果不順利的話 可能是一個危機
[00:01:02.740 --> 00:01:07.820]  如果人生在每個階段不順利的話 就可能成為一個危機
[00:01:07.820 --> 00:01:11.700]  如果不順利的話 很難進入到下一個的里程
[00:01:11.700 --> 00:01:14.900]  如果不順利的話 很難進入到下一個里程
[00:01:14.900 --> 00:01:18.980]  我們學院每逢星期一會為校友祈禱
[00:01:18.980 --> 00:01:24.260]  我們學院每個星期一會為校友去禱告
[00:01:24.260 --> 00:01:29.580]  剛剛畢業那兩年的同學回來分享我們為他祈禱
[00:01:29.580 --> 00:01:34.840]  剛剛就是去年跟前年畢業的兩班同學為他們禱告
[00:01:34.840 --> 00:01:37.760]  剛剛畢業的畢業的入職都是幾個月
[00:01:37.760 --> 00:01:41.080]  剛剛畢業的他們入職可能也就幾個月
[00:01:41.080 --> 00:01:44.900]  但畢業一年的他們有些真的服侍了一年
[00:01:44.900 --> 00:01:46.780]  有些已經轉工場了
[00:01:46.780 --> 00:01:50.000]  有些畢業一年的可能就真的服侍了一年
[00:01:50.000 --> 00:01:52.900]  又或者是轉換職場了
[00:01:52.900 --> 00:01:57.900]  對剛剛畢業的你們進入一個新的環境留多久呢
[00:01:57.900 --> 00:02:02.820]  對於一個進入新環境的你們來說要留多久呢
[00:02:02.820 --> 00:02:04.940]  教授跟大家去思想就是說
[00:02:04.940 --> 00:02:07.060]  我們人生有很多的關頭
[00:02:07.060 --> 00:02:10.380]  要跟他講的是我們人生有很多關卡
[00:02:10.380 --> 00:02:14.100]  如果經歷到一些不好的經驗的時候
[00:02:14.100 --> 00:02:15.980]  會不會阻礙我的成長呢
[00:02:15.980 --> 00:02:20.300]  經歷了不好的經驗的時候會不會阻礙我們的成長呢
[00:02:20.300 --> 00:02:23.860]  彼得就是要面對他生命的那個難關
[00:02:23.860 --> 00:02:26.740]  彼得就要面對他生命的難關
[00:02:26.740 --> 00:02:28.940]  剛剛讀的經文大家都很熟悉
[00:02:28.940 --> 00:02:31.500]  剛剛讀的經文大家也都很熟悉
[00:02:31.500 --> 00:02:33.500]  上次跟三豐問大家的思想
[00:02:33.500 --> 00:02:36.540]  他那個經歷耶穌怎麼幫助他
[00:02:36.540 --> 00:02:39.900]  所以想在三個方面跟大家去想一下
[00:02:39.900 --> 00:02:42.540]  耶穌是怎麼樣去幫助他的
[00:02:42.540 --> 00:02:46.420]  首先我們看頭十四節我叫一個背景
[00:02:46.420 --> 00:02:51.180]  首先我們看的是一到十四節我們把它叫為背景
[00:02:51.180 --> 00:02:52.900]  在那裡大家都熟悉了
[00:02:52.900 --> 00:02:55.940]  原來耶穌基督一早約了他們
[00:02:55.940 --> 00:03:00.060]  將會在加利利提比利亞海那裡見面
[00:03:00.060 --> 00:03:04.860]  耶穌一早就約他們在加利利提比利亞海邊那裡見面
[00:03:04.860 --> 00:03:06.180]  所以第一節就講了
[00:03:06.180 --> 00:03:09.020]  這件事以後大家看回楊福音
[00:03:09.020 --> 00:03:11.500]  是耶穌基督復活等等
[00:03:11.500 --> 00:03:15.460]  耶穌在提比利亞海邊又向門徒顯現
[00:03:15.460 --> 00:03:18.300]  所以經文第一節說到這件事以後
[00:03:18.300 --> 00:03:20.180]  就是說耶穌復活了
[00:03:20.180 --> 00:03:23.220]  然後在提比利亞海邊向門徒顯現
[00:03:23.220 --> 00:03:25.780]  耶穌跟門徒早有約定
[00:03:25.780 --> 00:03:28.140]  耶穌跟門徒是早有約定
[00:03:28.140 --> 00:03:31.260]  首先在最後晚餐的時候都講了
[00:03:31.260 --> 00:03:33.580]  我將會被捕你們會分散
[00:03:33.580 --> 00:03:37.460]  但是接著你們要去到加利利那裡
[00:03:37.460 --> 00:03:39.300]  在最後的晚餐也說到
[00:03:39.300 --> 00:03:41.140]  耶穌就說到了我會被捕
