
[00:00:00.000 --> 00:00:03.000]  丁智梅平安
[00:00:03.000 --> 00:00:13.000]  我一天三次跟陳師母談情
[00:00:13.000 --> 00:00:19.000]  七點半 三點半 九點四十五分
[00:00:19.000 --> 00:00:22.000]  今天七點半我一打去的時候 發現我完全失聲了
[00:00:22.000 --> 00:00:29.000]  於是就去看醫生
[00:00:29.000 --> 00:00:43.000]  醫生說聲帶腫了 但是沒有多大的影響
[00:00:43.000 --> 00:00:46.000]  之後陳師母一直給我SMS
[00:00:46.000 --> 00:00:50.000]  問我到底可以上台嗎
[00:00:50.000 --> 00:00:55.000]  我說真的是我不能 但是上帝可以的
[00:00:55.000 --> 00:01:00.000]  今晚的題目是終極無憾
[00:01:00.000 --> 00:01:07.000]  有很暢銷的小說家
[00:01:07.000 --> 00:01:10.000]  他寫了一本書叫《根》
[00:01:10.000 --> 00:01:15.000]  他名字叫做哈利 他所寫的小說叫做《根》
[00:01:15.000 --> 00:01:20.000]  在他辦公室掛了一幅很大的圖畫
[00:01:20.000 --> 00:01:23.000]  有一隻烏龜伏在高高的木樁上
[00:01:23.000 --> 00:01:31.000]  照理看烏龜笨手笨腳
[00:01:31.000 --> 00:01:37.000]  不可能自己爬上去
[00:01:37.000 --> 00:01:40.000]  一定是有人把他放上去
[00:01:40.000 --> 00:01:44.000]  哈利這樣說
[00:01:44.000 --> 00:01:48.000]  每次我看到這幅圖畫的時候
[00:01:48.000 --> 00:01:51.000]  就記得這段說話
[00:01:51.000 --> 00:01:58.000]  假如你看到烏龜伏在樁頂上的時候
[00:01:58.000 --> 00:02:03.000]  你就知道一定是有人幫助他
[00:02:03.000 --> 00:02:08.000]  這隻烏龜才能夠到那個位置上
[00:02:08.000 --> 00:02:11.000]  所以哈利作者就這樣說
[00:02:11.000 --> 00:02:14.000]  無論什麼時候
[00:02:14.000 --> 00:02:17.000]  只要我誇口說我的地位這麼高
[00:02:17.000 --> 00:02:23.000]  我就抬頭看看那幅畫
[00:02:23.000 --> 00:02:27.000]  看看那隻烏龜
[00:02:27.000 --> 00:02:29.000]  就是我
[00:02:29.000 --> 00:02:32.000]  是怎樣爬到那個木樁上
[00:02:32.000 --> 00:02:37.000]  你一定要記得
[00:02:37.000 --> 00:02:41.000]  你今天的學問恩賜
[00:02:41.000 --> 00:02:46.000]  學位成就
[00:02:46.000 --> 00:02:49.000]  健康智慧
[00:02:49.000 --> 00:02:52.000]  美滿的家庭
[00:02:52.000 --> 00:02:55.000]  全是神的恩典
[00:02:55.000 --> 00:02:59.000]  你絕對不能用這些來誇口
[00:02:59.000 --> 00:03:03.000]  今天不能,以後二三十年也不能
[00:03:03.000 --> 00:03:13.000]  可能以後你在公司提升了,做了總裁了
[00:03:13.000 --> 00:03:17.000]  可能你在教會做了主任牧師了
[00:03:17.000 --> 00:03:20.000]  或者做了主教
[00:03:20.000 --> 00:03:25.000]  但是永遠記得我今晚送你這隻烏龜
[00:03:25.000 --> 00:03:34.000]  你能夠到那個地位,全是神的恩典
[00:03:34.000 --> 00:03:39.000]  今晚的題目叫做「終極無憾」
[00:03:39.000 --> 00:03:45.000]  每天我們早上要做兩個禱告
[00:03:45.000 --> 00:03:52.000]  第一,求主賜我謙卑受教的心
[00:03:52.000 --> 00:03:59.000]  第二,求主賜我慰煮焚燒的生命
[00:03:59.000 --> 00:04:05.000]  求主賜我謙卑受教的心
[00:04:05.000 --> 00:04:14.000]  當我閱讀猶大和以色列國的興衰的時候
[00:04:14.000 --> 00:04:19.000]  我領悟一個千古不變的道理
[00:04:19.000 --> 00:04:26.000]  所有先勝後衰的領袖
[00:04:26.000 --> 00:04:29.000]  都犯了同一個毛病
[00:04:29.000 --> 00:04:37.000]  就是到了後期失去了謙卑受教的心
[00:04:37.000 --> 00:04:43.000]  幾時領袖心高氣傲
[00:04:43.000 --> 00:04:50.000]  他把第二姐妹的勸告當作廢話
[00:04:50.000 --> 00:04:54.000]  她的生命就要下滑
[00:04:54.000 --> 00:04:59.000]  我們看看南國第三個王亞薩
[00:04:59.000 --> 00:05:04.000]  看他怎樣的晚節不保
[00:05:04.000 --> 00:05:08.000]  我注意到亞薩王生命歷程前35年
[00:05:08.000 --> 00:05:17.000]  是個名符其實熱心愛主的領袖
[00:05:17.000 --> 00:05:23.000]  生命充滿光彩
