
[00:00:00.000 --> 00:00:04.500]  我的見證會分享四方面
[00:00:04.500 --> 00:00:06.840]  第一是identity
[00:00:06.840 --> 00:00:08.160]  calling
[00:00:08.160 --> 00:00:09.600]  equipping
[00:00:09.600 --> 00:00:12.160]  and then serving
[00:00:12.160 --> 00:00:15.300]  好,考你第一個問題
[00:00:15.300 --> 00:00:17.300]  我在哪裏出生的?
[00:00:17.300 --> 00:00:18.500]  我在哪裏出生的?
[00:00:18.500 --> 00:00:19.660]  next slide, next slide
[00:00:19.660 --> 00:00:21.200]  我在哪裏出生的?
[00:00:21.200 --> 00:00:23.000]  next slide
[00:00:23.000 --> 00:00:27.160]  好,誰說我在香港出生的?
[00:00:27.160 --> 00:00:29.960]  或者在多倫多出生的?
[00:00:29.960 --> 00:00:31.860]  OK,看你認不認識我
[00:00:31.860 --> 00:00:34.360]  OK,誰說在香港出生的?
[00:00:34.360 --> 00:00:35.660]  舉手
[00:00:35.660 --> 00:00:38.560]  OK,一個
[00:00:38.560 --> 00:00:39.860]  Is this Andy?
[00:00:39.860 --> 00:00:40.760]  No
[00:00:40.760 --> 00:00:43.660]  OK
[00:00:43.660 --> 00:00:44.760]  三個?
[00:00:44.760 --> 00:00:45.360]  只有三個
[00:00:45.360 --> 00:00:46.860]  OK,誰覺得我在多倫多?
[00:00:46.860 --> 00:00:47.860]  四個
[00:00:47.860 --> 00:00:49.360]  香港出生的
[00:00:49.360 --> 00:00:50.360]  五個
[00:00:50.360 --> 00:00:51.260]  OK
[00:00:51.260 --> 00:00:52.260]  六個
[00:00:52.260 --> 00:00:53.060]  OK,六個
[00:00:53.060 --> 00:00:55.160]  誰覺得我在多倫多出生的?
[00:00:55.160 --> 00:00:57.060]  舉手
[00:00:57.060 --> 00:01:00.360]  OK
[00:01:00.360 --> 00:01:02.760]  其實我在哪裏出生的?
[00:01:02.760 --> 00:01:06.460]  我在香港出生的
[00:01:06.460 --> 00:01:07.960]  誰在香港出生的?
[00:01:07.960 --> 00:01:09.260]  舉手
[00:01:09.260 --> 00:01:10.160]  誰在香港出生的?
[00:01:10.160 --> 00:01:12.060]  我和你一樣
[00:01:12.060 --> 00:01:14.360]  我是香港人
[00:01:14.360 --> 00:01:17.860]  我有香港身分證的
[00:01:17.860 --> 00:01:19.960]  passport
[00:01:19.960 --> 00:01:21.260]  OK,next slide
[00:01:21.260 --> 00:01:24.360]  我父母是在
[00:01:24.360 --> 00:01:27.160]  也是和Pastor Irene、Pastor Tim
[00:01:27.160 --> 00:01:27.960]  Pastor Gavin
[00:01:27.960 --> 00:01:29.460]  在那個Same Seminary
[00:01:29.460 --> 00:01:31.160]  在那個Same的神學
[00:01:31.160 --> 00:01:32.160]  去長大的
