
[00:00:00.000 --> 00:00:02.000]  領姐妹早晨
[00:00:02.000 --> 00:00:06.000]  多謝敬拜隊帶領我們唱幾首很好的詩歌
[00:00:06.000 --> 00:00:08.000]  讓我們進入神的同在
[00:00:08.000 --> 00:00:10.000]  去敬拜我們的神
[00:00:10.000 --> 00:00:12.000]  今天早上跟大家分享這個訊息
[00:00:12.000 --> 00:00:14.000]  心裏面很沉重
[00:00:14.000 --> 00:00:16.000]  因為覺得說到認罪
[00:00:16.000 --> 00:00:18.000]  都是很沉重的事情
[00:00:18.000 --> 00:00:20.000]  所以今早有姐妹說
[00:00:20.000 --> 00:00:22.000]  你的眼睛好像都紅了
[00:00:22.000 --> 00:00:26.000]  因為事實都是為了我們的城市去哀哭
[00:00:26.000 --> 00:00:29.000]  所以我都想大家和我一起去祈禱
[00:00:29.000 --> 00:00:34.000]  如意神他的靈親自去引領我們進入真理
[00:00:34.000 --> 00:00:36.000]  讓我們認真地去面對
[00:00:36.000 --> 00:00:41.000]  我們這個群體所犯下的罪
[00:00:41.000 --> 00:00:46.000]  讓我們都希望領姐妹可以盡快就座
[00:00:46.000 --> 00:00:48.000]  我們一起祈禱
[00:00:48.000 --> 00:00:49.000]  好
[00:00:49.000 --> 00:00:54.000]  好 我們一起祈禱
[00:00:54.000 --> 00:01:00.000]  想再一次感謝你因為你聚集我們屬於你的子民
[00:01:00.000 --> 00:01:04.000]  能夠來到聖殿的當中去敬拜你
[00:01:04.000 --> 00:01:10.000]  但當我們去面對這位聖潔的真神的時候
[00:01:10.000 --> 00:01:12.000]  我們感到慚愧
[00:01:12.000 --> 00:01:14.000]  主我們實在愧疚於你
[00:01:14.000 --> 00:01:16.000]  求你帶領我們
[00:01:16.000 --> 00:01:19.000]  我們很想在你面前去呼求
[00:01:19.000 --> 00:01:24.000]  我們知道我們面對的城市是很有病
[00:01:24.000 --> 00:01:28.000]  我們很需要被醫治
[00:01:28.000 --> 00:01:32.000]  主我求你藉著尼希米記這一段的經文
[00:01:32.000 --> 00:01:35.000]  今日你的話語好像兩人的劍
[00:01:35.000 --> 00:01:39.000]  來將我們的心思主義都能夠辨明
[00:01:39.000 --> 00:01:44.000]  讓我們認真地來到你面前去面對我們的光景
[00:01:44.000 --> 00:01:47.000]  因為我們知道上帝你認識我們
[00:01:47.000 --> 00:01:50.000]  你也很願意醫治我們
[00:01:50.000 --> 00:01:51.000]  復興我們
[00:01:51.000 --> 00:01:54.000]  主我求你帶領我們以下的時間
[00:01:54.000 --> 00:01:59.000]  讓上帝你自己的話語臨到我們身上
[00:01:59.000 --> 00:02:02.000]  改變 提醒 督促
[00:02:02.000 --> 00:02:03.000]  也安慰
[00:02:03.000 --> 00:02:05.000]  多謝你聽我們禱告
[00:02:05.000 --> 00:02:06.000]  奉耶穌基督的名
[00:02:06.000 --> 00:02:08.000]  阿們
[00:02:08.000 --> 00:02:11.000]  最近跟大英姐妹聊天
[00:02:11.000 --> 00:02:17.000]  常常都提到一個題目就是確診之後的後遺症
[00:02:17.000 --> 00:02:20.000]  大家有沒有這個後遺症
[00:02:20.000 --> 00:02:21.000]  有吧
[00:02:21.000 --> 00:02:24.000]  所謂長生觀的問題就是
[00:02:24.000 --> 00:02:26.000]  有個字叫做老母
[00:02:26.000 --> 00:02:28.000]  就是說會失憶
[00:02:28.000 --> 00:02:32.000]  會轉數很慢
[00:02:32.000 --> 00:02:35.000]  不是叫你轉數快
[00:02:35.000 --> 00:02:36.000]  轉數很慢
[00:02:36.000 --> 00:02:38.000]  或者會失眠
[00:02:38.000 --> 00:02:39.000]  這樣的情況
[00:02:39.000 --> 00:02:41.000]  不過我今天想跟大家說的是
[00:02:41.000 --> 00:02:46.000]  我看到在我們城市裏面一個更嚴重的後遺症
