
[00:00:00.000 --> 00:00:05.880]  今日會和大家一齊繼續看臨前的經文第十四章
[00:00:05.880 --> 00:00:09.800]  上一次可能大家都聽了蔡牧師
[00:00:09.800 --> 00:00:15.320]  和大家傳講在十四章的一到五節
[00:00:15.320 --> 00:00:17.280]  今日我想最主要在十四章裏面
[00:00:17.280 --> 00:00:18.600]  其中一個很重要的主題
[00:00:18.600 --> 00:00:24.600]  是和我們再一次思想我們敬拜的生活
[00:00:24.600 --> 00:00:27.520]  有一位很出名的基督教
[00:00:27.520 --> 00:00:32.000]  已經安息的牧師John Stott
[00:00:32.000 --> 00:00:33.920]  英國一位很出名的牧師
[00:00:33.920 --> 00:00:38.080]  他提到教會一個首要的責任是甚麼呢
[00:00:38.080 --> 00:00:39.480]  我不知道大家有沒有想過
[00:00:39.480 --> 00:00:42.840]  我們回來教會最重要的責任是甚麼
[00:00:42.840 --> 00:00:45.920]  有人可能說是馬達福音二十八章的
[00:00:45.920 --> 00:00:49.480]  十八到二十節的大使命裏面
[00:00:49.480 --> 00:00:52.120]  傳福音、訓練門徒
[00:00:52.120 --> 00:00:54.840]  可能這些都會覺得是教會最重要的責任
[00:00:54.840 --> 00:00:57.520]  但John Stott他自己提過
[00:00:57.520 --> 00:00:59.760]  在他這麼多年的牧會
[00:00:59.760 --> 00:01:00.840]  他自己的經驗
[00:01:00.840 --> 00:01:03.520]  他從聖經來領受的話
[00:01:03.520 --> 00:01:05.440]  他說教會最重要的責任
[00:01:05.440 --> 00:01:07.600]  其實應該是敬拜神
[00:01:07.600 --> 00:01:12.360]  這是我們對神最重要要負上的責任
[00:01:12.360 --> 00:01:13.560]  當然傳福音都是重要
[00:01:13.560 --> 00:01:15.240]  訓練門徒都是重要
[00:01:15.240 --> 00:01:17.040]  但他告訴我們敬拜神
[00:01:17.040 --> 00:01:20.000]  其實就是在聖經裏面是屬於神的人
[00:01:20.000 --> 00:01:23.040]  我們每個基督徒應該有的最重要的責任
[00:01:23.040 --> 00:01:24.840]  所以今天我想和大家一齊來從
[00:01:24.840 --> 00:01:27.720]  臨前的十四章一段經文來學習
[00:01:27.720 --> 00:01:30.440]  我們自己今天教會的敬拜生活
[00:01:30.440 --> 00:01:32.000]  我們自己的敬拜生活
[00:01:32.000 --> 00:01:34.440]  我這個基督徒敬拜的生命
[00:01:34.440 --> 00:01:36.160]  到底是一個怎樣的生命
[00:01:36.160 --> 00:01:40.000]  我們一齊來看十四章的二十六到三十三節
[00:01:40.000 --> 00:01:42.880]  我們來讀完這段經文
[00:01:42.880 --> 00:01:44.760]  好,預備起
[00:01:44.760 --> 00:01:47.760]  弟兄們,這卻怎麼樣呢?
[00:01:47.760 --> 00:01:49.920]  你們聚會的時候
[00:01:49.920 --> 00:01:53.160]  各人或有詩歌,或有教訓
[00:01:53.160 --> 00:01:56.040]  或有啟示,或有方言
[00:01:56.040 --> 00:01:58.080]  或有翻出來的話
[00:01:58.080 --> 00:02:00.760]  凡事都當做就人
[00:02:00.760 --> 00:02:02.680]  若有說方言的
[00:02:02.680 --> 00:02:05.920]  只好兩個人,最多三個人
[00:02:05.920 --> 00:02:07.960]  且要輪流著說
[00:02:07.960 --> 00:02:10.520]  也要一個人翻出來
[00:02:10.520 --> 00:02:12.040]  若沒有人翻
[00:02:12.040 --> 00:02:14.600]  就當在會中閉口
[00:02:14.600 --> 00:02:18.160]  只對自己和神說就是了
[00:02:18.160 --> 00:02:20.720]  至於作先知講道的
[00:02:20.720 --> 00:02:23.760]  只好兩個人,或是三個人
[00:02:23.760 --> 00:02:27.000]  其餘的就當慎思明辨
[00:02:27.000 --> 00:02:30.360]  若旁邊坐著的得了啟示
[00:02:30.360 --> 00:02:34.280]  那天說話的就當閉口不言
[00:02:34.280 --> 00:02:37.480]  因為你們都可以一個一個的
[00:02:37.480 --> 00:02:39.400]  作先知講道
[00:02:39.400 --> 00:02:41.560]  叫眾人學道理
[00:02:41.560 --> 00:02:44.000]  叫眾人得全面
[00:02:44.000 --> 00:02:47.800]  先知的靈,願是信服先知的
[00:02:47.800 --> 00:02:50.760]  因為神不是叫人混亂
[00:02:50.760 --> 00:02:53.640]  乃是叫人安靜
[00:02:53.640 --> 00:02:56.240]  說到我們教會
[00:02:56.240 --> 00:02:59.040]  或是說到敬拜,說到崇拜
[00:02:59.040 --> 00:03:00.320]  我不如問問大家
[00:03:00.320 --> 00:03:02.600]  大家覺得你回來教會崇拜
[00:03:02.600 --> 00:03:04.040]  都相信有一段日子
[00:03:04.040 --> 00:03:06.200]  大家覺得甚麼是崇拜
[00:03:06.200 --> 00:03:07.960]  甚麼是敬拜
[00:03:07.960 --> 00:03:10.520]  敬拜是甚麼?
[00:03:10.520 --> 00:03:11.280]  有人想過嗎?
[00:03:11.280 --> 00:03:13.160]  你回來教會崇拜那麼久
[00:03:13.160 --> 00:03:15.160]  敬拜是甚麼?崇拜是甚麼?
[00:03:15.160 --> 00:03:18.600]  可能你說牧師我們在讀浸禮班
[00:03:18.600 --> 00:03:21.080]  信仰班的時候都應該學過
[00:03:21.080 --> 00:03:22.680]  沒錯,終究是學過的
[00:03:22.680 --> 00:03:25.600]  不過學完之後通常都是交給教會的人
[00:03:25.600 --> 00:03:27.280]  教完這些就不會怎麼記得
[00:03:27.280 --> 00:03:28.800]  讀書的經驗都是這樣
[00:03:28.800 --> 00:03:30.960]  敬拜是甚麼?大家回去好好想想
[00:03:30.960 --> 00:03:33.920]  我想今天我不知道你給過甚麼答案
[00:03:33.920 --> 00:03:35.760]  但我至少會問一下大家
[00:03:35.760 --> 00:03:37.440]  大家以前在家裡
[00:03:37.440 --> 00:03:38.480]  如果你家裡來自一個
[00:03:38.480 --> 00:03:39.960]  都不是一個基督教家庭
[00:03:39.960 --> 00:03:41.920]  你最常聽到一句說話是甚麼呢?
[00:03:41.920 --> 00:03:42.640]  我家裡都是的
[00:03:42.640 --> 00:03:45.960]  我父母之前都不是基督徒
[00:03:45.960 --> 00:03:48.000]  我們最喜歡中國人傳統就是
[00:03:48.000 --> 00:03:50.480]  我們一定有一個習慣叫拜神
[00:03:50.480 --> 00:03:52.200]  敬拜是甚麼?
[00:03:52.200 --> 00:03:52.960]  其實敬拜很簡單
[00:03:52.960 --> 00:03:54.440]  就是拜神
[00:03:54.440 --> 00:03:56.880]  你來教會都是拜神
[00:03:56.880 --> 00:03:58.560]  大家有沒有想過你來教會
[00:03:58.560 --> 00:04:00.840]  敬拜就是去敬拜神
[00:04:00.840 --> 00:04:02.840]  不過中國人說拜神都是一樣的
[00:04:02.840 --> 00:04:04.360]  只不過是刪了字
[00:04:04.360 --> 00:04:06.480]  其實都是要敬拜他們的偶像
[00:04:06.480 --> 00:04:09.640]  敬拜他們覺得相信的神明
[00:04:09.640 --> 00:04:11.280]  這個都是一個敬拜
[00:04:11.280 --> 00:04:13.960]  只不過用的形式或方法是怎樣
[00:04:13.960 --> 00:04:15.560]  大家可以不同
[00:04:15.560 --> 00:04:18.960]  你回來教會的敬拜其實就是拜神
[00:04:18.960 --> 00:04:22.120]  如果你要用中國人一般的術語
[00:04:22.120 --> 00:04:23.600]  但我想有兩節經文
[00:04:23.600 --> 00:04:24.440]  我想跟大家聊聊
[00:04:24.440 --> 00:04:27.080]  看看甚麼叫敬拜或崇拜神
[00:04:27.080 --> 00:04:28.800]  到底是甚麼意思
[00:04:28.800 --> 00:04:30.520]  第一節經文其實上個星期
[00:04:30.520 --> 00:04:32.320]  大家在蔡牧師的講道裡面
[00:04:32.320 --> 00:04:33.080]  其實已經
[00:04:33.080 --> 00:04:35.960]  我想大家印象應該是更深的
[00:04:35.960 --> 00:04:37.000]  因為都是上個星期
[00:04:37.000 --> 00:04:37.920]  應該其實講的東西
[00:04:37.920 --> 00:04:40.160]  有部份我都會引用
