
[00:00:00.000 --> 00:00:02.500]  如果我問大家,你是否一個基督徒?
[00:00:02.500 --> 00:00:05.500]  如果你在座是基督徒的話呢,
[00:00:05.500 --> 00:00:09.500]  我想問一問你,或者想一想,
[00:00:09.500 --> 00:00:12.500]  你在信主前,從信主後,
[00:00:12.500 --> 00:00:15.500]  有些什麼的生命改變?
[00:00:15.500 --> 00:00:17.500]  有些什麼改變?
[00:00:17.500 --> 00:00:19.000]  或者有沒有改變?
[00:00:19.000 --> 00:00:20.500]  當然有啦,牧師!
[00:00:20.500 --> 00:00:22.000]  我以前呢,
[00:00:22.000 --> 00:00:25.000]  未信主之前,每個禮拜日,早上我都喝茶的,
[00:00:25.000 --> 00:00:27.500]  信了主之後,我回教會,多好呢!
[00:00:27.500 --> 00:00:30.500]  或者就是說,我每次以前,
[00:00:30.500 --> 00:00:32.500]  吃飯就吃飯囉!
[00:00:32.500 --> 00:00:33.500]  信了耶穌之後,不是啦!
[00:00:33.500 --> 00:00:36.500]  信了耶穌之後,我當然要做個飯前祈禱的,
[00:00:36.500 --> 00:00:38.000]  就是因為這樣嘛!
[00:00:38.000 --> 00:00:43.000]  當然啦,這些都是一個很好的改變,
[00:00:43.000 --> 00:00:46.000]  我們生活上面的習慣都有改變,
[00:00:46.000 --> 00:00:48.500]  不過呢,其實做基督徒呢,
[00:00:48.500 --> 00:00:52.000]  我們生命的改變是應該來得更深層次一點的,
[00:00:52.000 --> 00:00:54.000]  大家認不認同?
[00:00:54.000 --> 00:00:57.500]  這樣,保羅就曾經這樣說,
[00:00:57.500 --> 00:01:01.000]  保羅說,我已經與基督同釘十字架,
[00:01:01.000 --> 00:01:03.000]  現在活著的,不再是我了,
[00:01:03.000 --> 00:01:05.500]  是耶穌基督在我生命裡面活著,
[00:01:05.500 --> 00:01:08.000]  我已經是一個新造的人,
[00:01:08.000 --> 00:01:11.000]  舊事已過,一切都變成新的了。
[00:01:11.000 --> 00:01:16.000]  這個,保羅這裡所說的話呢,
[00:01:16.000 --> 00:01:17.500]  不是理論來的,
[00:01:17.500 --> 00:01:20.500]  保羅這裡所說的是他一生走歷,
[00:01:20.500 --> 00:01:23.500]  整個他的人生的一個總結來的,
[00:01:23.500 --> 00:01:25.500]  而今天的經文就告訴我們,
[00:01:25.500 --> 00:01:27.500]  是一個他自己都不知道,
[00:01:27.500 --> 00:01:30.500]  自己都沒有想過的一個時刻,
[00:01:30.500 --> 00:01:32.500]  神就讓事情發生,
[00:01:32.500 --> 00:01:35.500]  讓他的生命完全的來扭轉,
[00:01:35.500 --> 00:01:38.000]  昔日,剛才我們讀過的經文,
[00:01:38.000 --> 00:01:40.000]  在大馬式路上,
[00:01:40.000 --> 00:01:43.000]  改變數來一生的神,
[00:01:43.000 --> 00:01:46.000]  亦都是我們今天所跟隨,
[00:01:46.000 --> 00:01:47.500]  所相信的神,
[00:01:47.500 --> 00:01:48.500]  讓我們從這個故事,
[00:01:48.500 --> 00:01:52.000]  一起有一些的學習。
[00:01:52.000 --> 00:01:59.000]  在九章的一到二節,
[00:01:59.000 --> 00:02:02.000]  聖經這樣說,
[00:02:02.000 --> 00:02:06.000]  蘇羅仍然向主的門徒口吐威嚇,
[00:02:06.000 --> 00:02:08.000]  兇殺的話,
[00:02:08.000 --> 00:02:11.000]  他就找大祭司拿了一些文件,
[00:02:11.000 --> 00:02:13.000]  去不同的地方,
[00:02:13.000 --> 00:02:17.000]  捉那些跟隨耶穌的信徒,
[00:02:17.000 --> 00:02:19.000]  捉他們回去耶路撒冷。
[00:02:19.000 --> 00:02:20.000]  我想問問大家,
[00:02:20.000 --> 00:02:21.500]  基於這兩節的經文,
