
[00:00:00.000 --> 00:00:02.000]  那麼我們現在一起禱告
[00:00:02.000 --> 00:00:04.000]  我們把我們自己交給主
[00:00:04.000 --> 00:00:06.000]  我們在天上的父神
[00:00:06.000 --> 00:00:07.000]  我們來到你面前
[00:00:07.000 --> 00:00:08.000]  主我們謝謝你
[00:00:08.000 --> 00:00:10.000]  是因為你自己獨身愛子
[00:00:10.000 --> 00:00:12.000]  讓我們能夠來到你的面前
[00:00:12.000 --> 00:00:14.000]  主我們在今天早晨
[00:00:14.000 --> 00:00:16.000]  我們願意把我們自己交給你
[00:00:16.000 --> 00:00:17.000]  我們願意把我們自己的心
[00:00:17.000 --> 00:00:19.000]  交給聖靈的管理
[00:00:19.000 --> 00:00:21.000]  讓我們在我們當中
[00:00:21.000 --> 00:00:23.000]  如果心中還有不幸的
[00:00:23.000 --> 00:00:25.000]  或者是我們懷疑的
[00:00:25.000 --> 00:00:27.000]  主我們求你自己的聖靈
[00:00:27.000 --> 00:00:30.000]  在我們個人的心裡面做責備
[00:00:30.000 --> 00:00:31.000]  做管教
[00:00:31.000 --> 00:00:32.000]  做知識的工作
[00:00:32.000 --> 00:00:34.000]  主讓我們也來到你面前
[00:00:34.000 --> 00:00:36.000]  我們如果有不順服你的話
[00:00:36.000 --> 00:00:38.000]  主求你赦免我們
[00:00:38.000 --> 00:00:39.000]  憐憫我們
[00:00:39.000 --> 00:00:40.000]  原諒我們
[00:00:40.000 --> 00:00:41.000]  主我們謝謝你
[00:00:41.000 --> 00:00:43.000]  感謝你自己把你的話賜給我們
[00:00:43.000 --> 00:00:46.000]  我們下面時間都仰望在你的手中
[00:00:46.000 --> 00:00:48.000]  禱告奉耶穌基督的聖名
[00:00:48.000 --> 00:00:49.000]  阿門
[00:00:49.000 --> 00:00:54.000]  那麼今天我們所要講的呢
[00:00:54.000 --> 00:00:56.000]  剛才我們講到說
[00:00:56.000 --> 00:00:59.000]  亞當的後代到底有沒有盼望
[00:00:59.000 --> 00:01:02.000]  第二個slide就是講到說
[00:01:02.000 --> 00:01:05.000]  亞當的後代到底是誰
[00:01:05.000 --> 00:01:06.000]  我們從這一段經文裡面
[00:01:06.000 --> 00:01:07.000]  我們看見
[00:01:07.000 --> 00:01:10.000]  大概分成兩個派
