
[00:00:00.000 --> 00:00:04.000]  今日我要和大家來思想一段經文
[00:00:04.000 --> 00:00:08.000]  在當中特別思想一個題目
[00:00:08.000 --> 00:00:11.000]  就是基督的使者
[00:00:11.000 --> 00:00:15.000]  不知道大家當聽到基督的使者
[00:00:15.000 --> 00:00:19.000]  這個稱號的時候會有什麼想法
[00:00:19.000 --> 00:00:21.000]  會想起誰
[00:00:21.000 --> 00:00:25.000]  如果我說保羅就是基督的使者
[00:00:25.000 --> 00:00:28.000]  相信大家都不會反對
[00:00:28.000 --> 00:00:32.000]  我們在《從事行傳》的記載當中
[00:00:32.000 --> 00:00:36.000]  可以看到保羅自從
[00:00:36.000 --> 00:00:39.000]  他皈信了耶穌基督之後
[00:00:39.000 --> 00:00:44.000]  他的人生就起了翻天覆地的改變
[00:00:44.000 --> 00:00:46.000]  從那時候開始
[00:00:46.000 --> 00:00:49.000]  基督就成為他生命的中心
[00:00:49.000 --> 00:00:52.000]  他活在基督裡面
[00:00:52.000 --> 00:00:53.000]  所以在菲律賓
[00:00:53.000 --> 00:00:56.000]  在《加拿大書》第二章二十節那裡說
[00:00:56.000 --> 00:01:02.000]  我已經與基督同定十字架
[00:01:02.000 --> 00:01:04.000]  現在活在的不再是我
[00:01:04.000 --> 00:01:07.000]  但是基督在我裡面活著
[00:01:07.000 --> 00:01:11.000]  他全然地為基督而活
[00:01:11.000 --> 00:01:14.000]  所以在菲律賓書第一章二十節
[00:01:14.000 --> 00:01:15.000]  他有提到
[00:01:15.000 --> 00:01:17.000]  無論是生是死
[00:01:17.000 --> 00:01:22.000]  總是叫基督在他身上照常見大
[00:01:22.000 --> 00:01:25.000]  初期教會的發展
[00:01:25.000 --> 00:01:30.000]  保羅也是扮演一個非常重要的角色
[00:01:30.000 --> 00:01:33.000]  今早我很想透過一段經文
[00:01:33.000 --> 00:01:38.000]  看上去不是有什麼特別的教訓
[00:01:38.000 --> 00:01:39.000]  但是在字裡行間
[00:01:39.000 --> 00:01:41.000]  我們可以看到這位基督的使者
[00:01:41.000 --> 00:01:43.000]  他的生命當中
[00:01:43.000 --> 00:01:49.000]  有一些東西是很值得我們去學習的
[00:01:49.000 --> 00:01:55.000]  請大家翻開羅馬書第一章八到十七節
[00:01:55.000 --> 00:01:59.000]  我會比較詳細地和大家看
[00:01:59.000 --> 00:02:05.000]  所以大家繼續翻開這段經文
[00:02:05.000 --> 00:02:13.000]  羅馬書第一章一到七節
[00:02:13.000 --> 00:02:20.000]  可以說是當時書信裡面一個很既定的格式
[00:02:20.000 --> 00:02:23.000]  主要是一個問安
[00:02:23.000 --> 00:02:26.000]  而到了第八節開始
[00:02:26.000 --> 00:02:30.000]  才進入內容
