
[00:00:00.000 --> 00:00:04.000]  我很想和大家分享今天的信息
[00:00:04.000 --> 00:00:07.000]  就是「非常任務」
[00:00:07.000 --> 00:00:09.000]  什麼是「非常任務」呢?
[00:00:09.000 --> 00:00:11.000]  不知道怎麼說
[00:00:11.000 --> 00:00:15.000]  我想起我從前有一個「非常任務」
[00:00:15.000 --> 00:00:18.000]  我從前是做核數的
[00:00:18.000 --> 00:00:20.000]  進入核數師樓
[00:00:20.000 --> 00:00:22.000]  幾個月中間不是太忙
[00:00:22.000 --> 00:00:25.000]  有一天就收到一份特別的任務
[00:00:25.000 --> 00:00:28.000]  就有個上司召我入房
[00:00:28.000 --> 00:00:31.000]  交給我一個很厚的信封
[00:00:31.000 --> 00:00:33.000]  用一些很硬的雞皮紙
[00:00:33.000 --> 00:00:36.000]  寫上那個名字
[00:00:36.000 --> 00:00:38.000]  是誰收的
[00:00:38.000 --> 00:00:40.000]  用那些納印
[00:00:40.000 --> 00:00:41.000]  那些紋身的紋身
[00:00:41.000 --> 00:00:42.000]  簽上名字
[00:00:42.000 --> 00:00:43.000]  交給我
[00:00:43.000 --> 00:00:44.000]  就說
[00:00:44.000 --> 00:00:46.000]  很認真地跟我說
[00:00:46.000 --> 00:00:48.000]  你記得要把這個信封
[00:00:48.000 --> 00:00:51.000]  交給這個名字上的那個人
[00:00:51.000 --> 00:00:53.000]  你不要想著回答別人幫你
[00:00:53.000 --> 00:00:55.000]  你又不要想著順道去做這件事
[00:00:55.000 --> 00:00:58.000]  你專門要做這件事
[00:00:58.000 --> 00:01:01.000]  他簽回回調作實
[00:01:01.000 --> 00:01:02.000]  核對那個名字
[00:01:02.000 --> 00:01:04.000]  就是對回身分證
[00:01:04.000 --> 00:01:07.000]  接著你才回來
[00:01:07.000 --> 00:01:10.000]  拿了這個信封之後
[00:01:10.000 --> 00:01:12.000]  我就不能休息
[00:01:12.000 --> 00:01:14.000]  上網玩
[00:01:14.000 --> 00:01:16.000]  我馬上就要拿著這個包東西
[00:01:16.000 --> 00:01:18.000]  去一個地方
[00:01:18.000 --> 00:01:20.000]  看看地址
[00:01:20.000 --> 00:01:22.000]  ICAC
[00:01:22.000 --> 00:01:25.000]  完成這個工作之後
[00:01:25.000 --> 00:01:27.000]  我就要第一時間
[00:01:27.000 --> 00:01:28.000]  打電話給公司
[00:01:28.000 --> 00:01:31.000]  告訴我的部門主管
[00:01:31.000 --> 00:01:33.000]  搞定了
[00:01:33.000 --> 00:01:35.000]  接著親手交回回調
[00:01:35.000 --> 00:01:37.000]  在這個上司的手中
[00:01:37.000 --> 00:01:41.000]  我這個案件就搞定了
[00:01:41.000 --> 00:01:43.000]  這個是我的非常任務
[00:01:43.000 --> 00:01:45.000]  我連想問問
