
[00:00:00.000 --> 00:00:03.280]  兄弟姐妹 早安 主佑平安
[00:00:03.280 --> 00:00:06.840]  天氣冷了 大家要多穿一件衣服
[00:00:06.840 --> 00:00:08.720]  保暖最重要
[00:00:08.720 --> 00:00:12.000]  或者在疫情期間
[00:00:12.000 --> 00:00:14.760]  有一段時間我們在網上崇拜
[00:00:14.760 --> 00:00:16.000]  你可能會問
[00:00:16.000 --> 00:00:18.760]  牧師 我們都已經在家崇拜了
[00:00:18.760 --> 00:00:22.160]  那為什麼我們還要回教會崇拜呢?
[00:00:22.160 --> 00:00:24.920]  特別在這樣的天氣 家裡暖暖的
[00:00:24.920 --> 00:00:27.960]  在家裡崇拜就已經可以了
[00:00:27.960 --> 00:00:30.880]  為什麼我們需要在教會裡面
[00:00:30.880 --> 00:00:33.280]  集體來崇拜呢?
[00:00:33.280 --> 00:00:36.160]  當我們有這樣想的時候
[00:00:36.160 --> 00:00:38.360]  可能我們需要第一個問題就是問
[00:00:38.360 --> 00:00:40.160]  教會究竟是什麼呢?
[00:00:40.160 --> 00:00:43.520]  我們都知道教會不是說的結束物
[00:00:43.520 --> 00:00:48.760]  而是一群上帝召的一些子民
[00:00:48.760 --> 00:00:50.920]  保羅在他的書信裡面
[00:00:50.920 --> 00:00:52.120]  都很明顯
[00:00:52.120 --> 00:00:54.680]  那些書信是寫給地方的教會
[00:00:54.680 --> 00:00:57.480]  不是寫給個人 很多時候是寫給教會的
[00:00:57.480 --> 00:00:59.040]  他有很多的教導
[00:00:59.040 --> 00:01:00.640]  譬如說愛
[00:01:00.640 --> 00:01:04.800]  是需要在群體裡面才能夠實踐和體會的
[00:01:04.800 --> 00:01:08.400]  所以在《異忽所書》三章十八節
[00:01:08.400 --> 00:01:09.200]  那裡這樣說
[00:01:09.200 --> 00:01:13.360]  能以和眾聖徒一同明白基督的愛
[00:01:13.360 --> 00:01:15.960]  是何等的長闊高深
[00:01:15.960 --> 00:01:18.640]  是一同來去明白的
[00:01:18.640 --> 00:01:19.800]  大家都知道
[00:01:19.800 --> 00:01:22.720]  相愛是經過大家在一起
[00:01:22.720 --> 00:01:26.200]  才能夠顯出你是否能夠實踐愛的
[00:01:27.200 --> 00:01:29.000]  至於聖經的記載
[00:01:29.000 --> 00:01:30.560]  和崇拜有關的
[00:01:30.560 --> 00:01:32.840]  由舊約開始說到祭壇
[00:01:32.840 --> 00:01:36.120]  說到會幕 說到聖殿 說到會堂
[00:01:36.120 --> 00:01:38.120]  去到新約 說到教會
[00:01:38.120 --> 00:01:41.600]  都是在描述一些群體的敬拜
[00:01:41.600 --> 00:01:44.000]  其實在教會歷史裡面
[00:01:44.000 --> 00:01:45.600]  多年來我們也都看到
[00:01:45.600 --> 00:01:47.600]  歷世歷代的教會
[00:01:47.600 --> 00:01:50.800]  無論教會是大或者是小
[00:01:50.800 --> 00:01:54.720]  都很明白集體崇拜的重要性
[00:01:55.120 --> 00:01:58.080]  就好像在香港有大的教會
[00:01:58.080 --> 00:01:59.160]  有小的教會
[00:01:59.160 --> 00:02:00.480]  有座堂式的
[00:02:00.480 --> 00:02:01.640]  有些是樓上的教會
[00:02:01.640 --> 00:02:02.280]  無論如何
[00:02:02.280 --> 00:02:03.760]  大家每個星期日
[00:02:03.760 --> 00:02:05.400]  如果不是有疫情的時候
[00:02:05.400 --> 00:02:08.400]  都回來教會一同崇拜
[00:02:08.400 --> 00:02:12.280]  在白來書第十章二十四到二十五節
[00:02:12.280 --> 00:02:14.160]  不如我們一起讀一段經文吧
[00:02:14.160 --> 00:02:16.440]  又要彼此相顧
[00:02:16.440 --> 00:02:17.720]  激發愛心
[00:02:17.720 --> 00:02:19.280]  勉勵行善
[00:02:19.280 --> 00:02:21.440]  你們不可停止聚會
[00:02:21.440 --> 00:02:23.640]  好像那些停止慣了的人
[00:02:23.640 --> 00:02:25.760]  都要彼此勸勉
[00:02:25.760 --> 00:02:28.360]  既知道那日子臨近
[00:02:28.360 --> 00:02:30.360]  就更當如此
[00:02:30.360 --> 00:02:32.920]  這段經文提醒信徒
[00:02:32.920 --> 00:02:34.920]  聚會的重要性
[00:02:34.920 --> 00:02:38.880]  雖然這段經文不是針對崇拜來說的
[00:02:38.880 --> 00:02:41.200]  但是為什麼信徒要在一起
[00:02:41.200 --> 00:02:43.200]  常常要聚在一起
[00:02:43.200 --> 00:02:44.720]  彼此相顧
[00:02:44.720 --> 00:02:45.920]  激發愛心
[00:02:45.920 --> 00:02:46.560]  勉勵行善
[00:02:46.560 --> 00:02:49.040]  一起做一些的功績等等
