
[00:00:00.000 --> 00:00:02.500]  今天是1月1日,是很特別的日子
[00:00:02.500 --> 00:00:06.500]  所以今天的題目也是很新年的
[00:00:06.500 --> 00:00:08.500]  立志更新
[00:00:08.500 --> 00:00:12.500]  也是一個很老套的題目
[00:00:12.500 --> 00:00:15.500]  經常過新年都立志更新的
[00:00:15.500 --> 00:00:19.500]  每年都立志的,那又怎樣呢?
[00:00:19.500 --> 00:00:22.500]  今次的立志更新,固之然
[00:00:22.500 --> 00:00:26.500]  我們最後的目標都是帶回去立志更新
[00:00:26.500 --> 00:00:28.500]  但是今天用的方式
[00:00:28.500 --> 00:00:31.500]  可能有一點特別
[00:00:31.500 --> 00:00:34.500]  通常立志更新就是告訴大家怎樣立志更新
[00:00:34.500 --> 00:00:39.500]  但是今年的年題就跟去年一樣
[00:00:39.500 --> 00:00:43.500]  因為我們的讀經計劃是80個星期
[00:00:43.500 --> 00:00:47.500]  一年52個星期,還有28個星期
[00:00:47.500 --> 00:00:50.500]  到2017年,如果大家跟著讀經計劃
[00:00:50.500 --> 00:00:52.500]  應該到7月14日就會完結
[00:00:52.500 --> 00:00:57.500]  所以神的話語,秘密、金錢、秘金、珍貴
[00:00:57.500 --> 00:00:59.500]  是仍然延續下去
[00:00:59.500 --> 00:01:03.500]  希望大家如果慢了那些,都盡量追一下
[00:01:03.500 --> 00:01:06.500]  希望2017年你能夠完成
[00:01:06.500 --> 00:01:09.500]  這樣都達標了
[00:01:09.500 --> 00:01:13.500]  要讀神的話,常常都說的
[00:01:13.500 --> 00:01:18.500]  剛剛完了退修會,我們的題目是什麼呢?
[00:01:18.500 --> 00:01:22.500]  前幾天跟醫生傾談,好像很多東西都忘記了
[00:01:22.500 --> 00:01:24.500]  是屬靈增薦
[00:01:24.500 --> 00:01:27.500]  屬靈增薦我們用的方式
[00:01:27.500 --> 00:01:32.500]  就是去看到一些不是個人層面那麼簡單
[00:01:32.500 --> 00:01:34.500]  而是到一個闊一點、大一點的層面
[00:01:34.500 --> 00:01:38.500]  整個基督教、整個世界、現今的信仰
[00:01:38.500 --> 00:01:41.500]  變化到怎樣的狀況
[00:01:41.500 --> 00:01:43.500]  來去看屬靈增薦
[00:01:43.500 --> 00:01:46.500]  我們今天的立志更新也是類似
[00:01:46.500 --> 00:01:50.500]  我們除了說裡面要有一個立志去更新
[00:01:50.500 --> 00:01:53.500]  我們還要理解到現今
[00:01:53.500 --> 00:01:55.500]  好像退修會所說的屬靈增薦
[00:01:55.500 --> 00:01:57.500]  外面的情況是怎樣呢?
[00:01:57.500 --> 00:02:00.500]  有一個外在的影響
[00:02:00.500 --> 00:02:03.500]  讓你感覺到那個重要性
[00:02:03.500 --> 00:02:06.500]  那個緊急性
[00:02:06.500 --> 00:02:09.500]  你裡面產生的動力
[00:02:09.500 --> 00:02:11.500]  你真的要立志更新
[00:02:11.500 --> 00:02:14.500]  來為主過你的生活
[00:02:14.500 --> 00:02:20.500]  所以跟我們的年代有關
[00:02:20.500 --> 00:02:22.500]  神的話語鼓勵大家讀經
[00:02:22.500 --> 00:02:24.500]  也跟我們的退修會有關
[00:02:24.500 --> 00:02:26.500]  我們要面對一個屬靈的增薦
[00:02:26.500 --> 00:02:28.500]  也跟我們的生活有關
[00:02:28.500 --> 00:02:29.500]  我們要立志更新
[00:02:29.500 --> 00:02:32.500]  過一個合神心意的生活
[00:02:32.500 --> 00:02:35.500]  外面的世界是怎樣呢?
[00:02:35.500 --> 00:02:39.500]  可能大家很多很乖、很內向
[00:02:39.500 --> 00:02:41.500]  很多跟外面接觸的或者不知道
[00:02:41.500 --> 00:02:44.500]  在幾年裡面我經常說這個說那個
[00:02:44.500 --> 00:02:46.500]  大家都應該收到一點
[00:02:46.500 --> 00:02:47.500]  我回顧一下
[00:02:47.500 --> 00:02:50.500]  原來我們退修會已經搞了三年
[00:02:50.500 --> 00:02:52.500]  第一年的退修會說什麼呢?
[00:02:52.500 --> 00:02:54.500]  屬靈增薦
[00:02:54.500 --> 00:02:55.500]  類似的
